catalog_record_id,object_name,source_id,spectral_type,ra_deg,dec_deg,l_deg,b_deg,parallax,parallax_error,pmra,pmdec,ruwe,visibility_periods_used,phot_bp_rp_excess_factor,quality_pass,zero_point_boundary_flag,membership_probability,membership_probability_astrometric,membership_probability_mc_se,membership_basis,recovered_p_gt_0_5,gate_disposition_reason
1,ALS15108AB,2067778538274037504,,308.3478,41.15358,,,,,,,,,,False,,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: Gaia source absent from frozen narrow query
2,J20303980+4136506,2068035347258349440,,307.66583,41.61408,80.1787295124022,1.3556498455461805,0.7842614135000109,0.13624488,-2.4946814246059876,-4.703709679498358,7.5198855,27.0,1.4537364,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=7.520 >= 1.4
3,J20293563+4024315,2067401375725290496,,307.39846,40.40873,79.08492870958511,0.8101603309695512,0.5098257069732579,0.032244265,-1.601160487545094,-4.6041676535057485,2.4967952,27.0,1.31056,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=2.497 >= 1.4
4,J20314540+4118267,2067828639068547200,,307.93917,41.30743,80.05211242028024,1.0093021887337967,0.5656213826159472,0.033840545,-2.4122715530831154,-5.342936430262395,2.064685,28.0,1.4665287,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=2.065 >= 1.4
5,A20,2067755379810392320,,308.26218,40.79037,,,,,,,,,,False,,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: Gaia source absent from frozen narrow query
6,A25,2067730816896271488,,308.16018,40.67902,79.64482410226447,0.5024912241633427,0.35002981289490587,0.07217719,-2.6120843865956234,-4.313870280641583,4.157311,28.0,1.4880292,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=4.157 >= 1.4
7,Cyg#1,2067846574853004672,,307.79394,41.53153,80.16855873949405,1.2295851969073548,0.5604260117406613,0.0199639,-3.4943548158393365,-4.231566051751722,1.6225178,27.0,1.4013301,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=1.623 >= 1.4
8,J20335842+4019411,2064705991687575424,,308.49341,40.3281,79.51367109191108,0.0900005208805903,0.5827637370599894,0.054015633,-2.3604178060805063,-5.036714658571455,2.296023,28.0,1.5233871,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=2.296 >= 1.4
9,A26,2067814306761678336,,307.74052,41.16598,79.84971586340951,1.0462763763959315,0.8135027352695364,0.2319651,-3.438181953972359,-3.7097565571858206,18.136705,27.0,1.5319145,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=18.137 >= 1.4
10,Cyg#10,2067928660269306496,,308.44212,41.55027,80.47153506586777,0.8501388445330627,0.7908284165877929,0.19877148,-2.0157757519682895,-3.395374729748521,14.281889,26.0,1.4103986,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=14.282 >= 1.4
11,Cyg#27,2067874028285659520,,308.49803,41.29319,80.29017017224564,0.6631496905287378,0.5555426177785788,0.044262998,-2.3781095929883196,-4.429901288151315,3.0138214,25.0,1.4226665,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=3.014 >= 1.4
12,WR146AB,2067867358199590400,,308.94619,41.37908,,,,,,,,,,False,,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: Gaia source absent from frozen narrow query
13,A44,2067742877164542080,,307.94188,40.72351,,,,,,,,,,False,,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: Gaia source absent from frozen narrow query
14,J20253320+4048444,2067600799649252992,,306.38832,40.81234,78.96655078348684,1.668612580790161,0.5085927971937254,0.3679013,-3.7965629091194186,-5.164624349737107,24.026886,28.0,1.4683313,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=24.027 >= 1.4
