algorithm,eps,min_samples,clusters,assigned_rows,largest_cluster_rows,largest_cluster_fraction_analysis,association_cluster_label,association_cluster_rows,berlanas_in_analysis,berlanas_recovered_in_seed,berlanas_seed_recall,l_central90_span_deg,b_central90_span_deg,convex_hull_area_deg2,touches_opposite_box_sides,association_target_yield,association_control_yields,association_control_ratio,association_spatial_overdensity_score
DBSCAN,0.02,10,189,3724,490,0.002461804351867203,,0,168,0,0.0,,,,False,,,,
DBSCAN,0.03,10,390,35008,27646,0.1388960063504504,0.0,27646,168,145,0.8630952380952381,5.595378948282288,4.956439382611942,32.970726344047264,True,1306.0,"[1367, 179, 57]",0.40913731495661054,2.439601494396015
DBSCAN,0.04,10,475,67545,59360,0.29823001291191265,0.0,59360,168,159,0.9464285714285714,5.61410980078287,5.00622485399124,32.98621178976439,True,2150.0,"[2739, 463, 186]",0.5252713178294574,1.902093777646712
DBSCAN,0.05,10,560,99344,90347,0.45391150566968613,0.0,90347,168,162,0.9642857142857143,5.609181660324765,5.030238182640611,32.98839795586211,True,2784.0,"[3785, 818, 377]",0.5962643678160919,1.6760987357013848
DBSCAN,0.07,10,395,144125,137806,0.6923498173743098,0.0,137806,168,164,0.9761904761904762,5.591757209989893,5.037771401899068,32.99135300473625,True,3846.0,"[5251, 1639, 847]",0.6705668226729069,1.4906976744186047
DBSCAN,0.09579,10,182,169945,167421,0.8411382579468552,0.0,167421,168,164,0.9761904761904762,5.575924610274541,5.041635109241214,32.99150710153471,True,4600.0,"[6072, 2221, 1307]",0.6956521739130435,1.437050921587004
DBSCAN,0.1,10,161,172554,170316,0.8556829999849277,0.0,170316,168,164,0.9761904761904762,5.575331511428004,5.0419198373375185,32.99186490496631,True,4666.0,"[6172, 2270, 1336]",0.6985283611944564,1.4311420100194254
DBSCAN,0.14369,10,79,186913,185755,0.9332499334308006,0.0,185755,168,168,1.0,5.56915057644585,5.042764001032582,32.991896956695676,True,5051.0,"[6597, 2609, 1563]",0.7106843529334125,1.4067025621982918
DBSCAN,0.19159,10,34,192871,192454,0.9669063157841852,0.0,192454,168,168,1.0,5.566318092739948,5.043517704641349,32.992124180879884,True,5202.0,"[6788, 2742, 1677]",0.7181212354222735,1.392149866190901
DBSCAN,0.02,15,12,201,28,0.00014067453439241162,,0,168,0,0.0,,,,False,,,,
DBSCAN,0.03,15,159,19926,15982,0.08029501459498295,40.0,38,168,3,0.017857142857142856,3.562041473431009,4.481081414971393,19.17449110995786,False,24.0,"[0, 0, 0]",0.0,24.0
DBSCAN,0.04,15,181,48496,43355,0.21781944423510735,6.0,505,168,0,0.0,5.371772393364353,5.045241219859545,32.00338447781132,True,35.0,"[19, 8, 8]",0.3333333333333333,2.763157894736842
DBSCAN,0.05,15,226,75453,69792,0.350641325154114,0.0,69792,168,160,0.9523809523809523,5.6159643482235,5.020875645419335,32.986725657055544,True,2358.0,"[3110, 565, 239]",0.5532937517670342,1.8059739596630073
DBSCAN,0.07,15,198,124201,119709,0.6014288513421858,0.0,119709,168,162,0.9642857142857143,5.598903641592074,5.0364594374209055,32.990942676994464,True,3422.0,"[4738, 1310, 642]",0.6516656925774401,1.5338413267593007
DBSCAN,0.09579,15,114,158959,156815,0.7878527539552153,0.0,156815,168,164,0.9761904761904762,5.580602669376887,5.041351089440466,32.991423123565966,True,4340.0,"[5790, 2018, 1126]",0.6861751152073733,1.456864719704599
DBSCAN,0.1,15,107,162384,160313,0.8054270225732387,0.0,160313,168,164,0.9761904761904762,5.578787073038342,5.041535351092323,32.991423123565966,True,4426.0,"[5876, 2086, 1189]",0.689185118240699,1.450513436748962
DBSCAN,0.14369,15,35,181748,181089,0.9098075270924081,0.0,181089,168,166,0.9880952380952381,5.57103253781915,5.04203947053203,32.991896956695676,True,4940.0,"[6457, 2518, 1504]",0.707085020242915,1.4138523182598741
DBSCAN,0.19159,15,16,190412,190151,0.9553358353304093,0.0,190151,168,168,1.0,5.5668832402278525,5.0429034593783175,32.99192195296141,True,5154.0,"[6723, 2703, 1642]",0.7158194282757729,1.3966218047150212
DBSCAN,0.02,20,0,0,0,0.0,,0,168,0,0.0,,,,False,,,,
DBSCAN,0.03,20,79,10673,8176,0.041076964042584194,1.0,8176,168,74,0.44047619047619047,5.506200075064967,4.730491136016285,32.879535584925456,True,481.0,"[356, 44, 15]",0.28759528759528763,3.452153110047847
DBSCAN,0.04,20,91,36500,32696,0.16426766344622465,0.0,32696,168,148,0.8809523809523809,5.597841619122747,4.976974161405867,32.97642311015119,True,1442.0,"[1586, 210, 67]",0.4306518723994452,2.3183279742765275
DBSCAN,0.05,20,96,61303,57868,0.29073406986500266,0.0,57868,168,159,0.9464285714285714,5.61327876142866,5.011181618779477,32.98605427182992,True,2118.0,"[2681, 455, 184]",0.5225055083412025,1.9121275955461932
DBSCAN,0.07,20,123,108692,105447,0.5297752724313082,0.0,105447,168,162,0.9642857142857143,5.603671586098841,5.032798229308241,32.99079563942066,True,3095.0,"[4294, 1058, 499]",0.6301561658589122,1.586094977792962
DBSCAN,0.09579,20,70,148846,147032,0.7387020764566095,0.0,147032,168,164,0.9761904761904762,5.586044522612184,5.039810756585409,32.991423123565966,True,4082.0,"[5508, 1817, 970]",0.6773640372366487,1.4757772957339117
DBSCAN,0.1,20,60,153080,151578,0.7615415919333203,0.0,151578,168,164,0.9761904761904762,5.582740997575044,5.040719573361484,32.991423123565966,True,4196.0,"[5645, 1914, 1043]",0.6833492214807754,1.462870424171993
DBSCAN,0.14369,20,18,177613,177200,0.8902688390834049,0.0,177200,168,165,0.9821428571428571,5.5721450228626,5.041537059075217,32.99187618687468,True,4838.0,"[6354, 2423, 1446]",0.7043544164255201,1.4193232935654216
DBSCAN,0.19159,20,9,187750,187586,0.9424490431619617,0.0,187586,168,168,1.0,5.568273660888039,5.043631446660391,32.99192195296141,True,5090.0,"[6640, 2652, 1594]",0.7129011132940406,1.4023326292588851
