algorithm,min_samples,min_cluster_size,clusters,noise_rows,largest_cluster_rows,largest_cluster_fraction_analysis,association_component_labels_json,association_component_records_json,association_seed_rows,association_target_yield,association_control_yields_json,association_control_ratio,berlanas_in_analysis,berlanas_recovered_in_seed,berlanas_seed_recall,l_central90_span_deg,b_central90_span_deg,convex_hull_area_deg2,touches_opposite_box_sides
HDBSCAN,10,30,185,188518,548,0.002753201601680056,"[104, 174]","[{""label"": 104, ""rows"": 74, ""target_rows"": 12, ""control_rows"": [4, 3, 1], ""control_ratio"": 0.2222222222222222, ""target_fraction"": 0.16216216216216217, ""median_membership_strength"": 0.9651133039726809}, {""label"": 174, ""rows"": 105, ""target_rows"": 35, ""control_rows"": [3, 0, 1], ""control_ratio"": 0.03809523809523809, ""target_fraction"": 0.3333333333333333, ""median_membership_strength"": 0.9967950928003504}]",179,47,"[7, 3, 2]",0.0851063829787234,168,7,0.041666666666666664,4.676550202506647,4.716692197411527,30.94212432423975,True
HDBSCAN,10,60,46,193026,633,0.0031802492953713055,"[21, 40]","[{""label"": 21, ""rows"": 74, ""target_rows"": 12, ""control_rows"": [4, 3, 1], ""control_ratio"": 0.2222222222222222, ""target_fraction"": 0.16216216216216217, ""median_membership_strength"": 1.0}, {""label"": 40, ""rows"": 186, ""target_rows"": 54, ""control_rows"": [5, 0, 3], ""control_ratio"": 0.04938271604938271, ""target_fraction"": 0.2903225806451613, ""median_membership_strength"": 0.9772535592979882}]",260,66,"[9, 3, 4]",0.0808080808080808,168,10,0.05952380952380952,4.552993031799019,4.470446662596009,31.3121843214629,True
HDBSCAN,10,120,13,193862,775,0.0038936701483613927,[10],"[{""label"": 10, ""rows"": 186, ""target_rows"": 54, ""control_rows"": [5, 0, 3], ""control_ratio"": 0.04938271604938271, ""target_fraction"": 0.2903225806451613, ""median_membership_strength"": 1.0}]",186,54,"[5, 0, 3]",0.04938271604938271,168,10,0.05952380952380952,4.945316212703787,4.603311412027339,31.173477900480602,True
HDBSCAN,10,240,10,194388,775,0.0038936701483613927,[],[],0,0,"[0, 0, 0]",inf,168,0,0.0,,,,False
HDBSCAN,15,30,101,192368,546,0.0027431534206520266,"[54, 95]","[{""label"": 54, ""rows"": 85, ""target_rows"": 16, ""control_rows"": [5, 2, 1], ""control_ratio"": 0.16666666666666666, ""target_fraction"": 0.18823529411764706, ""median_membership_strength"": 0.9835696938056672}, {""label"": 95, ""rows"": 126, ""target_rows"": 39, ""control_rows"": [4, 0, 0], ""control_ratio"": 0.034188034188034185, ""target_fraction"": 0.30952380952380953, ""median_membership_strength"": 0.980463295458186}]",211,55,"[9, 2, 1]",0.07272727272727272,168,9,0.05357142857142857,4.613855499991871,4.802738582589291,30.159333521797496,True
HDBSCAN,15,60,32,194182,546,0.0027431534206520266,[28],"[{""label"": 28, ""rows"": 126, ""target_rows"": 39, ""control_rows"": [4, 0, 0], ""control_ratio"": 0.034188034188034185, ""target_fraction"": 0.30952380952380953, ""median_membership_strength"": 0.99431112706265}]",126,39,"[4, 0, 0]",0.034188034188034185,168,9,0.05357142857142857,5.047264736088948,4.698383036057315,29.38115970423024,True
HDBSCAN,15,120,12,194716,936,0.004702548721117759,[9],"[{""label"": 9, ""rows"": 126, ""target_rows"": 39, ""control_rows"": [4, 0, 0], ""control_ratio"": 0.034188034188034185, ""target_fraction"": 0.30952380952380953, ""median_membership_strength"": 1.0}]",126,39,"[4, 0, 0]",0.034188034188034185,168,9,0.05357142857142857,5.047264736088948,4.698383036057315,29.38115970423024,True
HDBSCAN,15,240,7,195472,936,0.004702548721117759,[],[],0,0,"[0, 0, 0]",inf,168,0,0.0,,,,False
HDBSCAN,20,30,66,193375,550,0.002763249782708085,"[36, 64]","[{""label"": 36, ""rows"": 69, ""target_rows"": 12, ""control_rows"": [4, 2, 2], ""control_ratio"": 0.2222222222222222, ""target_fraction"": 0.17391304347826086, ""median_membership_strength"": 0.9914071233040838}, {""label"": 64, ""rows"": 106, ""target_rows"": 38, ""control_rows"": [3, 0, 0], ""control_ratio"": 0.02631578947368421, ""target_fraction"": 0.3584905660377358, ""median_membership_strength"": 0.972438535308034}]",175,50,"[7, 2, 2]",0.07333333333333333,168,8,0.047619047619047616,4.5424966818737715,4.949994450743086,29.023148714358094,False
HDBSCAN,20,60,24,194516,550,0.002763249782708085,[22],"[{""label"": 22, ""rows"": 106, ""target_rows"": 38, ""control_rows"": [3, 0, 0], ""control_ratio"": 0.02631578947368421, ""target_fraction"": 0.3584905660377358, ""median_membership_strength"": 1.0}]",106,38,"[3, 0, 0]",0.02631578947368421,168,8,0.047619047619047616,4.739137153240449,4.938803795048361,28.744195923540804,False
HDBSCAN,20,120,10,194969,680,0.003416381549529996,[],[],0,0,"[0, 0, 0]",inf,168,0,0.0,,,,False
HDBSCAN,20,240,7,195445,680,0.003416381549529996,[],[],0,0,"[0, 0, 0]",inf,168,0,0.0,,,,False
