min_cluster_size,min_samples,n_clusters,n_noise,largest_frac,cluster_sizes
10,10,2,226,0.8106686701728024,"[1079, 26]"
10,5,3,158,0.8512396694214877,"[1133, 26, 14]"
10,10,2,226,0.8106686701728024,"[1079, 26]"
10,15,2,226,0.8114199849737039,"[1080, 25]"
15,15,2,226,0.8114199849737039,"[1080, 25]"
15,5,2,172,0.8512396694214877,"[1133, 26]"
15,10,2,226,0.8106686701728024,"[1079, 26]"
15,15,2,226,0.8114199849737039,"[1080, 25]"
20,20,2,254,0.7896318557475582,"[1051, 26]"
20,5,2,172,0.8512396694214877,"[1133, 26]"
20,10,2,226,0.8106686701728024,"[1079, 26]"
20,15,2,226,0.8114199849737039,"[1080, 25]"
25,25,2,856,0.2870022539444027,"[382, 93]"
25,5,2,172,0.8512396694214877,"[1133, 26]"
25,10,2,226,0.8106686701728024,"[1079, 26]"
25,15,2,226,0.8114199849737039,"[1080, 25]"
30,30,2,893,0.270473328324568,"[360, 78]"
30,5,2,720,0.33583771600300527,"[447, 164]"
30,10,2,852,0.2802404207362885,"[373, 106]"
30,15,2,841,0.28549962434259957,"[380, 110]"
40,40,2,922,0.2599549211119459,"[346, 63]"
40,5,2,720,0.33583771600300527,"[447, 164]"
40,10,2,852,0.2802404207362885,"[373, 106]"
40,15,2,841,0.28549962434259957,"[380, 110]"
50,50,0,1331,0.0,[]
50,5,2,720,0.33583771600300527,"[447, 164]"
50,10,2,852,0.2802404207362885,"[373, 106]"
50,15,2,841,0.28549962434259957,"[380, 110]"
