source_id,subgroup_consensus,seed_fraction_A,seed_fraction_B,seed_fraction_C,consensus_label_stability,stable_ge_090
2064716883724877056,CygOB2-C,0.0,0.0,1.0,1.0,True
2064719185827166720,CygOB2-B,0.0,1.0,0.0,1.0,True
2064720079180387456,CygOB2-B,0.0,1.0,0.0,1.0,True
2064720079180390528,CygOB2-B,0.0,1.0,0.0,1.0,True
2064722999758155264,CygOB2-B,0.0,1.0,0.0,1.0,True
2064723137197123200,CygOB2-C,0.0,0.0,1.0,1.0,True
2064723785734701568,CygOB2-B,0.0,1.0,0.0,1.0,True
2064730730699199616,CygOB2-C,0.0,0.0,1.0,1.0,True
2064738049323468928,CygOB2-C,0.0,0.0,1.0,1.0,True
2064739041458261120,CygOB2-C,0.0,0.0,1.0,1.0,True
2064741485297332736,CygOB2-C,0.0,0.0,1.0,1.0,True
2064742894046619264,CygOB2-B,0.0,1.0,0.0,1.0,True
2064745986423098752,CygOB2-C,0.0,0.0,1.0,1.0,True
2064746604898423168,CygOB2-B,0.0,1.0,0.0,1.0,True
2064747841849033344,CygOB2-C,0.0,0.0,1.0,1.0,True
2064747841849036416,CygOB2-C,0.0,0.0,1.0,1.0,True
2064748559105788160,CygOB2-C,0.0,0.0,1.0,1.0,True
2064749044439863680,CygOB2-C,0.0,0.0,1.0,1.0,True
2064749319317751808,CygOB2-C,0.0,0.0,1.0,1.0,True
2064749830416451712,CygOB2-B,0.0,0.58,0.42,0.58,False
2064749933495669248,CygOB2-C,0.0,0.0,1.0,1.0,True
2064750281390472832,CygOB2-C,0.0,0.0,1.0,1.0,True
2064750281390475392,CygOB2-C,0.0,0.0,1.0,1.0,True
2064750384469663744,CygOB2-C,0.0,0.0,1.0,1.0,True
2064750762426801792,CygOB2-C,0.0,0.0,1.0,1.0,True
2064750968585138176,CygOB2-C,0.0,0.0,1.0,1.0,True
2064751002944871040,CygOB2-C,0.0,0.0,1.0,1.0,True
2064753923522640384,CygOB2-C,0.0,0.0,1.0,1.0,True
2064755126113527680,CygOB2-C,0.0,0.0,1.0,1.0,True
2064755778948583168,CygOB2-C,0.0,0.0,1.0,1.0,True
2064756225625181056,CygOB2-C,0.0,0.0,1.0,1.0,True
2064756603582319616,CygOB2-C,0.0,0.0,1.0,1.0,True
2064756603582321408,CygOB2-C,0.0,0.0,1.0,1.0,True
2064756736723896576,CygOB2-C,0.0,0.0,1.0,1.0,True
2064756878460242304,CygOB2-B,0.0,1.0,0.0,1.0,True
2064757084618649984,CygOB2-C,0.0,0.0,1.0,1.0,True
2064757118978386688,CygOB2-C,0.0,0.0,1.0,1.0,True
2064757359496572928,CygOB2-C,0.0,0.0,1.0,1.0,True
2064757428216054528,CygOB2-C,0.0,0.0,1.0,1.0,True
2064757531295215232,CygOB2-C,0.0,0.0,1.0,1.0,True
2064757698797394688,CygOB2-C,0.0,0.0,1.0,1.0,True
2064757703093913984,CygOB2-C,0.0,0.0,1.0,1.0,True
2064835665339710464,CygOB2-C,0.0,0.0,1.0,1.0,True
2064847652591484928,CygOB2-C,0.0,0.0,1.0,1.0,True
2064849031276177408,CygOB2-C,0.0,0.0,1.0,1.0,True
2064855834506613120,CygOB2-C,0.0,0.0,1.0,1.0,True
2064857827371434240,CygOB2-C,0.0,0.0,1.0,1.0,True
2067362377422465536,CygOB2-B,0.0,1.0,0.0,1.0,True
2067393198107400448,CygOB2-B,0.0,1.0,0.0,1.0,True
2067393404265847296,CygOB2-B,0.0,1.0,0.0,1.0,True
2067393507345061632,CygOB2-B,0.0,1.0,0.0,1.0,True
2067396427922842240,CygOB2-B,0.0,1.0,0.0,1.0,True
2067396427923058816,CygOB2-B,0.0,1.0,0.0,1.0,True
2067397802312424576,CygOB2-B,0.0,1.0,0.0,1.0,True
2067400241853682176,CygOB2-B,0.0,1.0,0.0,1.0,True
2067400585451070592,CygOB2-B,0.0,1.0,0.0,1.0,True
2067401788042158336,CygOB2-B,0.0,1.0,0.0,1.0,True
2067402647035627264,CygOB2-B,0.0,1.0,0.0,1.0,True
2067403265510696576,CygOB2-B,0.0,1.0,0.0,1.0,True
2067406667125046400,CygOB2-B,0.0,1.0,0.0,1.0,True
2067406907643207040,CygOB2-B,0.0,1.0,0.0,1.0,True
2067406942002945152,CygOB2-B,0.0,1.0,0.0,1.0,True
2067408453831404288,CygOB2-B,0.0,1.0,0.0,1.0,True
2067411782427371648,CygOB2-B,0.0,1.0,0.0,1.0,True
2067413294255953152,CygOB2-B,0.0,1.0,0.0,1.0,True
2067413435993710592,CygOB2-B,0.0,1.0,0.0,1.0,True
2067414157548148096,CygOB2-B,0.0,1.0,0.0,1.0,True
2067414157548148480,CygOB2-B,0.0,1.0,0.0,1.0,True
2067415050901346304,CygOB2-B,0.0,1.0,0.0,1.0,True
2067416184772355456,CygOB2-B,0.0,1.0,0.0,1.0,True
2067417593521880448,CygOB2-B,0.0,1.0,0.0,1.0,True
2067417593521880576,CygOB2-B,0.0,1.0,0.0,1.0,True
2067417971478993536,CygOB2-B,0.0,1.0,0.0,1.0,True
2067418070258821120,CygOB2-B,0.0,1.0,0.0,1.0,True
2067418452515314048,CygOB2-B,0.0,1.0,0.0,1.0,True
2067418521234792960,CygOB2-B,0.0,1.0,0.0,1.0,True
2067418693033490560,CygOB2-B,0.0,1.0,0.0,1.0,True
2067418727393227648,CygOB2-B,0.0,1.0,0.0,1.0,True
2067419655106172928,CygOB2-B,0.0,1.0,0.0,1.0,True
2067420239221731200,CygOB2-B,0.0,1.0,0.0,1.0,True
2067420582819131648,CygOB2-B,0.0,1.0,0.0,1.0,True
2067420617178872704,CygOB2-B,0.0,1.0,0.0,1.0,True
2067421510532071552,CygOB2-B,0.0,1.0,0.0,1.0,True
2067421613611295872,CygOB2-B,0.0,1.0,0.0,1.0,True
2067422713122905984,CygOB2-B,0.0,1.0,0.0,1.0,True
2067423022360563328,CygOB2-B,0.0,1.0,0.0,1.0,True
2067423194159256064,CygOB2-B,0.0,1.0,0.0,1.0,True
2067423228519095168,CygOB2-B,0.0,1.0,0.0,1.0,True
2067426320895622656,CygOB2-B,0.0,1.0,0.0,1.0,True
2067426935072182528,CygOB2-B,0.0,1.0,0.0,1.0,True
2067428038882397312,CygOB2-B,0.0,1.0,0.0,1.0,True
2067428172022791936,CygOB2-B,0.0,1.0,0.0,1.0,True
2067428829156381568,CygOB2-B,0.0,1.0,0.0,1.0,True
2067431058245408640,CygOB2-B,0.0,1.0,0.0,1.0,True
2067431681014667648,CygOB2-B,0.0,1.0,0.0,1.0,True
2067432162051005824,CygOB2-B,0.0,1.0,0.0,1.0,True
2067433364641853952,CygOB2-B,0.0,1.0,0.0,1.0,True
2067590010689784576,CygOB2-B,0.0,1.0,0.0,1.0,True
2067609733179579648,CygOB2-B,0.0,1.0,0.0,1.0,True
2067611210648350848,CygOB2-B,0.0,1.0,0.0,1.0,True
2067611451166508416,CygOB2-B,0.0,1.0,0.0,1.0,True
2067611622965211136,CygOB2-B,0.0,1.0,0.0,1.0,True
2067611966563104000,CygOB2-B,0.0,1.0,0.0,1.0,True
2067612172721010304,CygOB2-B,0.0,1.0,0.0,1.0,True
2067613100434471808,CygOB2-B,0.0,1.0,0.0,1.0,True
2067613375312538112,CygOB2-B,0.0,1.0,0.0,1.0,True
2067615329516929536,CygOB2-B,0.0,1.0,0.0,1.0,True
2067616089731726080,CygOB2-B,0.0,1.0,0.0,1.0,True
2067616502048585088,CygOB2-B,0.0,1.0,0.0,1.0,True
2067617945157612672,CygOB2-B,0.0,1.0,0.0,1.0,True
2067619903662675328,CygOB2-B,0.0,1.0,0.0,1.0,True
2067621209332428672,CygOB2-B,0.0,1.0,0.0,1.0,True
2067622583721972096,CygOB2-A,1.0,0.0,0.0,1.0,True
2067623614514129408,CygOB2-B,0.0,1.0,0.0,1.0,True
2067629146432315520,CygOB2-B,0.0,1.0,0.0,1.0,True
2067629490029699072,CygOB2-B,0.0,1.0,0.0,1.0,True
2067634643992033792,CygOB2-B,0.0,1.0,0.0,1.0,True
2067636495117044608,CygOB2-B,0.0,1.0,0.0,1.0,True
2067638801518504576,CygOB2-B,0.0,1.0,0.0,1.0,True
2067642920388313600,CygOB2-B,0.0,1.0,0.0,1.0,True
2067643337003996032,CygOB2-A,1.0,0.0,0.0,1.0,True
2067722879797395200,CygOB2-B,0.0,1.0,0.0,1.0,True
2067723085955170176,CygOB2-B,0.0,1.0,0.0,1.0,True
2067723944948650240,CygOB2-B,0.0,1.0,0.0,1.0,True
2067724941380944768,CygOB2-B,0.0,1.0,0.0,1.0,True
2067725559856284160,CygOB2-B,0.0,1.0,0.0,1.0,True
2067726006532873728,CygOB2-B,0.0,1.0,0.0,1.0,True
2067726040892611456,CygOB2-B,0.0,1.0,0.0,1.0,True
2067726143971832704,CygOB2-C,0.0,0.0,1.0,1.0,True
2067727758879532800,CygOB2-B,0.0,1.0,0.0,1.0,True
2067727788948060544,CygOB2-B,0.0,1.0,0.0,1.0,True
2067728308635350272,CygOB2-C,0.0,0.0,1.0,1.0,True
2067728446074316544,CygOB2-B,0.0,1.0,0.0,1.0,True
2067728446074321408,CygOB2-B,0.0,1.0,0.0,1.0,True
2067728647934026112,CygOB2-B,0.0,1.0,0.0,1.0,True
2067728892750936704,CygOB2-B,0.0,1.0,0.0,1.0,True
2067728892750937856,CygOB2-B,0.0,1.0,0.0,1.0,True
2067729373787266944,CygOB2-B,0.0,1.0,0.0,1.0,True
2067729442506751232,CygOB2-C,0.0,0.0,1.0,1.0,True
2067729614305451392,CygOB2-B,0.0,1.0,0.0,1.0,True
2067729957902858496,CygOB2-B,0.0,1.0,0.0,1.0,True
2067730060982053248,CygOB2-C,0.0,0.0,1.0,1.0,True
2067730297201528960,CygOB2-B,0.0,1.0,0.0,1.0,True
2067730301500231808,CygOB2-B,0.0,1.0,0.0,1.0,True
2067730438939185536,CygOB2-B,0.0,1.0,0.0,1.0,True
2067730542018416000,CygOB2-B,0.0,1.0,0.0,1.0,True
2067730542018417408,CygOB2-B,0.0,1.0,0.0,1.0,True
2067730816896264832,CygOB2-B,0.0,1.0,0.0,1.0,True
2067731194853389952,CygOB2-B,0.0,1.0,0.0,1.0,True
2067731366652085632,CygOB2-C,0.0,0.0,1.0,1.0,True
2067731572810523520,CygOB2-C,0.0,0.0,1.0,1.0,True
2067731912109291136,CygOB2-C,0.0,0.0,1.0,1.0,True
2067732118267729792,CygOB2-C,0.0,0.0,1.0,1.0,True
2067732466163743488,CygOB2-C,0.0,0.0,1.0,1.0,True
2067732741041671680,CygOB2-C,0.0,0.0,1.0,1.0,True
2067733496955925760,CygOB2-B,0.0,1.0,0.0,1.0,True
2067733531316292992,CygOB2-B,0.0,1.0,0.0,1.0,True
2067734012352626816,CygOB2-B,0.0,1.0,0.0,1.0,True
2067734046712367744,CygOB2-B,0.0,1.0,0.0,1.0,True
2067734149791578112,CygOB2-B,0.0,1.0,0.0,1.0,True
2067734665187076096,CygOB2-B,0.0,1.0,0.0,1.0,True
2067734867046681472,CygOB2-B,0.0,1.0,0.0,1.0,True
2067734901406331776,CygOB2-B,0.0,1.0,0.0,1.0,True
2067735524180487424,CygOB2-B,0.0,1.0,0.0,1.0,True
2067735592899970688,CygOB2-B,0.0,1.0,0.0,1.0,True
2067736177015559808,CygOB2-B,0.0,1.0,0.0,1.0,True
2067736486253219712,CygOB2-B,0.0,1.0,0.0,1.0,True
2067736761131100416,CygOB2-B,0.0,1.0,0.0,1.0,True
2067737001649308160,CygOB2-B,0.0,1.0,0.0,1.0,True
2067737104728519040,CygOB2-B,0.0,1.0,0.0,1.0,True
2067738238599929728,CygOB2-B,0.0,1.0,0.0,1.0,True
2067738891434968320,CygOB2-B,0.0,1.0,0.0,1.0,True
2067738960154438144,CygOB2-B,0.0,1.0,0.0,1.0,True
2067739196373775872,CygOB2-B,0.0,1.0,0.0,1.0,True
2067739406831002752,CygOB2-B,0.0,1.0,0.0,1.0,True
2067739441190748800,CygOB2-B,0.0,1.0,0.0,1.0,True
2067739544269955328,CygOB2-B,0.0,1.0,0.0,1.0,True
2067739814849089920,CygOB2-B,0.0,1.0,0.0,1.0,True
2067739922227079808,CygOB2-B,0.0,1.0,0.0,1.0,True
2067740471982924928,CygOB2-B,0.0,1.0,0.0,1.0,True
2067740678141363584,CygOB2-B,0.0,1.0,0.0,1.0,True
2067740678141366016,CygOB2-B,0.0,1.0,0.0,1.0,True
2067740918659539840,CygOB2-B,0.0,1.0,0.0,1.0,True
2067740948720482688,CygOB2-B,0.0,1.0,0.0,1.0,True
2067741090458227584,CygOB2-B,0.0,1.0,0.0,1.0,True
2067741915091852288,CygOB2-B,0.0,1.0,0.0,1.0,True
2067742018171052928,CygOB2-B,0.0,1.0,0.0,1.0,True
2067742293048944768,CygOB2-B,0.0,1.0,0.0,1.0,True
2067742357469757440,CygOB2-C,0.0,0.0,1.0,1.0,True
2067742464847661312,CygOB2-B,0.0,1.0,0.0,1.0,True
2067742774085336576,CygOB2-B,0.0,1.0,0.0,1.0,True
2067742804146152832,CygOB2-C,0.0,0.0,1.0,1.0,True
2067742838506080384,CygOB2-B,0.0,1.0,0.0,1.0,True
2067742842804794880,CygOB2-B,0.0,1.0,0.0,1.0,True
2067742872872468480,CygOB2-B,0.0,1.0,0.0,1.0,True
2067742877164546176,CygOB2-B,0.0,1.0,0.0,1.0,True
2067742945884029440,CygOB2-B,0.0,1.0,0.0,1.0,True
2067743010305803520,CygOB2-B,0.0,1.0,0.0,1.0,True
2067743117682727936,CygOB2-B,0.0,1.0,0.0,1.0,True
2067743152042468736,CygOB2-B,0.0,1.0,0.0,1.0,True
2067743186402212864,CygOB2-B,0.0,1.0,0.0,1.0,True
2067743358200873344,CygOB2-B,0.0,1.0,0.0,1.0,True
2067743358200874112,CygOB2-B,0.0,1.0,0.0,1.0,True
2067743392560607488,CygOB2-C,0.0,0.0,1.0,1.0,True
2067743392560609920,CygOB2-C,0.0,0.0,1.0,1.0,True
2067743426920351616,CygOB2-B,0.0,1.0,0.0,1.0,True
2067743426920354176,CygOB2-B,0.0,1.0,0.0,1.0,True
2067743598719068928,CygOB2-B,0.0,1.0,0.0,1.0,True
2067743766219029888,CygOB2-B,0.0,1.0,0.0,1.0,True
2067743976676133888,CygOB2-B,0.0,1.0,0.0,1.0,True
2067743976676134784,CygOB2-C,0.0,0.0,1.0,1.0,True
2067744732590386048,CygOB2-B,0.0,1.0,0.0,1.0,True
2067744766950125696,CygOB2-B,0.0,1.0,0.0,1.0,True
2067744938748847488,CygOB2-B,0.0,1.0,0.0,1.0,True
2067744973108582272,CygOB2-C,0.0,0.0,1.0,1.0,True
2067744973108587520,CygOB2-B,0.0,1.0,0.0,1.0,True
2067744973108587648,CygOB2-B,0.0,1.0,0.0,1.0,True
2067745076187793024,CygOB2-B,0.0,1.0,0.0,1.0,True
2067745282346242432,CygOB2-B,0.0,1.0,0.0,1.0,True
2067745316705981312,CygOB2-B,0.0,1.0,0.0,1.0,True
2067745488504662784,CygOB2-B,0.0,1.0,0.0,1.0,True
2067746003901110400,CygOB2-B,0.0,1.0,0.0,1.0,True
2067746072620590208,CygOB2-B,0.0,1.0,0.0,1.0,True
2067746102681270400,CygOB2-B,0.0,1.0,0.0,1.0,True
2067746141339716224,CygOB2-B,0.0,1.0,0.0,1.0,True
2067746278779026816,CygOB2-B,0.0,1.0,0.0,1.0,True
2067746381857906688,CygOB2-B,0.0,1.0,0.0,1.0,True
2067746381857908864,CygOB2-C,0.0,0.0,1.0,1.0,True
2067746519296848000,CygOB2-B,0.0,1.0,0.0,1.0,True
2067746828534503424,CygOB2-B,0.0,1.0,0.0,1.0,True
2067746897253997696,CygOB2-C,0.0,0.0,1.0,1.0,True
2067746965973462016,CygOB2-B,0.0,1.0,0.0,1.0,True
