eps,min_samples,target_rows,target_largest_rows,target_largest_fraction_analysis,control_largest_rows_json,mean_control_to_target_largest_ratio,berlanas_quality_target_denominator,berlanas_seed_recovered,berlanas_seed_recall
0.03,10,14636,412,0.0020699252917740565,"[273, 28, 0]",0.24352750809061488,166,51,0.3072289156626506
0.04,10,14636,1325,0.006656919931069478,"[2461, 87, 0]",0.6410062893081762,166,117,0.7048192771084337
0.05,10,14636,1922,0.009656301967936255,"[6505, 1124, 14]",1.3255289628858826,166,135,0.8132530120481928
0.06,10,14636,2578,0.012952105345129897,"[9987, 2881, 57]",1.6711921386087405,166,153,0.9216867469879518
0.07,10,14636,3094,0.015544536050361484,"[12952, 4663, 185]",1.9176901529842705,166,154,0.927710843373494
0.08,10,14636,3615,0.018162087208163143,"[15669, 7062, 284]",2.1221761180267404,166,155,0.9337349397590361
0.1,10,14636,4502,0.02261845549409418,"[20323, 11199, 381]",2.362135347253073,166,157,0.9457831325301205
0.03,15,14636,160,0.0008038544822423521,"[31, 0, 0]",0.06458333333333334,166,19,0.1144578313253012
0.04,15,14636,999,0.005019066423500686,"[509, 48, 0]",0.18585251918585252,166,103,0.6204819277108434
0.05,15,14636,1588,0.007978255736255345,"[4006, 111, 0]",0.8641897565071368,166,125,0.7530120481927711
0.06,15,14636,2069,0.010394843273496416,"[7322, 1614, 20]",1.4428870629933945,166,142,0.8554216867469879
0.07,15,14636,2637,0.013248526685456766,"[10505, 3061, 96]",1.726962457337884,166,152,0.9156626506024096
0.08,15,14636,3162,0.015886174205314484,"[13125, 4736, 189]",1.9028041324056506,166,155,0.9337349397590361
0.1,15,14636,3927,0.019729603448535728,"[17434, 8641, 329]",2.241235888294712,166,156,0.9397590361445783
0.03,20,14636,35,0.00017584316799051453,"[0, 0, 0]",0.0,166,7,0.04216867469879518
0.04,20,14636,655,0.003290779286679629,"[360, 35, 0]",0.2010178117048346,166,76,0.4578313253012048
0.05,20,14636,1353,0.00679759446546189,"[2357, 95, 0]",0.604089677260409,166,120,0.7228915662650602
0.06,20,14636,1797,0.009028290653684417,"[5417, 508, 0]",1.0990539788536449,166,134,0.8072289156626506
0.07,20,14636,2396,0.012037720871579222,"[8384, 2025, 29]",1.4521424596549806,166,145,0.8734939759036144
0.08,20,14636,2769,0.013911706633306705,"[11038, 3451, 116]",1.7581557722402792,166,154,0.927710843373494
0.1,20,14636,3668,0.01842836400540592,"[15484, 6931, 289]",2.063249727371865,166,156,0.9397590361445783
