cluster_prior,target_yield,control_yields_json,mean_control_to_target_ratio
0.01,1030,"[42, 37, 17]",0.031067961165048542
0.015,1203,"[76, 58, 29]",0.04516486561374342
0.019999999999999997,1345,"[112, 85, 41]",0.05898389095415117
0.024999999999999998,1429,"[142, 106, 48]",0.06904595288080242
0.03,1501,"[177, 126, 58]",0.08016877637130801
0.034999999999999996,1573,"[212, 144, 63]",0.08878999788090697
0.039999999999999994,1626,"[252, 163, 71]",0.0996309963099631
0.045,1673,"[281, 181, 74]",0.10679418210798963
0.049999999999999996,1716,"[310, 205, 78]",0.11519036519036518
0.05499999999999999,1754,"[325, 228, 85]",0.12124667426833903
0.05999999999999999,1794,"[359, 251, 90]",0.13006317354143443
0.06499999999999999,1833,"[385, 271, 92]",0.13602473176941263
0.06999999999999999,1862,"[421, 289, 95]",0.14411027568922305
0.07499999999999998,1889,"[454, 306, 99]",0.15157931886359624
0.07999999999999999,1909,"[483, 319, 102]",0.1578487864501484
