algorithm,eps,min_samples,target_rows,target_clusters,target_assigned_rows,target_largest_label,target_largest_rows,target_largest_fraction,control_rows_json,control_assigned_rows_json,control_largest_rows_json,control_largest_to_target_largest_ratio,berlanas_target_denominator,berlanas_target_recovered,berlanas_target_recall
DBSCAN_target_field_seed,0.02,10,5371,0,0,,0,0.0,"[6994, 2875, 1793]","[0, 0, 0]","[0, 0, 0]",inf,136,0,0.0
DBSCAN_target_field_seed,0.03,10,5371,9,262,0.0,155,0.02885868553342022,"[6994, 2875, 1793]","[31, 0, 0]","[31, 0, 0]",0.06666666666666667,136,27,0.19852941176470587
DBSCAN_target_field_seed,0.04,10,5371,5,679,0.0,633,0.11785514801712903,"[6994, 2875, 1793]","[139, 0, 0]","[129, 0, 0]",0.0679304897314376,136,90,0.6617647058823529
DBSCAN_target_field_seed,0.05,10,5371,1,966,0.0,966,0.17985477564699312,"[6994, 2875, 1793]","[491, 0, 0]","[292, 0, 0]",0.1007591442374051,136,106,0.7794117647058824
DBSCAN_target_field_seed,0.07,10,5371,5,1304,0.0,1229,0.22882144851982872,"[6994, 2875, 1793]","[1272, 13, 0]","[1041, 13, 0]",0.285869270409547,136,121,0.8897058823529411
DBSCAN_target_field_seed,0.1,10,5371,6,1775,0.0,1590,0.29603425805250416,"[6994, 2875, 1793]","[2526, 116, 32]","[2389, 80, 32]",0.5243186582809224,136,128,0.9411764705882353
DBSCAN_target_field_seed,0.02,15,5371,0,0,,0,0.0,"[6994, 2875, 1793]","[0, 0, 0]","[0, 0, 0]",inf,136,0,0.0
DBSCAN_target_field_seed,0.03,15,5371,2,45,0.0,30,0.005585552038726494,"[6994, 2875, 1793]","[15, 0, 0]","[15, 0, 0]",0.16666666666666666,136,7,0.051470588235294115
DBSCAN_target_field_seed,0.04,15,5371,1,459,0.0,459,0.08545894619251536,"[6994, 2875, 1793]","[56, 0, 0]","[56, 0, 0]",0.040668119099491654,136,71,0.5220588235294118
DBSCAN_target_field_seed,0.05,15,5371,2,810,0.0,786,0.14634146341463414,"[6994, 2875, 1793]","[199, 0, 0]","[183, 0, 0]",0.07760814249363868,136,100,0.7352941176470589
DBSCAN_target_field_seed,0.07,15,5371,1,1171,0.0,1171,0.2180227145782908,"[6994, 2875, 1793]","[801, 0, 0]","[688, 0, 0]",0.1958440079703957,136,121,0.8897058823529411
DBSCAN_target_field_seed,0.1,15,5371,4,1590,0.0,1486,0.27667101098491903,"[6994, 2875, 1793]","[1997, 80, 0]","[1705, 41, 0]",0.3916554508748318,136,127,0.9338235294117647
DBSCAN_target_field_seed,0.02,20,5371,0,0,,0,0.0,"[6994, 2875, 1793]","[0, 0, 0]","[0, 0, 0]",inf,136,0,0.0
DBSCAN_target_field_seed,0.03,20,5371,0,0,,0,0.0,"[6994, 2875, 1793]","[0, 0, 0]","[0, 0, 0]",inf,136,0,0.0
DBSCAN_target_field_seed,0.04,20,5371,2,285,0.0,259,0.0482219326010054,"[6994, 2875, 1793]","[38, 0, 0]","[38, 0, 0]",0.0489060489060489,136,46,0.3382352941176471
DBSCAN_target_field_seed,0.05,20,5371,1,662,0.0,662,0.12325451498789797,"[6994, 2875, 1793]","[104, 0, 0]","[104, 0, 0]",0.05236656596173212,136,93,0.6838235294117647
DBSCAN_target_field_seed,0.07,20,5371,1,1101,0.0,1101,0.20498975982126233,"[6994, 2875, 1793]","[563, 0, 0]","[540, 0, 0]",0.16348773841961853,136,117,0.8602941176470589
DBSCAN_target_field_seed,0.1,20,5371,2,1453,0.0,1406,0.26177620554831504,"[6994, 2875, 1793]","[1593, 32, 0]","[1369, 32, 0]",0.33214793741109533,136,127,0.9338235294117647
