family,R_V,alpha,sf_duration_Myr,explodability,yield_arm,in_headline_set,N_SN_mean,mean_progenitor_Msun,rate_now_per_Myr,M_al26_Msun,M_fe60_Msun,M_al26_steady_state_Msun,M_fe60_steady_state_Msun,saturation_al26,saturation_fe60,F_1809_ph_cm2_s,F_1173_ph_cm2_s,F_1332_ph_cm2_s,F_fe60_combined_ph_cm2_s
PARSEC,3.0,2.0,0.0,all_explode,LC06_NL,True,23.3888,77.92,18.04,0.0031710419452588567,0.010588292650029791,0.004837500210156721,0.0380263457260612,0.6555125183459423,0.27844623110269434,1.3925275752336624e-05,5.604958064662763e-06,5.609446519569399e-06,1.1214404584232163e-05
PARSEC,3.0,2.0,0.0,all_explode,LC06_Langer,True,23.3888,77.92,18.04,0.0009258866290708231,0.0003819285124117524,0.0013252707264898372,0.0013140207741080523,0.6986396142040818,0.29065637312393533,4.065927492535939e-06,2.0217549387066486e-07,2.0233739616805878e-07,4.0451289003872366e-07
PARSEC,3.0,2.0,0.0,all_explode,LC18_REC,True,23.3888,77.92,18.04,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.0,2.0,1.0,all_explode,LC06_NL,True,23.3261,77.23,18.715,0.003087489252350855,0.010350497212743554,0.004960879831951106,0.03885803419289482,0.6223672729312112,0.26636697989823016,1.3558363453893585e-05,5.479080031441443e-06,5.483467683118273e-06,1.0962547714559716e-05
PARSEC,3.0,2.0,1.0,all_explode,LC06_Langer,True,23.3261,77.23,18.715,0.0009298641336953007,0.00039066095677236834,0.0013893007220740939,0.0014031243222321897,0.669303714394607,0.2784221972226076,4.083394258872744e-06,2.0679805069460333e-07,2.069636547392036e-07,4.1376170543380693e-07
PARSEC,3.0,2.0,1.0,all_explode,LC18_REC,True,23.3261,77.23,18.715,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.0,2.0,2.0,all_explode,LC06_NL,True,24.1426,75.65,21.6737,0.003051926758796184,0.01012925385482289,0.005591577158222655,0.04305549814520543,0.545807859292113,0.23526040322798736,1.3402194744132456e-05,5.3619639123259595e-06,5.366257777320815e-06,1.0728221689646774e-05
PARSEC,3.0,2.0,2.0,all_explode,LC06_Langer,True,24.1426,75.65,21.6737,0.0009455431542449301,0.00042525814844721673,0.0016213155659435792,0.001727232767232717,0.5831950140407364,0.24620778190107134,4.1522469225868214e-06,2.25112222289783e-07,2.252924923376627e-07,4.504047146274457e-07
PARSEC,3.0,2.0,2.0,all_explode,LC18_REC,True,24.1426,75.65,21.6737,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.0,2.3,0.0,all_explode,LC06_NL,True,8.7859,77.21,7.7482,0.0012251269520029368,0.00395253510481834,0.002054876460957308,0.016038576844563463,0.5962046747239419,0.24643926597253646,5.380007875256258e-06,2.092291386709254e-06,2.0939668953272394e-06,4.186258282036494e-06
PARSEC,3.0,2.3,0.0,all_explode,LC06_Langer,True,8.7859,77.21,7.7482,0.00035960751871914225,0.0001446608273183986,0.0005695592056910508,0.0005634920734087885,0.6313786435649434,0.25672202706115727,1.5791761658229439e-06,7.657682853304627e-08,7.663815131865834e-08,1.5321497985170461e-07
PARSEC,3.0,2.3,0.0,all_explode,LC18_REC,True,8.7859,77.21,7.7482,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.0,2.3,1.0,all_explode,LC06_NL,True,8.8054,76.31,7.8936,0.0011891913239161888,0.003853436851779058,0.002061849941248236,0.0159939926319251,0.5767593946222181,0.24093026303434295,5.222200586964293e-06,2.039833302018428e-06,2.0414668021601844e-06,4.081300104178613e-06
PARSEC,3.0,2.3,1.0,all_explode,LC06_Langer,True,8.8054,76.31,7.8936,0.00036145441545621895,0.00014895526614847136,0.0005858494582195842,0.0005922504364476549,0.6169749077769754,0.2515072290058777,1.587286606111612e-06,7.88501081211156e-08,7.891325135084222e-08,1.5776335947195782e-07
PARSEC,3.0,2.3,1.0,all_explode,LC18_REC,True,8.8054,76.31,7.8936,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.0,2.3,2.0,all_explode,LC06_NL,True,9.2239,74.21,8.917,0.0011684104172124661,0.003744596429788002,0.0022457089325260307,0.017004322408488915,0.5202857771502063,0.22021438666198312,5.130943561283638e-06,1.982218158466615e-06,1.983805520355277e-06,3.9660236788218925e-06
PARSEC,3.0,2.3,2.0,all_explode,LC06_Langer,True,9.2239,74.21,8.917,0.0003708277910066457,0.0001652251912363967,0.000667382243018328,0.0007162794404645424,0.5556452765802189,0.23067141383988354,1.6284487356334426e-06,8.746266265159219e-08,8.753270282188377e-08,1.7499536547347595e-07
PARSEC,3.0,2.3,2.0,all_explode,LC18_REC,True,9.2239,74.21,8.917,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.0,2.6,0.0,all_explode,LC06_NL,False,3.1256,76.98,3.1913,0.0004540073184843184,0.0014194121849613187,0.0008432794655169881,0.006572107120319741,0.5383829881425855,0.21597520536035672,1.993722319859431e-06,7.51371919547119e-07,7.519736187819916e-07,1.5033455383291107e-06
PARSEC,3.0,2.6,0.0,all_explode,LC06_Langer,False,3.1256,76.98,3.1913,0.0001330302105078159,5.1920924910231314e-05,0.0002351977826751832,0.00023167976889318677,0.565609968745052,0.2241064256852261,5.841872787215701e-07,2.7484563982044067e-08,2.7506573642890548e-08,5.4991137624934615e-08
PARSEC,3.0,2.6,0.0,all_explode,LC18_REC,False,3.1256,76.98,3.1913,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.0,2.6,1.0,all_explode,LC06_NL,False,3.1492,75.75,3.1775,0.0004389959104767903,0.0013756502473475966,0.0008224302317346466,0.006341700917449343,0.5337789073619928,0.21692133786417803,1.927801401894847e-06,7.282063504359734e-07,7.287894986645509e-07,1.4569958491005242e-06
PARSEC,3.0,2.6,1.0,all_explode,LC06_Langer,False,3.1492,75.75,3.1775,0.00013368009242430913,5.3751989578700844e-05,0.00023585150905907137,0.00023812942620391448,0.5667976980839567,0.22572594422947148,5.870411624133819e-07,2.8453845906871532e-08,2.8476631769459614e-08,5.693047767633114e-08
PARSEC,3.0,2.6,1.0,all_explode,LC18_REC,False,3.1492,75.75,3.1775,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.0,2.6,2.0,all_explode,LC06_NL,False,3.3755,73.06,3.5313,0.00043254663866424244,0.00133801309024342,0.0008720133525292804,0.006508507275956374,0.4960321277301983,0.20557910339691668,1.8994801466286481e-06,7.082829601204025e-07,7.088501536820605e-07,1.417133113802463e-06
PARSEC,3.0,2.6,2.0,all_explode,LC06_Langer,False,3.3755,73.06,3.5313,0.00013955811078457264,6.131351857202756e-05,0.00026424120715196623,0.0002849510782151254,0.5281466592162221,0.2151720883320841,6.128538220870733e-07,3.2456573666026225e-08,3.248256491620923e-08,6.493913858223546e-08
PARSEC,3.0,2.6,2.0,all_explode,LC18_REC,False,3.3755,73.06,3.5313,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.1,2.0,0.0,all_explode,LC06_NL,True,22.3229,80.12,18.8699,0.0033083707825888914,0.01094974535111025,0.005240250715775133,0.04218384437352637,0.631338262619658,0.25957201183830614,1.4528339969581599e-05,5.7962946001059306e-06,5.800936277463374e-06,1.1597230877569305e-05
PARSEC,3.1,2.0,0.0,all_explode,LC06_Langer,True,22.3229,80.12,18.8699,0.0009252241143231803,0.0003596048255831837,0.0013909361202670877,0.0013388371277528199,0.6651808813085669,0.26859490085008686,4.063018133180188e-06,1.9035835463411002e-07,1.9051079375694014e-07,3.8086914839105015e-07
PARSEC,3.1,2.0,0.0,all_explode,LC18_REC,True,22.3229,80.12,18.8699,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.1,2.0,1.0,all_explode,LC06_NL,True,22.2342,79.35,19.1494,0.0032077804020294695,0.010663587847665315,0.005251835006806496,0.042089329735254685,0.6107923036180904,0.25335608608500426,1.4086608572929232e-05,5.644815900025523e-06,5.649336273118636e-06,1.129415217314416e-05
PARSEC,3.1,2.0,1.0,all_explode,LC06_Langer,True,22.2342,79.35,19.1494,0.0009228892158355676,0.0003660114714480561,0.0014215406699991315,0.0013945093566002957,0.6492175956078213,0.26246612811574344,4.052764687828469e-06,1.9374974006277531e-07,1.9390489500977254e-07,3.8765463507254783e-07
PARSEC,3.1,2.0,1.0,all_explode,LC18_REC,True,22.2342,79.35,19.1494,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.1,2.0,2.0,all_explode,LC06_NL,True,23.0333,77.3,22.231,0.0031210501534637987,0.01026438510811025,0.005893313399305619,0.04611556927529545,0.5295917494955448,0.22257960314520026,1.3705742394494916e-05,5.433496220029868e-06,5.437847368154016e-06,1.0871343588183883e-05
PARSEC,3.1,2.0,2.0,all_explode,LC06_Langer,True,23.0333,77.3,22.231,0.0009256076539809195,0.00039894474607775587,0.001650389403690358,0.0017237014519831527,0.5608419757853582,0.23144654523482708,4.064702404655676e-06,2.111831100434369e-07,2.113522256470753e-07,4.225353356905122e-07
PARSEC,3.1,2.0,2.0,all_explode,LC18_REC,True,23.0333,77.3,22.231,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.1,2.3,0.0,all_explode,LC06_NL,True,8.4351,79.36,8.026,0.0012736184464910067,0.004100400473771765,0.0022035737342737693,0.01762819400542131,0.5779785929926019,0.2326046827321473,5.592952845409959e-06,2.1705645530820687e-06,2.172302742914367e-06,4.342867295996436e-06
PARSEC,3.1,2.3,0.0,all_explode,LC06_Langer,True,8.4351,79.36,8.026,0.0003595408805808413,0.00013677693842200467,0.0005928260089237968,0.0005688082268054047,0.6064863470372089,0.24046230693635431,1.5788835318977288e-06,7.24034581785138e-08,7.24614389258039e-08,1.448648971043177e-07
PARSEC,3.1,2.3,0.0,all_explode,LC18_REC,True,8.4351,79.36,8.026,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.1,2.3,1.0,all_explode,LC06_NL,True,8.4378,78.36,8.0224,0.001231359031862803,0.003976863926837928,0.0021666948938122007,0.01719743467578785,0.5683121492460265,0.23124750881809875,5.407375356373615e-06,2.1051699528473036e-06,2.1068557746313656e-06,4.21202572747867e-06
