stage,count,median,mean,std,mass_lo,mass_hi
frozen_before_repair,459,-1.4705948534204207,-1.5899150706129732,1.2107081221359455,2.0,2.52
frozen_before_repair,130,-0.2531676928833386,-0.18578484068164475,0.900837318566588,2.52,3.17
frozen_before_repair,170,0.15178337292271893,0.22429185119817727,0.7452261298439145,3.17,5.04
frozen_before_repair,77,0.6133166493504962,0.7758527046649786,1.0088550181783031,5.04,6.35
frozen_before_repair,58,1.8443818571149952,1.9107396389247866,0.8401167835752573,6.35,8.0
frozen_before_repair,118,1.4913970823859417,1.2809847108744645,1.2689583254966625,8.0,12.0
repair_v1,130,0.023178945649588112,0.009297069020912591,0.09724636843565085,2.0,2.52
repair_v1,254,-0.03780640937968727,-0.04649557887835187,0.08572823154832672,2.52,3.17
repair_v1,407,-0.0649977314705934,-0.07774891606179699,0.08786527730719139,3.17,5.04
repair_v1,128,-0.06630994062701578,-0.07694081305883246,0.10200134135429081,5.04,6.35
repair_v1,110,-0.05315944139215123,-0.07413236285658484,0.1183730745426059,6.35,8.0
repair_v1,104,-0.011273119314861635,-0.04840545543309864,0.1154454211682331,8.0,12.0
