subgroup,family,R_V,f_bin,indicator,dmu,n_stars,measurable,grid_railed,exclusion_reason,age_map,age_lo68,age_hi68,age_lo90,age_hi90
CygOB2-A,PARSEC,3.0,0.3,ums,0.0,325,True,False,,4.466835921509632,4.453396348348457,4.608524121839959,4.425312619398281,4.677325333440895
CygOB2-A,PARSEC,3.0,0.3,pms,0.0,53,True,False,,3.1622776601683795,2.5537401831610076,3.175455737750112,2.456521873758122,3.3091956912614653
CygOB2-B,PARSEC,3.0,0.3,ums,0.0,328,True,False,,3.9810717055349722,3.9394306188980788,3.998121425582888,3.916869153357083,4.013607644224472
CygOB2-B,PARSEC,3.0,0.3,pms,0.0,39,True,False,,3.1622776601683795,2.8749027267839677,3.55671640697053,2.744609915623387,3.7585836896767804
CygOB2-C,PARSEC,3.0,0.3,ums,0.0,394,True,False,,3.9810717055349722,3.95562128472434,4.02131195822028,3.936338445596705,4.0454714300143415
CygOB2-C,PARSEC,3.0,0.3,pms,0.0,5,False,False,n_stars_below_15,1.2589254117941673,1.1039546910631772,1.5596645476695197,1.0371637011261623,1.7872277905419356
CygOB2-A,PARSEC,3.0,0.4,ums,0.0,325,True,False,,4.466835921509632,4.460795311353518,4.6539508202529865,4.4305254431650996,4.7417669692140985
CygOB2-A,PARSEC,3.0,0.4,pms,0.0,53,True,False,,3.1622776601683795,2.8666981316710314,3.333020878820658,2.6467265287182977,3.489093579973733
CygOB2-B,PARSEC,3.0,0.4,ums,0.0,328,True,False,,3.9810717055349722,3.9411411557355525,3.998759235706406,3.9191834277147137,4.014421188322342
CygOB2-B,PARSEC,3.0,0.4,pms,0.0,39,True,False,,3.548133892335755,2.9897625323904844,3.6727344986082495,2.821177487975298,3.8647936596676598
CygOB2-C,PARSEC,3.0,0.4,ums,0.0,394,True,False,,3.9810717055349722,3.956783585285832,4.023086735069336,3.937705760539406,4.048003149040533
CygOB2-C,PARSEC,3.0,0.4,pms,0.0,5,False,False,n_stars_below_15,1.2589254117941673,1.117884729270366,1.6325133769773283,1.0428745649861682,1.9213482206491457
CygOB2-A,PARSEC,3.0,0.5,ums,0.0,325,True,False,,4.466835921509632,4.474925809760285,4.750165858811856,4.438411447542835,4.871428240496178
CygOB2-A,PARSEC,3.0,0.5,pms,0.0,53,True,False,,3.1622776601683795,3.0521293833023577,3.516241580801056,2.9111993186538885,3.675842242709175
CygOB2-B,PARSEC,3.0,0.5,ums,0.0,328,True,False,,3.9810717055349722,3.9425822815698317,3.9992978997344717,3.9212531377462874,4.015089866936173
CygOB2-B,PARSEC,3.0,0.5,pms,0.0,39,True,False,,3.548133892335755,3.1076938902169298,3.755338918889714,2.9060869316889857,3.9500723576570933
CygOB2-C,PARSEC,3.0,0.5,ums,0.0,394,True,False,,3.9810717055349722,3.9578433867789884,4.024769489819721,3.938998415169922,4.050135572372859
CygOB2-C,PARSEC,3.0,0.5,pms,0.0,5,False,False,n_stars_below_15,1.2589254117941673,1.1409255165589378,1.7602959169844408,1.052622790463876,2.1773056173229715
CygOB2-A,MIST,3.0,0.3,ums,0.0,325,True,False,,4.500388435263084,4.460251840917092,4.5083176424412175,4.44014074753964,4.518881349647997
CygOB2-A,MIST,3.0,0.3,pms,0.0,53,True,False,,2.2477603184951818,2.1898278223841228,2.3241326262665916,2.1458794736281743,2.4510865518023603
CygOB2-B,MIST,3.0,0.3,ums,0.0,328,True,False,,3.570672345572628,3.5641717548323113,3.6226428645601176,3.5528468724531,3.6480452635681324
CygOB2-B,MIST,3.0,0.3,pms,0.0,39,True,False,,2.5234807724805743,2.330199771385529,2.654559123157834,2.2431565200153187,3.291875032823098
CygOB2-C,MIST,3.0,0.3,ums,0.0,394,True,False,,3.570672345572628,3.5502571976184725,3.582063900944269,3.538543050951533,3.5911250228173817
CygOB2-C,MIST,3.0,0.3,pms,0.0,5,False,True,n_stars_below_15;grid_railed,1.1226645259802346,1.0663978990599905,1.4034347664247961,1.0246380178306949,1.6235004591370163
CygOB2-A,MIST,3.0,0.4,ums,0.0,325,True,False,,4.500388435263084,4.4609891430300195,4.508476849505087,4.441214726186828,4.519011175274503
CygOB2-A,MIST,3.0,0.4,pms,0.0,53,True,False,,2.2477603184951818,2.2095891824980662,2.7048233253851275,2.1676169823612446,3.039664754525136
CygOB2-B,MIST,3.0,0.4,ums,0.0,328,True,False,,3.570672345572628,3.5646606592315107,3.6249486638565664,3.5533080183619874,3.651357009917004
CygOB2-B,MIST,3.0,0.4,pms,0.0,39,True,False,,2.5234807724805743,2.386672225630346,3.251878130495678,2.292642832386931,3.5915964080611373
CygOB2-C,MIST,3.0,0.4,ums,0.0,394,True,False,,3.570672345572628,3.550315214052219,3.5821909855253975,3.5386028404049714,3.591282523132806
