subgroup,family,R_V,alpha,wp4_ums_map_Myr,wp4_ums_lo68_Myr,wp4_ums_hi68_Myr,wp5_fitted_posterior_mean_Myr,wp5_fitted_posterior_map_Myr,age_shift_Myr,top_node_Myr,top_node_posterior_weight,top_two_nodes_posterior_weight,turnoff_at_ums_map_Msun,turnoff_at_fitted_Msun,sn_per_k_at_ums_map,sn_per_k_at_fitted,sn_ratio_fitted_over_ums
CygOB2-A,PARSEC,3.0,2.0,3.9810717055349722,3.850819687620171,4.074126037937015,4.024584201477923,4.130153849670619,0.043512495942950924,4.130153849670619,0.20214357594674018,0.3339994465956504,58.3467216491999,57.28253503380109,0.008805590186866072,0.009123994618544554,1.0361593516075045
CygOB2-A,PARSEC,3.0,2.3,3.9810717055349722,3.850819687620171,4.074126037937015,4.012590629143109,3.9810717055349722,0.03151892360813635,4.130153849670619,0.16231400732482437,0.3031563334325275,58.3467216491999,57.572761180465434,0.002368081888252309,0.002436245478943187,1.0287843047273943
CygOB2-A,PARSEC,3.0,2.6,3.9810717055349722,3.850819687620171,4.074126037937015,3.996402672983891,3.9810717055349722,0.01533096744891882,4.130153849670619,0.12198546638492315,0.26452659405937323,58.3467216491999,57.96820971055742,0.0006392285745660218,0.0006490034791495098,1.0152917203210514
CygOB2-B,PARSEC,3.0,2.0,3.1622776601683795,3.159264577280664,4.071391231501613,4.302535224967624,4.618766541219106,1.1402575647992443,4.618766541219106,0.48895305856698124,0.9496499878709295,95.96093750000001,51.15757454617881,0.002087573611224183,0.011214114114499093,5.371841287035132
CygOB2-B,PARSEC,3.0,2.3,3.1622776601683795,3.159264577280664,4.071391231501613,4.228169958442216,4.0466751693970355,1.0658922982738361,4.618766541219106,0.412740586789286,0.8950335879608378,95.96093750000001,52.69043925643659,0.0005141309225516461,0.0029198420735725046,5.679180040525956
CygOB2-B,PARSEC,3.0,2.6,3.1622776601683795,3.159264577280664,4.071391231501613,4.102456212757168,4.0466751693970355,0.9401785525887889,4.618766541219106,0.3272267136804601,0.7720290147241595,95.96093750000001,55.45347573816821,0.0001266682410608361,0.0007183929080245838,5.671452465180714
CygOB2-C,PARSEC,3.0,2.0,2.51188643150958,2.477141610179612,2.568523969873677,2.529829345790274,2.6026253088936397,0.017942914280693945,2.6026253088936397,0.1507826726932957,0.28227320048164206,281.6604614257999,270.89972033549685,0.0,0.0,
CygOB2-C,PARSEC,3.0,2.3,2.51188643150958,2.477141610179612,2.568523969873677,2.5266706798315055,2.6026253088936397,0.014784248321925375,2.6026253088936397,0.1398772419036647,0.25961089695128015,281.6604614257999,272.75829020734767,0.0,0.0,
CygOB2-C,PARSEC,3.0,2.6,2.51188643150958,2.477141610179612,2.568523969873677,2.5231937884182534,2.6026253088936397,0.011307356908673238,2.6026253088936397,0.1275644224477084,0.23617408924217914,281.6604614257999,274.8215690963894,0.0,0.0,
CygOB2-A,PARSEC,3.1,2.0,3.9810717055349722,3.8138830356763527,4.056350413391479,4.013878062963179,4.101675560135972,0.03280635742820648,4.101675560135972,0.21368800413521058,0.37824235657522987,58.3467216491999,57.541495313786776,0.008805590186866072,0.009045429497677124,1.0272371647693512
CygOB2-A,PARSEC,3.1,2.3,3.9810717055349722,3.8138830356763527,4.056350413391479,4.000440967245572,4.101675560135972,0.019369261710599606,4.101675560135972,0.16644710896424283,0.3174815962733347,58.3467216491999,57.86915641465946,0.002368081888252309,0.0024098938356057415,1.0176564617806736
CygOB2-A,PARSEC,3.1,2.6,3.9810717055349722,3.8138830356763527,4.056350413391479,3.981617402778129,3.9810717055349722,0.0005456972431567841,4.101675560135972,0.12053538879249992,0.24973780792070305,58.3467216491999,58.333181326138,0.0006392285745660218,0.0006395754050564766,1.0005425766373013
CygOB2-B,PARSEC,3.1,2.0,3.548133892335755,3.388728192836123,3.991330963861016,4.120169709403213,4.25817895947091,0.5720358170674582,4.25817895947091,0.5915744341494115,0.8994075835057032,73.67864990229991,55.050377497981636,0.0052391194915491785,0.009831846370232987,1.876621899174467
