subgroup,family,R_V,alpha,E1_chi_square,E1_delta_vs_best,E1_is_best,E2_closure_ratio,E2_unity_distance_sigma,E2_is_best
CygOB2-A,MIST,3.0,2.0,13.497,6.663,False,0.661,8.89,False
CygOB2-A,MIST,3.0,2.3,7.302,0.468,False,1.011,0.19,True
CygOB2-A,MIST,3.0,2.6,6.834,0.0,True,1.544,5.6,False
CygOB2-A,MIST,3.1,2.0,9.984,4.894,False,0.656,9.1,False
CygOB2-A,MIST,3.1,2.3,5.09,0.0,True,1.003,0.06,True
CygOB2-A,MIST,3.1,2.6,6.021,0.931,False,1.532,5.48,False
CygOB2-A,MIST,3.5,2.0,3.677,0.0,True,0.686,7.99,False
CygOB2-A,MIST,3.5,2.3,4.302,0.624,False,1.044,0.71,True
CygOB2-A,MIST,3.5,2.6,11.111,7.433,False,1.586,5.82,False
CygOB2-A,PARSEC,3.0,2.0,10.455,3.586,False,0.571,13.23,False
CygOB2-A,PARSEC,3.0,2.3,6.869,0.0,True,0.874,2.45,True
CygOB2-A,PARSEC,3.0,2.6,9.712,2.843,False,1.335,3.99,False
CygOB2-A,PARSEC,3.1,2.0,7.287,2.413,False,0.566,13.52,False
CygOB2-A,PARSEC,3.1,2.3,4.874,0.0,True,0.865,2.68,True
CygOB2-A,PARSEC,3.1,2.6,9.052,4.178,False,1.322,3.88,False
CygOB2-A,PARSEC,3.5,2.0,1.78,0.0,True,0.593,12.4,False
CygOB2-A,PARSEC,3.5,2.3,5.295,3.515,False,0.903,1.87,True
CygOB2-A,PARSEC,3.5,2.6,15.038,13.258,False,1.368,4.28,False
CygOB2-B,MIST,3.0,2.0,14.379,4.363,False,0.699,6.78,False
CygOB2-B,MIST,3.0,2.3,10.016,0.0,True,1.059,0.84,True
CygOB2-B,MIST,3.0,2.6,10.039,0.023,False,1.599,5.19,False
CygOB2-B,MIST,3.1,2.0,13.565,3.558,False,0.713,6.23,False
CygOB2-B,MIST,3.1,2.3,10.007,0.0,True,1.078,1.08,True
CygOB2-B,MIST,3.1,2.6,10.878,0.871,False,1.626,5.29,False
CygOB2-B,MIST,3.5,2.0,11.495,1.428,False,0.74,5.33,False
CygOB2-B,MIST,3.5,2.3,10.067,0.0,True,1.111,1.43,True
CygOB2-B,MIST,3.5,2.6,13.09,3.024,False,1.66,5.12,False
CygOB2-B,PARSEC,3.0,2.0,10.753,3.899,False,0.69,6.85,False
CygOB2-B,PARSEC,3.0,2.3,6.854,0.0,True,1.056,0.76,True
CygOB2-B,PARSEC,3.0,2.6,7.269,0.415,False,1.595,4.75,False
CygOB2-B,PARSEC,3.1,2.0,10.659,3.379,False,0.703,6.49,False
CygOB2-B,PARSEC,3.1,2.3,7.281,0.0,True,1.068,0.93,True
CygOB2-B,PARSEC,3.1,2.6,8.433,1.153,False,1.614,5.04,False
CygOB2-B,PARSEC,3.5,2.0,10.889,2.048,False,0.695,6.62,False
CygOB2-B,PARSEC,3.5,2.3,8.841,0.0,True,1.067,0.89,True
CygOB2-B,PARSEC,3.5,2.6,11.225,2.384,False,1.622,5.0,False
CygOB2-C,MIST,3.0,2.0,1.907,0.0,True,0.927,1.21,True
CygOB2-C,MIST,3.0,2.3,4.766,2.859,False,1.386,4.06,False
CygOB2-C,MIST,3.0,2.6,11.978,10.071,False,2.063,6.74,False
CygOB2-C,MIST,3.1,2.0,1.877,0.0,True,0.971,0.47,True
CygOB2-C,MIST,3.1,2.3,6.659,4.782,False,1.458,4.71,False
CygOB2-C,MIST,3.1,2.6,17.207,15.33,False,2.192,7.44,False
CygOB2-C,MIST,3.5,2.0,13.141,0.0,True,0.929,1.13,True
CygOB2-C,MIST,3.5,2.3,13.146,0.005,False,1.392,3.85,False
CygOB2-C,MIST,3.5,2.6,18.422,5.28,False,2.079,6.21,False
CygOB2-C,PARSEC,3.0,2.0,6.495,0.826,False,0.876,2.25,True
CygOB2-C,PARSEC,3.0,2.3,5.669,0.0,True,1.333,3.76,False
CygOB2-C,PARSEC,3.0,2.6,9.791,4.122,False,2.017,6.83,False
CygOB2-C,PARSEC,3.1,2.0,4.706,0.0,True,0.893,1.82,True
CygOB2-C,PARSEC,3.1,2.3,5.2,0.493,False,1.36,3.85,False
CygOB2-C,PARSEC,3.1,2.6,10.724,6.017,False,2.06,6.71,False
CygOB2-C,PARSEC,3.5,2.0,10.143,0.0,True,0.961,0.61,True
CygOB2-C,PARSEC,3.5,2.3,10.868,0.725,False,1.442,4.3,False
CygOB2-C,PARSEC,3.5,2.6,16.647,6.504,False,2.158,6.57,False
