family,R_V,alpha,k_total_median,k_total_lo68,k_total_hi68,primary_system_mass_median_Msun,primary_system_mass_lo68_Msun,primary_system_mass_hi68_Msun,multiplicity_adjusted_mass_median_Msun,multiplicity_adjusted_mass_lo68_Msun,multiplicity_adjusted_mass_hi68_Msun,companion_mass_fraction,literature_mass_Msun,within_factor_two_literature
PARSEC,3.0,2.0,3147.3204545330095,3032.4404293618404,3268.9869089862573,20498.89966935331,19750.671408514838,21291.32880994844,24878.31795790886,23970.236993638257,25840.04294982693,0.17603353634940277,16500.0,True
PARSEC,3.0,2.3,4442.485618298947,4276.241144003648,4614.645420508372,20356.486617944545,19594.716359789993,21145.362263458974,24608.569527941916,23687.679950386344,25562.226292780157,0.17278870700587964,16500.0,True
PARSEC,3.0,2.6,6108.427681126922,5856.765590250524,6368.000576742566,24414.724010553757,23408.85788371887,25452.20876733606,29403.05095066076,28191.66994286868,30652.510791002078,0.1696533787761539,16500.0,True
PARSEC,3.1,2.0,3206.4271556743715,3090.6596913169806,3324.9140310746143,20883.869154979777,20129.86088949805,21655.589291538014,25345.53295100561,24430.437132492458,26282.124633559186,0.17603353634940277,16500.0,True
PARSEC,3.1,2.3,4522.007275879085,4351.872666179473,4698.617407183061,20720.873066760265,19941.277317179538,21530.141139497304,25049.06937592732,24106.630900796074,26027.378158206957,0.17278870700587964,16500.0,True
PARSEC,3.1,2.6,6219.094353258088,5967.389794345854,6479.378217824295,24857.046715887052,23851.010848911443,25897.373138579824,29935.74741022045,28724.161981604128,31188.62951523756,0.1696533787761539,16500.0,True
PARSEC,3.5,2.0,3535.7677394648244,3403.3588542772377,3668.766189115487,23028.90639592652,22166.5104333921,23895.142267028183,27948.839439285628,26902.19979971394,29000.13935174055,0.17603353634940277,16500.0,True
PARSEC,3.5,2.3,5030.170561186252,4831.76210335618,5226.268182663084,23049.39363067084,22140.240633063295,23947.957846829715,27863.97360128238,26764.915832961993,28950.230793089442,0.17278870700587964,16500.0,True
PARSEC,3.5,2.6,6966.06028359799,6664.300556645845,7263.267659861932,27842.588656717686,26636.487703145045,29030.49435752583,33531.28433964186,32078.75725908969,34961.89858006268,0.1696533787761539,16500.0,False
MIST,3.0,2.0,3125.8686099723627,3007.8712461584228,3244.113120028861,20359.181068809186,19590.649183666577,21129.322648961574,24708.74964814404,23776.027360227596,25643.425528932035,0.17603353634940277,16500.0,True
MIST,3.0,2.3,4426.085397491601,4259.99327354342,4598.569100114995,20281.337049869202,19520.264895899745,21071.696881267177,24517.72264430795,23597.67699162503,25473.173613234205,0.17278870700587964,16500.0,True
MIST,3.0,2.6,6121.936824959705,5864.966313338881,6389.950446478543,24468.71859566038,23441.635285914825,25539.94001990163,29468.077511528845,28231.14430376588,30758.166971593582,0.1696533787761539,16500.0,True
MIST,3.1,2.0,3320.456681391668,3202.7880196703745,3445.2306825869787,21626.558004364713,20860.166997888773,22439.226993365377,26246.891054944015,25316.767026496993,27233.179969422552,0.17603353634940277,16500.0,True
MIST,3.1,2.3,4716.5837253921,4539.378663577503,4899.451499917687,21612.466924568966,20800.472743968305,22450.408951809295,26126.900234088782,25145.295911858582,27139.872414639372,0.17278870700587964,16500.0,True
MIST,3.1,2.6,6528.18600115528,6265.190339051466,6800.307841292025,26092.452563564206,25041.287379751655,27180.094092776348,31423.56685345043,30157.631451361067,32733.431314160905,0.1696533787761539,16500.0,True
MIST,3.5,2.0,3363.760256409609,3237.3836521722637,3487.805206015216,21908.59971331704,21085.492766236464,22716.520296298353,26589.188613636798,25590.231758725753,27569.71466490569,0.17603353634940277,16500.0,True
MIST,3.5,2.3,4789.354478306692,4605.252473072747,4975.660444339463,21945.919181967805,21102.321626931363,22799.615790183612,26530.004326384107,25510.19528583896,27562.0219202516,0.17278870700587964,16500.0,True
MIST,3.5,2.6,6640.899009310178,6359.308114969074,6921.011023786651,26542.95425240363,25417.465938861915,27662.531643262028,31966.11339645367,30610.669435132004,33314.438737030425,0.1696533787761539,16500.0,True
