family,R_V,alpha,k_total_median,k_total_lo68,k_total_hi68,primary_system_mass_median_Msun,primary_system_mass_lo68_Msun,primary_system_mass_hi68_Msun,multiplicity_adjusted_mass_median_Msun,multiplicity_adjusted_mass_lo68_Msun,multiplicity_adjusted_mass_hi68_Msun,companion_mass_fraction,literature_mass_Msun,within_factor_two_literature
PARSEC,3.0,2.0,3773.3808290600427,3641.2912714575086,3908.7270536259093,24576.51076418274,23716.194622950985,25458.03799284657,29827.076523595508,28782.96104173462,30896.93466412978,0.17603353634940277,16500.0,True
PARSEC,3.0,2.3,5463.796848304587,5266.094872994619,5665.794403710087,25036.368596792014,24130.45286390562,25961.967661543535,30265.98984906504,29170.845548498975,31384.928955180578,0.17278870700587964,16500.0,True
PARSEC,3.0,2.6,7683.08128172373,7368.532105983684,8000.520569179256,30708.443945976367,29451.2249504617,31977.214405071612,36982.680679443554,35468.59130594594,38510.68166922925,0.1696533787761539,16500.0,False
PARSEC,3.1,2.0,3818.833016310986,3680.6370527922973,3953.9743443181706,24872.546658738,23972.45871669222,25752.73936997353,30186.358008479816,29093.973813547993,31254.596523110402,0.17603353634940277,16500.0,True
PARSEC,3.1,2.3,5541.484461339947,5330.22546759732,5743.5253611481985,25392.3510334307,24424.313936961964,26318.148712163304,30696.33024655912,29526.088610997198,31815.509453339106,0.17278870700587964,16500.0,True
PARSEC,3.1,2.6,7795.907196544794,7485.53264488913,8113.660533351379,31159.39691053472,29918.86343544995,32429.422590880356,37525.7707011669,36031.77597248798,39055.283374408995,0.1696533787761539,16500.0,False
PARSEC,3.5,2.0,3952.783047278451,3811.5750740887215,4102.7147926135,25744.98030036292,24825.27475504422,26721.504886681298,31245.179793239826,30128.98685834302,32430.33068153189,0.17603353634940277,16500.0,True
PARSEC,3.5,2.3,5760.906111121909,5544.61731220281,5986.507759915046,26397.79128946109,25406.706473638136,27431.549716438778,31911.787850372973,30713.684265210726,33161.47875248332,0.17278870700587964,16500.0,True
PARSEC,3.5,2.6,8146.330469605402,7791.501116032592,8502.940483638462,32560.00078853157,31141.786283825328,33985.332400284504,39212.54083088995,37504.56193574379,40929.090974313345,0.1696533787761539,16500.0,False
MIST,3.0,2.0,3618.574570984788,3492.7187626961277,3747.785812736574,23568.237854475643,22748.52291785429,24409.807157343286,28603.39454843365,27608.55437861703,29624.7580868707,0.17603353634940277,16500.0,True
MIST,3.0,2.3,5209.571645940832,5016.638466821287,5410.994692688746,23871.450491363546,22987.38647487533,24794.41702585951,28857.742506101422,27789.01432990799,29973.499196457105,0.17278870700587964,16500.0,True
MIST,3.0,2.6,7289.634057175819,6999.447955520844,7589.860346443969,29135.87799259121,27976.035566119583,30335.84996178416,35088.81381325777,33691.99663254578,36533.95965780196,0.1696533787761539,16500.0,False
MIST,3.1,2.0,3681.949006626998,3554.416558128571,3815.1681800990327,23981.003639402465,23150.36853118177,24848.677112913636,29104.34428745343,28096.25094280376,30157.38893403641,0.17603353634940277,16500.0,True
MIST,3.1,2.3,5315.437652536822,5117.75270768589,5521.946315145047,24356.552781326995,23450.715085904583,25302.82277251351,29444.173438647813,28349.12347608783,30588.101234606038,0.17278870700587964,16500.0,True
MIST,3.1,2.6,7444.915371266308,7152.406690007947,7751.573405194119,29756.52059088682,28587.395065233315,30982.1995470442,35836.26383284218,34428.26686414213,37312.36902172205,0.1696533787761539,16500.0,False
MIST,3.5,2.0,4046.4836670241502,3899.510627476079,4194.588168883477,26355.264391503653,25398.01023346056,27319.887907936893,31985.845970886017,30824.082476529748,33156.55322535297,0.17603353634940277,16500.0,True
MIST,3.5,2.3,5906.995712753991,5678.690915920097,6142.153435341446,27067.20730476448,26021.06243433016,28144.75385060807,32721.032140160674,31456.36750212392,34023.65766639518,0.17278870700587964,16500.0,True
MIST,3.5,2.6,8364.57226089591,8011.374968001498,8735.786067704614,33432.289596728384,32020.598261831397,34915.99098688212,40263.0524918047,38562.92955661855,42049.89831285098,0.1696533787761539,16500.0,False
