subgroup,family,R_V,alpha,bin_index,mass_lo,mass_hi,mass_geometric_center,raw_count,membership_weighted_count,completeness_weighted_imf_integral_per_k,expected_count_at_k_median,pearson_residual
CygOB2-A,PARSEC,3.1,2.3,0,2.0,2.5198420997897464,2.244924096618746,88,93.28094570312501,0.04745539402780486,82.25043528938697,1.21626023085719
CygOB2-A,PARSEC,3.1,2.3,1,2.5198420997897464,3.174802103936399,2.8284271247461903,118,69.640871484375,0.03581334964853163,62.07226086958271,0.9606548517115929
CygOB2-A,PARSEC,3.1,2.3,2,3.174802103936399,3.999999999999999,3.5635948725613567,66,53.845814453125,0.03423031583971027,59.328521774779624,-0.7118087120170566
CygOB2-A,PARSEC,3.1,2.3,3,3.999999999999999,5.039684199579493,4.489848193237491,52,52.582032031249994,0.03112293910454232,53.94276754574661,-0.1852708558262089
CygOB2-A,PARSEC,3.1,2.3,4,5.039684199579493,6.349604207872796,5.65685424949238,39,41.037150390625,0.0221886056235756,38.457640240734776,0.4159545936665429
CygOB2-A,PARSEC,3.1,2.3,5,6.349604207872796,8.0,7.127189745122713,37,34.94583828125,0.015744057162648196,27.2878474908473,1.4659872735106108
CygOB2-B,PARSEC,3.1,2.3,0,2.0,2.5198420997897464,2.244924096618746,19,21.805121484375,0.009120537572830099,17.453903918141254,1.041512552825727
CygOB2-B,PARSEC,3.1,2.3,1,2.5198420997897464,3.174802103936399,2.8284271247461903,79,53.238360546875,0.023891334430440857,45.72066638564383,1.1118043725141211
CygOB2-B,PARSEC,3.1,2.3,2,3.174802103936399,3.999999999999999,3.5635948725613567,85,60.558520703125005,0.021529306992249073,41.200472303989486,3.0158551172597177
CygOB2-B,PARSEC,3.1,2.3,3,3.999999999999999,5.039684199579493,4.489848193237491,63,53.22157890625,0.029410506689609532,56.28266468343815,-0.40802631592652816
CygOB2-B,PARSEC,3.1,2.3,4,5.039684199579493,6.349604207872796,5.65685424949238,48,43.818022265625004,0.02474446797142918,47.353301604220455,-0.5137461765797594
CygOB2-B,PARSEC,3.1,2.3,5,6.349604207872796,8.0,7.127189745122713,38,34.526075390624996,0.01727797534532292,33.064731017132715,0.25413827323832333
CygOB2-C,PARSEC,3.1,2.3,0,2.0,2.5198420997897464,2.244924096618746,23,22.35380078125,0.009077704537787298,16.740911505664275,1.3718193508725602
CygOB2-C,PARSEC,3.1,2.3,1,2.5198420997897464,3.174802103936399,2.8284271247461903,60,57.37255625,0.030092509823088254,55.4959727797496,0.2519052114397797
CygOB2-C,PARSEC,3.1,2.3,2,3.174802103936399,3.999999999999999,3.5635948725613567,84,46.757945703125,0.02315059905995006,42.69384716724954,0.6219873950199821
CygOB2-C,PARSEC,3.1,2.3,3,3.999999999999999,5.039684199579493,4.489848193237491,58,45.277009765624996,0.024939497502193632,45.992895995018515,-0.10555981742030356
CygOB2-C,PARSEC,3.1,2.3,4,5.039684199579493,6.349604207872796,5.65685424949238,49,47.663348828125,0.02389050292515296,44.05836229092417,0.5431120921676829
CygOB2-C,PARSEC,3.1,2.3,5,6.349604207872796,8.0,7.127189745122713,50,41.403223046875,0.016748199335191494,30.886676448053798,1.8922894200135305
