family,R_V,alpha,chi2,max_abs_residual,bin2_residual,res_bin0,res_bin1,res_bin2,res_bin3,res_bin4,res_bin5
MIST,3.0,1.8,37.923393429886225,4.629475471876621,1.3881094276928643,1.3450905513674813,4.629475471876621,1.3881094276928643,-1.2496203730509579,-2.214857465956821,-2.5076062767712153
MIST,3.0,1.9,34.234089632286285,4.461840190390924,1.2830009433381533,1.1449939844305397,4.461840190390924,1.2830009433381533,-1.2747255050114061,-2.115454214400008,-2.29540790631219
MIST,3.0,2.0,30.883080750977943,4.3016826237731545,1.184017154253625,0.9483383487960879,4.3016826237731545,1.184017154253625,-1.2959123464822684,-2.0145727058406493,-2.083140204849067
MIST,3.0,2.1,27.855359989257167,4.148794768918853,1.0910296302016214,0.7550830739179722,4.148794768918853,1.0910296302016214,-1.3132755279283101,-1.9123679355241117,-1.8709682303762656
MIST,3.0,2.2,25.136601965485262,4.0029659892600575,1.0039058348873924,0.5651818670734626,4.0029659892600575,1.0039058348873924,-1.3269124517605504,-1.808991703871472,-1.6590539915294833
MIST,3.0,2.3,22.713130597176875,3.8639835177983137,0.9225096713514915,0.3785830779302182,3.8639835177983137,0.9225096713514915,-1.3369225478565088,-1.7045916862285777,-1.447555876296651
MIST,3.0,2.4,20.57188823549824,3.7316329713786147,0.8467020481138384,0.19523008132617564,3.7316329713786147,0.8467020481138384,-1.3434065368776733,-1.5993105604532092,-1.2366281039102385
MIST,3.0,2.5,18.70040627420562,3.6056988707666764,0.776341458421238,0.01506167336665555,3.6056988707666764,0.776341458421238,-1.3464657094234438,-1.4932851990452793,-1.0264201971650977
MIST,3.0,2.6,17.086777441812448,3.4859651611307183,0.7112845651662273,-0.16198752383467765,3.4859651611307183,0.7112845651662273,-1.346201228217561,-1.386645931184459,-0.8170764721546246
MIST,3.0,2.7,15.719629967304984,3.372215727714903,0.6513867844155946,-0.33598665315455856,3.372215727714903,0.6513867844155946,-1.3427134595976538,-1.2795158786979617,-0.6087355424344993
MIST,3.0,2.8,14.588103787865741,3.2642349018017964,0.5965028609860468,-0.5070082132375784,3.2642349018017964,0.5965028609860468,-1.336101339604232,-1.1720103686681107,-0.40152983489657496
MIST,3.0,2.9,13.681828941817919,3.161807952473559,0.5464874301018715,-0.6751276527043422,3.161807952473559,0.5464874301018715,-1.326461778973221,-1.0642364241304332,-0.1955851151410131
MIST,3.0,3.0,12.990906261540204,3.0647215601713538,0.5011955598382543,-0.8404229710253517,3.0647215601713538,0.5011955598382543,-1.313889110352988,-0.9562923331296022,0.008979979163899473
MIST,3.0,3.1,12.505890449777443,2.9727642685965616,0.46048326976602183,-1.0029743288607376,2.9727642685965616,0.46048326976602183,-1.298474580118525,-0.8482672953099643,0.21205439759287067
MIST,3.0,3.2,12.217775589114346,2.8857269120735234,0.4242080219453275,-1.1628636702245772,2.8857269120735234,0.4242080219453275,-1.2803058862603902,-0.7402411442317168,0.41353512865478126
MIST,3.0,3.3,12.11798309909201,2.8034030160815178,0.392229181144318,-1.3201743583943444,2.8034030160815178,0.392229181144318,-1.2594667630018943,-0.6322841427328744,0.6133276425827258
MIST,3.0,3.4,12.19835211937485,2.7255891692455085,0.3644084418656678,-1.474990827060486,2.7255891692455085,0.3644084418656678,-1.2360366120554436,-0.5244568479053131,0.8113463229685661
