subgroup,family,R_V,age_fit_Myr,age_isochrone_Myr,primary_mass,n_injected,n_query,n_quality,n_cmd_ready,n_membership,n_recovered,query_fraction,quality_fraction,cmd_ready_fraction,membership_fraction,recovery_fraction,recovery_wilson95_lo,recovery_wilson95_hi,recovery_isotonic
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,0.5,400,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.009512640599680667,0.0
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,0.75,400,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.009512640599680667,0.0
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,1.0,400,3,1,1,0,0,0.0075,0.0025,0.0025,0.0,0.0,0.0,0.009512640599680667,0.0
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,1.25,400,16,5,5,0,0,0.04,0.0125,0.0125,0.0,0.0,0.0,0.009512640599680667,0.0
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,1.5,400,90,38,38,3,3,0.225,0.095,0.095,0.0075,0.0075,0.0025538429629852373,0.02181610802770022,0.0075
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,1.75,400,159,68,68,17,17,0.3975,0.17,0.17,0.0425,0.0425,0.02670146955162519,0.06700259659708263,0.0425
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,2.0,400,341,198,198,119,119,0.8525,0.495,0.495,0.2975,0.2975,0.25479680042016234,0.34405581902270826,0.2975
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,2.25,400,398,297,297,243,243,0.995,0.7425,0.7425,0.6075,0.6075,0.5588404787053632,0.6541143035657054,0.6075
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,2.5,400,396,326,326,268,268,0.99,0.815,0.815,0.67,0.67,0.6224932007707696,0.7142725014253389,0.67
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,2.75,400,398,342,342,303,303,0.995,0.855,0.855,0.7575,0.7575,0.7131767240346103,0.7969242660565541,0.74375
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,3.0,400,398,341,341,292,292,0.995,0.8525,0.8525,0.73,0.73,0.6844562579830316,0.7711679273411154,0.74375
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,3.25,400,398,366,366,331,331,0.995,0.915,0.915,0.8275,0.8275,0.7874038632508435,0.8613653571563658,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,3.5,400,399,366,366,342,342,0.9975,0.915,0.915,0.855,0.855,0.8171160037000451,0.8861300214741816,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,3.75,400,398,357,357,335,335,0.995,0.8925,0.8925,0.8375,0.8375,0.7981658302462488,0.8704131373489669,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,4.0,400,399,359,359,334,334,0.9975,0.8975,0.8975,0.835,0.835,0.7954710126340742,0.8681555181641397,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,4.25,400,400,360,360,336,336,1.0,0.9,0.9,0.84,0.84,0.8008636189852232,0.872667785406994,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,4.5,400,399,352,352,338,338,0.9975,0.88,0.88,0.845,0.845,0.8062683334335345,0.8771679445526859,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,4.75,400,399,365,365,351,351,0.9975,0.9125,0.9125,0.8775,0.8775,0.8417306493136648,0.9060873070335763,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,5.0,400,398,348,348,337,337,0.995,0.87,0.87,0.8425,0.8425,0.8035644342063322,0.8749194069828867,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,5.25,400,398,354,354,341,341,0.995,0.885,0.885,0.8525,0.8525,0.8143991454822668,0.8838944428949584,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,5.5,400,398,347,347,335,335,0.995,0.8675,0.8675,0.8375,0.8375,0.7981658302462488,0.8704131373489669,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,5.75,400,398,344,344,328,328,0.995,0.86,0.86,0.82,0.82,0.7793616474280234,0.8545502625881809,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,6.0,400,399,347,347,339,339,0.9975,0.8675,0.8675,0.8475,0.8475,0.8089753764784815,0.8794133383047404,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,6.25,400,400,335,335,322,322,1.0,0.8375,0.8375,0.805,0.805,0.7633473269466908,0.8408499622875041,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,6.5,400,400,341,341,336,336,1.0,0.8525,0.8525,0.84,0.84,0.8008636189852232,0.872667785406994,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,6.75,400,400,335,335,331,331,1.0,0.8375,0.8375,0.8275,0.8275,0.7874038632508435,0.8613653571563658,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,7.0,400,399,332,332,323,323,0.9975,0.83,0.83,0.8075,0.8075,0.766010151768214,0.8431395742629825,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,7.25,400,399,330,330,320,320,0.9975,0.825,0.825,0.8,0.8,0.7580288635115286,0.836263552128663,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,7.5,400,398,340,340,334,334,0.995,0.85,0.85,0.835,0.835,0.7954710126340742,0.8681555181641397,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,7.75,400,400,338,338,328,328,1.0,0.845,0.845,0.82,0.82,0.7793616474280234,0.8545502625881809,0.8064705882352942
