subgroup,family,R_V,alpha,calibration_lower_Msun,calibration_upper_Msun,window_status,absolute_95_edge_Msun,relative_95_plateau_edge_Msun_diagnostic,bright_plateau_completeness,response_true_mass_lower_Msun,response_true_mass_upper_Msun,raw_calibration_sources,membership_weighted_calibration_sources,k_mle,k_median,k_lo68,k_hi68,k_lo95,k_hi95,poisson_chi_square,poisson_chi_square_df,poisson_chi_square_p,residual_spearman_rho,residual_trend_p,max_abs_pearson_residual,residual_gate_pass
CygOB2-A,PARSEC,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.8055555555555556,0.5,8.0,337,295.0816,1079.4995286507497,1034.4965915481666,974.7717744998951,1096.645550314477,919.499866211249,1160.7714364071578,78.21554321515909,5,1.981607390189543e-15,-0.08571428571428573,0.8717434402332361,7.432106955670889,False
CygOB2-B,PARSEC,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,4.25,0.7675,0.5,8.0,302,251.7535,1076.152459981023,1022.7829241563859,957.9776573003379,1090.2031281511624,898.2328319647274,1155.7552832196905,116.75778851523363,5,1.524846963504383e-23,-0.6,0.208,8.373781206860532,False
CygOB2-C,PARSEC,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,6.0,0.7665,0.5,8.0,271,224.44639999999998,1159.1098268710136,1088.8179948168263,1013.170301551815,1164.8326524378597,946.9473959981199,1241.9188037049637,69.05481909383857,5,1.6116603703599453e-13,-0.2571428571428572,0.6227871720116619,7.429694210875614,False
CygOB2-A,PARSEC,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.8055555555555556,0.5,8.0,337,295.0816,1552.2800439561258,1455.6346989111303,1370.8186753752998,1545.7462110560161,1286.5351556271953,1642.237677173101,58.073974992944784,5,3.0368510763215886e-11,-0.08571428571428573,0.8717434402332361,6.215511753482528,False
CygOB2-B,PARSEC,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,4.25,0.7675,0.5,8.0,302,251.7535,1552.247322221553,1438.2317544178004,1344.9098486105336,1537.9765992686305,1257.7823144350473,1635.7609413803211,88.12153901362257,5,1.6664499304595578e-17,-0.48571428571428577,0.3287230320699708,7.271746451901183,False
CygOB2-C,PARSEC,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,6.0,0.7665,0.5,8.0,271,224.44639999999998,1697.691446918794,1544.7545322175818,1435.5548659862332,1657.8567766041715,1331.6491846479694,1772.3880464797744,54.69795029902468,5,1.5061256374875978e-10,-0.2,0.7040000000000001,6.468187189583723,False
CygOB2-A,PARSEC,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.8055555555555556,0.5,8.0,337,295.0816,2205.085283711738,2000.7189261286833,1874.7384736853187,2129.578188904715,1754.384145418234,2264.631953632907,47.760569118777404,5,3.9749412201003345e-09,-0.08571428571428573,0.8717434402332361,5.29765441673492,False
CygOB2-B,PARSEC,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,4.25,0.7675,0.5,8.0,302,251.7535,2213.4385962192987,1974.3562593815404,1833.4703225933395,2119.734056735106,1705.6706554471668,2258.3069646011527,67.24161738733747,5,3.8385970553580353e-13,-0.48571428571428577,0.3287230320699708,6.456067379929724,False
CygOB2-C,PARSEC,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,6.0,0.7665,0.5,8.0,271,224.44639999999998,2458.766951380235,2129.0310376611237,1964.9008979299704,2301.2177944968557,1816.9019526907223,2462.1332405542403,49.07857712677034,5,2.1386806323061275e-09,0.08571428571428573,0.8717434402332361,5.804222333608269,False
CygOB2-A,PARSEC,3.1,2.0,2.0,8.0,corrected_no_absolute95_edge,,4.75,0.8029166666666666,0.5,8.0,349,305.8157,1138.650138663492,1089.952474783471,1028.0389787781437,1155.043489878661,968.3885748149753,1216.532726759922,88.42553090446542,5,1.4387138951818688e-17,-0.028571428571428574,0.9571545189504373,7.700181544169143,False
CygOB2-B,PARSEC,3.1,2.0,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.783,0.5,8.0,307,254.2803,1090.5511360469698,1037.567962827251,971.2040137760573,1104.8200482250945,907.1517234261686,1172.40119833875,122.4821138110988,5,9.351213594088239e-25,-0.6,0.208,8.99202148535118,False
CygOB2-C,PARSEC,3.1,2.0,2.0,8.0,corrected_no_absolute95_edge,,5.5,0.771875,0.5,8.0,265,219.8619,1147.2199609371107,1076.9385134126937,1002.5945116231222,1155.430612968573,934.9475702285703,1228.077508480975,83.86487483577176,5,1.3019779332572448e-16,-0.028571428571428574,0.9571545189504373,8.14201232892103,False
CygOB2-A,PARSEC,3.1,2.3,2.0,8.0,corrected_no_absolute95_edge,,4.75,0.8029166666666666,0.5,8.0,349,305.8157,1635.0094559709582,1531.6293069614655,1441.0607715335545,1625.542616513593,1358.1336880061476,1723.7344360974612,69.54502437565081,5,1.2743945665463034e-13,-0.028571428571428574,0.9571545189504373,6.442037744717707,False
CygOB2-B,PARSEC,3.1,2.3,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.783,0.5,8.0,307,254.2803,1575.5047171180133,1460.2260301461379,1365.0439257656433,1558.806463421383,1277.414244572801,1658.9180639429642,92.73624672796556,5,1.787495844013844e-18,-0.6,0.208,7.8627136103473205,False
CygOB2-C,PARSEC,3.1,2.3,2.0,8.0,corrected_no_absolute95_edge,,5.5,0.771875,0.5,8.0,265,219.8619,1682.1354330330387,1527.5869368580186,1419.4377774221903,1640.1503670445745,1323.4241266938898,1754.8450882901593,69.31192478566989,5,1.4249372842872335e-13,-0.028571428571428574,0.9571545189504373,7.171089813194513,False
CygOB2-A,PARSEC,3.1,2.6,2.0,8.0,corrected_no_absolute95_edge,,4.75,0.8029166666666666,0.5,8.0,349,305.8157,2318.568925982847,2097.897751828399,1969.2150346193723,2234.636501524629,1845.293320979802,2372.7273258721934,62.22547949716718,5,4.211579387113007e-12,0.08571428571428573,0.8717434402332361,5.521979189711533,False
CygOB2-B,PARSEC,3.1,2.6,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.783,0.5,8.0,307,254.2803,2250.277484974068,2004.028641938346,1864.1638211981003,2152.9672144604915,1734.2362333993776,2299.774029496595,71.18252207985628,5,5.81382761786637e-14,-0.6,0.208,7.042302591847422,False
CygOB2-C,PARSEC,3.1,2.6,2.0,8.0,corrected_no_absolute95_edge,,5.5,0.771875,0.5,8.0,265,219.8619,2439.468080834544,2108.0182649377625,1947.1007714993673,2279.414556716291,1799.8081249214972,2453.8596795893145,63.95610370434972,5,1.8448374939022243e-12,0.08571428571428573,0.8717434402332361,6.490126522192934,False
CygOB2-A,PARSEC,3.5,2.0,2.0,8.0,corrected_no_absolute95_edge,,5.75,0.82,0.5,8.0,368,322.3147,1273.4107031700023,1215.3313217999614,1146.2528149738437,1288.6122263985771,1081.7937052696325,1359.7989169070213,178.56751145851962,5,1.0823200310007262e-36,0.14285714285714288,0.7871720116618076,11.218025013397414,False
CygOB2-B,PARSEC,3.5,2.0,2.0,8.0,corrected_no_absolute95_edge,,5.25,0.776875,0.5,8.0,310,255.226,1218.774975657325,1149.8488801074989,1077.1646913524507,1225.7789991552745,1007.9145342567507,1304.912501489857,202.25099107207117,5,9.372078968043316e-42,-0.48571428571428577,0.3287230320699708,12.273079827227559,False
CygOB2-C,PARSEC,3.5,2.0,2.0,8.0,corrected_no_absolute95_edge,,5.5,0.7595833333333334,0.5,8.0,248,202.09359999999998,1259.5422597453646,1166.3627635421224,1084.6963756602534,1252.0650284420653,1010.047256089992,1339.0356446070584,55.469170039543776,5,1.0451749676519565e-10,-0.4285714285714286,0.3965014577259473,4.712166267998485,False
CygOB2-A,PARSEC,3.5,2.3,2.0,8.0,corrected_no_absolute95_edge,,5.75,0.82,0.5,8.0,368,322.3147,1842.3544413642956,1718.660205260513,1617.9926496897936,1819.327698317572,1525.2374393408425,1922.8345255421923,144.87536558567052,5,1.6443201992293993e-29,0.14285714285714288,0.7871720116618076,9.746743049884866,False
CygOB2-B,PARSEC,3.5,2.3,2.0,8.0,corrected_no_absolute95_edge,,5.25,0.776875,0.5,8.0,310,255.226,1776.4852126906653,1630.3489815270702,1520.1867506909502,1743.123607039504,1418.9919422175847,1855.3603469481304,163.87440093409307,5,1.4778740212131572e-33,-0.2571428571428572,0.6227871720116619,11.003170024550005,False
CygOB2-C,PARSEC,3.5,2.3,2.0,8.0,corrected_no_absolute95_edge,,5.5,0.7595833333333334,0.5,8.0,248,202.09359999999998,1889.7549492546839,1677.0807614425746,1551.6615929547495,1807.6920574324836,1436.5225720265685,1944.8297255641223,48.10664142759631,5,3.3782628954085276e-09,-0.3714285714285715,0.4684781341107872,4.689174148818185,False
CygOB2-A,PARSEC,3.5,2.6,2.0,8.0,corrected_no_absolute95_edge,,5.75,0.82,0.5,8.0,368,322.3147,2632.4524718442267,2366.0264338039583,2215.753378083253,2517.0483407061533,2086.5855741457203,2666.938816120068,125.80502648623536,5,1.8469961371050981e-25,0.14285714285714288,0.7871720116618076,8.677355542016835,False
CygOB2-B,PARSEC,3.5,2.6,2.0,8.0,corrected_no_absolute95_edge,,5.25,0.776875,0.5,8.0,310,255.226,2560.6792268455515,2247.647909174217,2084.9252784290834,2412.4287952139925,1941.113205536792,2574.9025656423782,137.05732882701997,5,7.551310943982401e-28,-0.2571428571428572,0.6227871720116619,10.128630106141973,False
CygOB2-C,PARSEC,3.5,2.6,2.0,8.0,corrected_no_absolute95_edge,,5.5,0.7595833333333334,0.5,8.0,248,202.09359999999998,2805.792365729107,2344.976321627046,2151.674364111614,2549.5191609956714,1968.682790512924,2756.405346751946,48.5245753373888,5,2.7755376382228318e-09,-0.3714285714285715,0.4684781341107872,4.592970187297208,False
CygOB2-A,MIST,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,4.0,0.7958333333333333,0.5,8.0,327,285.0924,1016.4175697904999,976.077417119542,917.6293672151519,1036.1219347297392,862.0879375513034,1098.410487837145,61.63929285905543,5,5.5688262311807574e-12,-0.5428571428571429,0.26570262390670546,6.349282033993535,False
CygOB2-B,MIST,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.7709375,0.5,8.0,308,256.4894,1099.9972207070814,1045.3935013768437,979.2470358378741,1113.4852433462393,917.4220106856792,1186.5473548235118,122.44281920618445,5,9.532241764813027e-25,-0.6,0.208,7.769229429280703,False
CygOB2-C,MIST,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,5.75,0.7721428571428571,0.5,8.0,280,231.4534,1171.5846728172396,1101.3523893648608,1026.6293029195945,1178.0441806862862,960.4348265934228,1258.1115081581968,60.091999183391245,5,1.1633962474973748e-11,-0.48571428571428577,0.3287230320699708,6.3155770527446045,False
CygOB2-A,MIST,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,4.0,0.7958333333333333,0.5,8.0,327,285.0924,1455.834439733564,1366.489076504005,1283.0607923558691,1452.4446601027519,1208.9346238715123,1538.5442784511,43.24777599762432,5,3.2914944695676977e-08,-0.3714285714285715,0.4684781341107872,5.223746561071578,False
CygOB2-B,MIST,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.7709375,0.5,8.0,308,256.4894,1600.923840236206,1478.508416059966,1382.6251739337242,1581.5843424069033,1293.0123858667955,1679.886679074398,94.84048499805834,5,6.450948713088387e-19,-0.6,0.208,6.711729233120562,False
CygOB2-C,MIST,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,5.75,0.7721428571428571,0.5,8.0,280,231.4534,1731.954720403404,1575.233552751471,1469.9714934515816,1686.9599537809584,1368.0984177863738,1801.539848235944,45.61013467784563,5,1.0902762536472324e-08,-0.4285714285714286,0.3965014577259473,5.355613402524917,False
CygOB2-A,MIST,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,4.0,0.7958333333333333,0.5,8.0,327,285.0924,2059.7161445816555,1871.676063939515,1754.172640956061,1998.2874285327384,1640.3477305927868,2132.218758846096,33.19552160493287,5,3.4415212812078636e-06,-0.08571428571428573,0.8717434402332361,4.3685003923147665,False
CygOB2-B,MIST,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.7709375,0.5,8.0,308,256.4894,2302.946340280098,2047.3889413937677,1909.2891826341825,2196.5119819181173,1779.2390114010043,2350.070417805611,74.85948870077468,5,9.952746855046893e-15,-0.48571428571428577,0.3287230320699708,5.898625656136473,False
CygOB2-C,MIST,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,5.75,0.7721428571428571,0.5,8.0,280,231.4534,2530.735627798529,2193.426152510425,2026.1962975820747,2367.22957418131,1875.284759318923,2548.5787533984408,39.56101683793412,5,1.8308542463920574e-07,-0.2,0.7040000000000001,4.664567633864443,False
CygOB2-A,MIST,3.1,2.0,2.0,8.0,corrected_no_absolute95_edge,,3.75,0.79375,0.5,8.0,356,312.1145,1203.742277480408,1150.1754498335695,1084.499101368159,1218.999663287583,1021.5650882828041,1286.6227396485908,98.0916410526015,5,1.3339848809354708e-19,-0.5428571428571429,0.26570262390670546,7.074351267691163,False
