subgroup,family,R_V,alpha,calibration_lower_Msun,calibration_upper_Msun,window_status,absolute_95_edge_Msun,relative_95_plateau_edge_Msun_diagnostic,bright_plateau_completeness,response_true_mass_lower_Msun,response_true_mass_upper_Msun,raw_calibration_sources,membership_weighted_calibration_sources,observed_count_method,k_mle,k_median,k_lo68,k_hi68,k_lo95,k_hi95,poisson_chi_square,poisson_chi_square_df,poisson_chi_square_p,residual_spearman_rho,residual_trend_p,max_abs_pearson_residual,residual_gate_pass
CygOB2-A,PARSEC,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,2.75,0.8038970588235295,0.5,18.0,397,342.8666296875,membership_weighted_mass_posterior_soft_bins,1235.408703850539,1183.5251217732564,1118.9365713570662,1249.361309237533,1061.0833657636858,1315.6517767349112,11.27287216218532,5,0.046230252961531916,-0.4285714285714286,0.3965014577259473,2.4785150441189825,True
CygOB2-B,PARSEC,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,4.25,0.8273148148148148,0.5,18.0,334,270.434616015625,membership_weighted_mass_posterior_soft_bins,1365.7259149204206,1280.4588996661653,1201.873091831124,1365.3216875462585,1129.9084365045092,1450.1735846893787,10.381083546417658,5,0.06513002229308221,-0.7714285714285715,0.07239650145772594,2.2707698206786935,True
CygOB2-C,PARSEC,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,4.25,0.8003703703703704,0.5,18.0,325,264.445458203125,membership_weighted_mass_posterior_soft_bins,1338.2746759077556,1256.2722014321366,1177.3347397215482,1337.964850793852,1104.1683584186212,1418.6653679884341,6.432838106861253,5,0.2663493468807434,-0.7714285714285715,0.07239650145772594,2.007150362912101,True
CygOB2-A,PARSEC,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,2.75,0.8038970588235295,0.5,18.0,397,342.8666296875,membership_weighted_mass_posterior_soft_bins,1801.432652493003,1685.5082811382943,1591.9601936734596,1785.9376320207602,1500.688343806226,1883.147664713768,8.018087668576749,5,0.15524159394691672,-0.2,0.7040000000000001,1.7104423929705368,True
CygOB2-B,PARSEC,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,4.25,0.8273148148148148,0.5,18.0,334,270.434616015625,membership_weighted_mass_posterior_soft_bins,2072.984436386694,1878.5656410266427,1758.340289332036,2005.3988571075379,1646.5040537116033,2134.8851850770125,7.129836847392137,5,0.21116188607201922,-0.3714285714285715,0.4684781341107872,2.00269784933712,True
CygOB2-C,PARSEC,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,4.25,0.8003703703703704,0.5,18.0,325,264.445458203125,membership_weighted_mass_posterior_soft_bins,2038.414891309521,1848.0561496637943,1727.6480653486826,1971.9660412416715,1611.0869392804818,2098.991368140012,6.3438556375927995,5,0.27418308250885975,-0.08571428571428573,0.8717434402332361,1.6692313926536315,True
CygOB2-A,PARSEC,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,2.75,0.8038970588235295,0.5,18.0,397,342.8666296875,membership_weighted_mass_posterior_soft_bins,2594.1296079311583,2349.859056355006,2206.3379240274685,2498.016649655409,2074.1468751564394,2633.477075090206,12.323562069039564,5,0.030613376255786518,0.3714285714285715,0.4684781341107872,2.753793990317846,True
CygOB2-B,PARSEC,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,4.25,0.8273148148148148,0.5,18.0,334,270.434616015625,membership_weighted_mass_posterior_soft_bins,3111.9546679621835,2675.525528251451,2482.4004387546597,2874.224500657521,2302.7697594464244,3066.4714830957523,9.372736359222465,5,0.09508914886535413,0.08571428571428573,0.8717434402332361,1.9412301941071088,True
CygOB2-C,PARSEC,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,4.25,0.8003703703703704,0.5,18.0,325,264.445458203125,membership_weighted_mass_posterior_soft_bins,3071.4014347993343,2636.851260625641,2445.001606079296,2832.546092076398,2259.1062697052566,3027.4095929965433,12.170045694659517,5,0.032530607508662074,0.2571428571428572,0.6227871720116619,2.9313025879735926,True
CygOB2-A,PARSEC,3.1,2.0,2.0,8.0,corrected_no_absolute95_edge,,3.25,0.8064705882352942,0.5,18.0,400,345.33265234375006,membership_weighted_mass_posterior_soft_bins,1267.3118278845436,1211.5624833758698,1145.2328029905866,1278.9101617332049,1083.300330772025,1349.549670420827,6.813692064404087,5,0.2348690908364484,-0.4285714285714286,0.3965014577259473,2.0087048415228117,True
