subgroup,family,R_V,age_map_Myr,age_lo68_Myr,age_hi68_Myr,snap_max_step_jump_Myr,snap_median_step_jump_Myr,snap_jump_over_step_ratio,snap_max_distance_Myr,snap_node_count_min,snap_node_count_max,snap_support_change_events,snap_offsets_evaluated,interp_max_step_jump_Myr,interp_median_step_jump_Myr,interp_jump_over_step_ratio,interp_max_distance_Myr,interp_node_count_min,interp_node_count_max,interp_support_change_events,interp_offsets_evaluated
CygOB2-A,PARSEC,3.0,3.9810717055349722,3.850819687620171,4.074126037937015,0.05397380177496279,0.0,107.94760354992557,0.09620840293315927,1,2,2,401,0.0005000000000004631,0.0004999999999999697,1.0000000000009261,0.10000000000000028,9,9,400,401
CygOB2-B,PARSEC,3.0,3.1622776601683795,3.159264577280664,4.071391231501613,0.04810420146657967,0.0,96.20840293315933,0.04810420146657967,4,4,0,401,0.0005000000000003644,0.0005000000000000189,1.0000000000007288,0.1000000000000003,9,9,400,401
CygOB2-C,PARSEC,3.0,2.51188643150958,2.477141610179612,2.568523969873677,0.03405516663943031,0.0,68.11033327886062,0.06811033327886062,1,2,2,401,0.000500000000000167,0.000500000000000167,1.000000000000334,0.10000000000000009,9,9,400,401
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.8138830356763527,4.056350413391479,0.048104201466579635,0.0,96.20840293315926,0.048104201466579635,1,2,1,401,0.0005000000000003644,0.0005000000000000189,1.0000000000007288,0.10000000000000028,9,9,400,401
CygOB2-B,PARSEC,3.1,3.548133892335755,3.388728192836123,3.991330963861016,0.053973801774962735,0.0,107.94760354992546,0.18782383261206964,3,4,2,401,0.0005000000000004631,0.0005000000000000682,1.0000000000009261,0.1000000000000002,9,9,400,401
CygOB2-C,PARSEC,3.1,2.51188643150958,2.4704194541510405,2.560434411131301,0.03405516663943031,0.0,68.11033327886062,0.06070339843138761,1,2,2,401,0.000500000000000167,0.000500000000000167,1.000000000000334,0.10000000000000007,9,9,400,401
CygOB2-A,PARSEC,3.5,3.9810717055349722,3.7513284802545037,4.027146652687408,0.048104201466579635,0.0,96.20840293315926,0.048104201466579635,2,2,0,401,0.0005000000000004631,0.0004999999999999202,1.0000000000009261,0.10000000000000028,9,9,400,401
CygOB2-B,PARSEC,3.5,2.8183829312644537,2.799329740300911,3.2528962221315054,0.038210525433769446,0.0,76.4210508675389,0.038210525433769446,3,3,0,401,0.0005000000000002163,0.0005000000000001175,1.0000000000004325,0.10000000000000014,9,9,400,401
CygOB2-C,PARSEC,3.5,1.9952623149688795,1.8950009334115765,2.1505417793007617,0.027050980399939927,0.0,54.101960799879855,0.09937861537659183,2,3,1,401,0.000500000000000167,0.0005000000000000189,1.000000000000334,0.10000000000000012,9,9,400,401
CygOB2-A,MIST,3.0,4.008667176273027,3.98164699065708,4.12813913328888,0.05463569544333979,0.0,109.27139088667958,0.05463569544333979,1,2,1,401,0.0005000000000005124,0.0004999999999999695,1.0000000000010247,0.10000000000000044,9,9,400,401
CygOB2-B,MIST,3.0,4.008667176273027,3.547536159536042,4.066893110651612,0.04866609230004452,0.0,97.33218460008904,0.04866609230004452,3,3,0,401,0.0005000000000004137,0.0004999999999999695,1.0000000000008276,0.10000000000000034,9,9,400,401
CygOB2-C,MIST,3.0,3.1805336883295205,2.9136345098195697,3.2126089414930616,0.03861237145248604,0.0,77.22474290497208,0.11161825099125734,2,3,1,401,0.0005000000000002163,0.0005000000000001175,1.0000000000004325,0.10000000000000014,9,9,400,401
CygOB2-A,MIST,3.1,4.008667176273027,3.983984461652247,4.122407670743414,0.05463569544333979,0.0,109.27139088667958,0.05463569544333979,1,2,1,401,0.0005000000000004631,0.0005000000000000189,1.0000000000009261,0.10000000000000042,9,9,400,401
CygOB2-B,MIST,3.1,4.008667176273027,3.4685414691494914,4.035547932022008,0.04866609230004452,0.0,97.33218460008904,0.04866609230004452,3,3,0,401,0.0005000000000004631,0.0004999999999999695,1.0000000000009261,0.10000000000000038,9,9,400,401
CygOB2-C,MIST,3.1,3.1805336883295205,3.095174168158871,3.2471700507093932,0.043348739693678764,0.0,86.69747938735753,0.07722474290497208,1,2,2,401,0.000500000000000167,0.000500000000000167,1.000000000000334,0.10000000000000009,9,9,400,401
CygOB2-A,MIST,3.5,4.008667176273027,3.9904046415965477,4.116620867978755,0.05463569544333979,0.0,109.27139088667958,0.05463569544333979,1,2,1,401,0.0005000000000006111,0.0004999999999999202,1.0000000000012221,0.10000000000000044,9,9,400,401
CygOB2-B,MIST,3.5,3.1805336883295205,3.126059269874793,3.508386017365684,0.04866609230004449,0.0,97.33218460008898,0.09201483199372326,2,3,2,401,0.000500000000000167,0.000500000000000167,1.000000000000334,0.10000000000000007,9,9,400,401
CygOB2-C,MIST,3.5,2.00216562158904,1.864703703269293,2.06246849253068,0.027288299656238035,0.0,54.57659931247607,0.10617162553283319,2,3,2,401,0.000500000000000167,0.0005000000000000189,1.000000000000334,0.10000000000000006,9,9,400,401
