version,subgroup,family,R_V,alpha,chi2_p,max_abs_residual,incumbent_trend_p,replacement_trend_p,replacement_T,gate_incumbent,gate_replacement
frozen,CygOB2-A,MIST,3.0,2.0,5.5688262311807574e-12,6.349282033993535,0.26570262390670546,4.999750012499375e-05,-4.94916400096232,False,False
frozen,CygOB2-A,MIST,3.0,2.3,3.2914944695676977e-08,5.223746561071578,0.4684781341107872,0.0009,-3.3124485697001576,False,False
frozen,CygOB2-A,MIST,3.0,2.6,3.4415212812078636e-06,4.3685003923147665,0.8717434402332361,0.0641,-1.8009960918317294,False,False
frozen,CygOB2-A,MIST,3.1,2.0,1.3339848809354708e-19,7.074351267691163,0.26570262390670546,4.999750012499375e-05,-6.485509017749371,False,False
frozen,CygOB2-A,MIST,3.1,2.3,9.772156466614894e-15,5.909973664786374,0.3287230320699708,4.999750012499375e-05,-4.74221939641018,False,False
frozen,CygOB2-A,MIST,3.1,2.6,6.434630413730326e-12,5.03625949739155,0.3287230320699708,0.0014,-3.136305537897468,False,False
frozen,CygOB2-A,MIST,3.5,2.0,2.56266169388773e-30,10.194749444524566,0.7871720116618076,4.999750012499375e-05,-5.297254415460223,False,False
frozen,CygOB2-A,MIST,3.5,2.3,9.588662055125408e-24,8.817850099349503,0.7871720116618076,0.0008,-3.4027550406210283,False,False
frozen,CygOB2-A,MIST,3.5,2.6,9.632499461330813e-20,7.76343099886678,0.7871720116618076,0.094,-1.6283604713283903,False,False
frozen,CygOB2-A,PARSEC,3.0,2.0,1.981607390189543e-15,7.432106955670889,0.8717434402332361,4.999750012499375e-05,-4.659660315213782,False,False
frozen,CygOB2-A,PARSEC,3.0,2.3,3.0368510763215886e-11,6.215511753482528,0.8717434402332361,0.004,-2.852616993168943,False,False
frozen,CygOB2-A,PARSEC,3.0,2.6,3.9749412201003345e-09,5.29765441673492,0.8717434402332361,0.22795,-1.1579852306561735,False,False
frozen,CygOB2-A,PARSEC,3.1,2.0,1.4387138951818688e-17,7.700181544169143,0.9571545189504373,5e-05,-3.86919747459249,False,False
frozen,CygOB2-A,PARSEC,3.1,2.3,1.2743945665463034e-13,6.442037744717707,0.9571545189504373,0.0475,-1.9451980899861883,False,False
frozen,CygOB2-A,PARSEC,3.1,2.6,4.211579387113007e-12,5.521979189711533,0.8717434402332361,0.89475,-0.12490195821683792,False,False
frozen,CygOB2-A,PARSEC,3.5,2.0,1.0823200310007262e-36,11.218025013397414,0.7871720116618076,4.999750012499375e-05,-5.428961674676105,False,False
frozen,CygOB2-A,PARSEC,3.5,2.3,1.6443201992293993e-29,9.746743049884866,0.7871720116618076,0.0007,-3.3961029523027944,False,False
frozen,CygOB2-A,PARSEC,3.5,2.6,1.8469961371050981e-25,8.677355542016835,0.7871720116618076,0.12345,-1.4937798646500204,False,False
frozen,CygOB2-B,MIST,3.0,2.0,9.532241764813027e-25,7.769229429280703,0.208,4.999750012499375e-05,-8.874984246756998,False,False
frozen,CygOB2-B,MIST,3.0,2.3,6.450948713088387e-19,6.711729233120562,0.208,4.999750012499375e-05,-7.419063587268783,False,False
frozen,CygOB2-B,MIST,3.0,2.6,9.952746855046893e-15,5.898625656136473,0.3287230320699708,4.999750012499375e-05,-6.119101931780113,False,False
frozen,CygOB2-B,MIST,3.1,2.0,7.6661067002435605e-28,8.536486444798923,0.208,4.999750012499375e-05,-9.27142752212887,False,False
frozen,CygOB2-B,MIST,3.1,2.3,2.1010713689875823e-21,7.418357574945338,0.3287230320699708,4.999750012499375e-05,-7.780192071391351,False,False
frozen,CygOB2-B,MIST,3.1,2.6,7.103846896441757e-17,6.62755302482363,0.3287230320699708,4.999750012499375e-05,-6.487397719856854,False,False
frozen,CygOB2-B,MIST,3.5,2.0,2.5025539528657306e-41,12.190259926169249,0.6227871720116619,4.999750012499375e-05,-8.380428375782705,False,False
frozen,CygOB2-B,MIST,3.5,2.3,2.4250561211097736e-33,10.905957805458005,0.7871720116618076,4.999750012499375e-05,-6.717434091744631,False,False
frozen,CygOB2-B,MIST,3.5,2.6,8.438145072274622e-28,9.97711255231906,0.7871720116618076,4.999750012499375e-05,-5.214661151938382,False,False
frozen,CygOB2-B,PARSEC,3.0,2.0,1.524846963504383e-23,8.373781206860532,0.208,4.999750012499375e-05,-8.552112425913112,False,False
frozen,CygOB2-B,PARSEC,3.0,2.3,1.6664499304595578e-17,7.271746451901183,0.3287230320699708,4.999750012499375e-05,-7.107505605721147,False,False
frozen,CygOB2-B,PARSEC,3.0,2.6,3.8385970553580353e-13,6.456067379929724,0.3287230320699708,4.999750012499375e-05,-5.840079211246055,False,False
frozen,CygOB2-B,PARSEC,3.1,2.0,9.351213594088239e-25,8.99202148535118,0.208,4.999750012499375e-05,-8.530060981207733,False,False
frozen,CygOB2-B,PARSEC,3.1,2.3,1.787495844013844e-18,7.8627136103473205,0.208,4.999750012499375e-05,-7.073020997711449,False,False
frozen,CygOB2-B,PARSEC,3.1,2.6,5.81382761786637e-14,7.042302591847422,0.208,4.999750012499375e-05,-5.802407112068887,False,False
frozen,CygOB2-B,PARSEC,3.5,2.0,9.372078968043316e-42,12.273079827227559,0.3287230320699708,4.999750012499375e-05,-8.931735856653056,False,False
frozen,CygOB2-B,PARSEC,3.5,2.3,1.4778740212131572e-33,11.003170024550005,0.6227871720116619,4.999750012499375e-05,-7.338845394554907,False,False
frozen,CygOB2-B,PARSEC,3.5,2.6,7.551310943982401e-28,10.128630106141973,0.6227871720116619,4.999750012499375e-05,-5.936752949370747,False,False
frozen,CygOB2-C,MIST,3.0,2.0,1.1633962474973748e-11,6.3155770527446045,0.3287230320699708,4.999750012499375e-05,-4.89853586183441,False,False
