version,subgroup,family,R_V,alpha,chi2_p,max_abs_residual,incumbent_trend_p,replacement_trend_p,replacement_T,gate_incumbent,gate_replacement,pi,pi_incumbent,replicate_trend_p_lo68,replicate_trend_p_hi68,replicate_max_abs_lo68,replicate_max_abs_hi68,indeterminate,indeterminate_incumbent
repair_v3,CygOB2-A,MIST,3.0,2.0,0.007265585170321469,2.880151738910357,0.04156268221574335,0.0003,-3.4766795640835193,False,False,0.0,0.0475,4.999750012499375e-05,0.0008579999999999984,2.2515121038600916,2.894619933212166,False,False
repair_v3,CygOB2-A,MIST,3.0,2.3,0.11727137596502704,2.1930282579294818,0.26570262390670546,0.04,-2.054040712801739,True,False,0.23,0.81,0.00975,0.0617,1.5727417175839176,2.2427582198328557,True,True
repair_v3,CygOB2-A,MIST,3.0,2.6,0.1884077325886515,1.6930842608548176,0.3287230320699708,0.4608,-0.7262983133415455,True,True,0.9025,0.9425,0.087242,0.5955279999999998,1.1693843461974902,1.9045668991143165,True,True
repair_v3,CygOB2-A,MIST,3.1,2.0,0.038160023553659383,2.3459105572308454,0.004804664723032055,0.00195,-3.065085319694555,False,False,0.0,0.135,0.00045,0.004207999999999998,1.8627223147632115,2.409543040825838,False,True
repair_v3,CygOB2-A,MIST,3.1,2.3,0.3083286345603025,1.6732887737361724,0.26570262390670546,0.097,-1.6248416262364165,True,True,0.675,0.84,0.026802,0.15417799999999995,1.1860550535545502,1.769578352234544,True,True
repair_v3,CygOB2-A,MIST,3.1,2.6,0.2983439688182483,1.5009348194681826,0.7040000000000001,0.7791,-0.2737613210016809,True,True,0.975,0.9625,0.17081000000000002,0.807858,0.9447736256807434,1.6585384411817485,False,False
repair_v3,CygOB2-A,MIST,3.5,2.0,0.6807599242926315,1.4105855538311651,0.26570262390670546,0.27355,-1.083689431094283,True,True,0.99,0.7775,0.14010999999999998,0.36989,1.0664960062377393,1.5167664694236498,False,True
repair_v3,CygOB2-A,MIST,3.5,2.3,0.6072718653232441,1.3649259397708018,0.3965014577259473,0.69615,0.3822703058233946,True,True,1.0,0.995,0.544582,0.9300660000000001,0.7105419470786694,1.2704463378108293,False,False
repair_v3,CygOB2-A,MIST,3.5,2.6,0.062434040340204715,2.3615165531388245,0.01884548104956266,0.07205,1.7871468551395269,False,True,0.8825,0.7875,0.058584000000000004,0.5233539999999998,1.1196644142179104,1.962081890962848,True,True
repair_v3,CygOB2-A,PARSEC,3.0,2.0,0.01973729001087994,2.6618846279271513,0.3287230320699708,0.0072,-2.69375741914548,True,False,0.01,0.7075,0.00205,0.0144,2.050611744720297,2.714015652990913,False,True
repair_v3,CygOB2-A,PARSEC,3.0,2.3,0.12343047030057704,1.936414701609895,0.3965014577259473,0.23285,-1.1616717692920075,True,True,0.9,0.99,0.060926,0.31484,1.4037595217875365,2.029019616070659,True,False
repair_v3,CygOB2-A,PARSEC,3.0,2.6,0.059115929230683095,2.2434758669336547,0.7871720116618076,0.77165,0.2841643937051841,True,True,0.975,0.9775,0.34873,0.9036759999999999,1.304103553430017,1.9639503014018105,False,False
repair_v3,CygOB2-A,PARSEC,3.1,2.0,0.147465399606553,2.0351556179532557,0.1561749271137024,0.04,-2.0368419196901946,True,False,0.275,0.94,0.01545,0.066216,1.5073669621501185,2.100696618633996,True,True
repair_v3,CygOB2-A,PARSEC,3.1,2.3,0.3498136748411814,1.3667260237006842,0.4684781341107872,0.62915,-0.4761830913638906,True,True,0.99,0.995,0.26039999999999996,0.73963,1.0335853784612083,1.5850078169142636,False,False
repair_v3,CygOB2-A,PARSEC,3.1,2.6,0.07724154864228727,2.4931192400603233,0.4684781341107872,0.30145,1.0132301769340217,True,True,0.995,0.9875,0.25758600000000004,0.8592259999999999,1.1046357499003345,1.9532675650230682,False,False
repair_v3,CygOB2-A,PARSEC,3.5,2.0,0.9476072998945084,0.7633363223341914,0.6227871720116619,0.88135,0.14310551342719938,True,True,1.0,0.9775,0.674426,0.954316,0.3840760644482401,0.8393691846511419,False,False
repair_v3,CygOB2-A,PARSEC,3.5,2.3,0.3207333110228541,1.8927809991597158,0.004804664723032055,0.0802,1.7214141490315003,False,True,0.92,0.455,0.062576,0.3168119999999999,0.9589069854991698,1.5356364153222608,True,True
repair_v3,CygOB2-A,PARSEC,3.5,2.6,0.0030600730757832234,3.2800662250433796,0.0,0.0006,3.2567365938840522,False,False,0.1475,0.2375,0.00055,0.04138199999999999,1.5779044569516023,2.620757771864718,True,True
repair_v3,CygOB2-B,MIST,3.0,2.0,2.3956931545709067e-06,4.810342744498919,0.04156268221574335,4.999750012499375e-05,-4.4608049197987985,False,False,0.0,0.0,4.999750012499375e-05,0.0002,3.590662578295897,4.590146875721271,False,False
repair_v3,CygOB2-B,MIST,3.0,2.3,4.691479896401601e-05,4.6247620198021115,0.07239650145772594,0.00035,-3.4916481566446627,False,False,0.0025,0.03,0.00025,0.0039,3.1212949557256393,4.323618735399195,False,False
repair_v3,CygOB2-B,MIST,3.0,2.6,0.00012219502188751303,4.628596171459851,0.1561749271137024,0.0099,-2.5874431719164237,False,False,0.1275,0.2325,0.0026,0.07690799999999999,2.5479441745001523,4.108452366071508,True,True
repair_v3,CygOB2-B,MIST,3.1,2.0,3.548556982698746e-05,4.295021865294584,0.04156268221574335,0.00015,-3.7879867948929458,False,False,0.0,0.0,0.0001,0.0011079999999999985,3.1625563075295777,4.089424573186254,False,False
repair_v3,CygOB2-B,MIST,3.1,2.3,0.0003895771303291285,4.118330183314245,0.07239650145772594,0.00425,-2.82024280962608,False,False,0.045,0.19,0.00195,0.031566,2.5884728637930423,3.8375519907054723,False,True
repair_v3,CygOB2-B,MIST,3.1,2.6,0.0005326753355881273,4.155660325848464,0.1561749271137024,0.05545,-1.9129873037667406,False,False,0.365,0.43,0.015110000000000002,0.24708,2.2413437793111615,3.6434016938119087,True,True
repair_v3,CygOB2-B,MIST,3.5,2.0,1.039575108979752e-06,5.080464557248935,0.04156268221574335,0.0002,-3.6029324048581017,False,False,0.0,0.0,0.0002,0.0031239999999999953,3.7776149112040907,4.734603822966509,False,False
repair_v3,CygOB2-B,MIST,3.5,2.3,5.892331978629954e-06,5.109125946166414,0.07239650145772594,0.00475,-2.8149209508946242,False,False,0.035,0.0775,0.0030840000000000004,0.06188799999999994,3.271034607257202,4.58220612890034,False,True
repair_v3,CygOB2-B,MIST,3.5,2.6,3.960796949938126e-06,5.348320959376403,0.07239650145772594,0.03885,-2.0480841222280897,False,False,0.19,0.215,0.015676,0.3499059999999997,2.6524922361531007,4.550711903829578,True,True
repair_v3,CygOB2-B,PARSEC,3.0,2.0,0.0001926163891394636,3.207353754234679,0.04156268221574335,4.999750012499375e-05,-4.2191170787464705,False,False,0.0,0.0025,4.999750012499375e-05,0.00025,2.3105739736252953,3.0741725891748333,False,False
repair_v3,CygOB2-B,PARSEC,3.0,2.3,0.0024468254207372264,3.098618301663056,0.07239650145772594,0.0016,-3.264683954796023,False,False,0.01,0.315,0.0002420000000000002,0.008665999999999997,1.9866503086061034,2.844232312642912,False,True
repair_v3,CygOB2-B,PARSEC,3.0,2.6,0.00494183444818368,3.161769011134951,0.1561749271137024,0.01835,-2.3679655304905003,False,False,0.315,0.68,0.0049,0.10779,1.6610811619906163,2.754562848015036,True,True
repair_v3,CygOB2-B,PARSEC,3.1,2.0,2.0758165677128524e-05,3.6765155077279026,0.11078717201166179,0.0001,-4.131792233713672,False,False,0.0,0.005,5e-05,0.0005,2.6261295765719317,3.440773494723323,False,False
repair_v3,CygOB2-B,PARSEC,3.1,2.3,0.0002457769536345612,3.6249050682539177,0.11078717201166179,0.00125,-3.2208714843022084,False,False,0.0075,0.205,0.00045,0.010523999999999995,2.2545121652907696,3.2332191239462618,False,True
repair_v3,CygOB2-B,PARSEC,3.1,2.6,0.00041479107911247505,3.764904020079303,0.208,0.01705,-2.3598174417646445,False,False,0.275,0.55,0.0041,0.11485799999999996,1.9576167963585944,3.1341175069119176,True,True
repair_v3,CygOB2-B,PARSEC,3.5,2.0,0.00024308474972894282,4.282563256104731,0.04156268221574335,0.00685,-2.692839245713939,False,False,0.0225,0.0575,0.0052,0.04416199999999998,3.0707587919852783,4.003365597598042,False,True
repair_v3,CygOB2-B,PARSEC,3.5,2.3,0.0010806139666652607,4.236358639330411,0.1561749271137024,0.0676,-1.8205266175426094,False,False,0.2625,0.275,0.038354,0.28117199999999953,2.673240147489557,3.8001824177515355,True,True
repair_v3,CygOB2-B,PARSEC,3.5,2.6,0.0006636578006637087,4.39989743168148,0.1561749271137024,0.33015,-0.960017641775625,False,False,0.4775,0.48,0.155302,0.7503899999999999,2.1492197278449092,3.773739053560806,True,True
repair_v3,CygOB2-C,MIST,3.0,2.0,0.8755459620737112,0.821463176080635,0.7871720116618076,0.94845,0.06619606166539001,True,True,1.0,0.98,0.650246,0.93905,0.5231723966331665,0.9680906398963692,False,False
repair_v3,CygOB2-C,MIST,3.0,2.3,0.3487323017929222,1.924486658323642,0.11078717201166179,0.1785,1.336156854792025,True,True,0.955,0.7425,0.098578,0.4509159999999999,0.891348406250473,1.6118459123771511,False,True
repair_v3,CygOB2-C,MIST,3.0,2.6,0.009812431288270354,3.1729984464696415,0.004804664723032055,0.00885,2.591537355031182,False,False,0.365,0.4975,0.004842,0.12063999999999994,1.486235873492523,2.509888372691493,True,True
repair_v3,CygOB2-C,MIST,3.1,2.0,0.8081280928416619,1.1787639699735883,0.208,0.54005,0.6120703987636273,True,True,0.9975,0.87,0.342012,0.82904,0.6539286025215957,1.0641904533132371,False,True
repair_v3,CygOB2-C,MIST,3.1,2.3,0.18751835899603356,2.2967604199984213,0.07239650145772594,0.0579,1.8929834222056352,True,True,0.6925,0.5125,0.029967999999999998,0.19153,1.186716060003499,1.9167619393293533,True,True
repair_v3,CygOB2-C,MIST,3.1,2.6,0.001962624262232591,3.602235610916595,0.004804664723032055,0.0017,3.177358402635651,False,False,0.145,0.3325,0.00095,0.04361199999999998,1.6498603214559704,2.9182993930634997,True,True
repair_v3,CygOB2-C,MIST,3.5,2.0,0.013418486217445463,3.032547792904969,0.4684781341107872,0.08235,-1.7120889853776484,False,False,0.9675,0.995,0.130602,0.665098,1.404500851901074,2.1365333620688807,False,False
repair_v3,CygOB2-C,MIST,3.5,2.3,0.012923129306486321,2.6553301031932275,0.6227871720116619,0.4752,-0.7026898326477936,True,True,0.9675,0.9775,0.3139880000000001,0.892898,1.3148270168974052,2.0576269429418534,False,False
repair_v3,CygOB2-C,MIST,3.5,2.6,0.001317591210203753,2.547517647796046,0.7871720116618076,0.7388,0.32614514045775644,False,False,0.825,0.8975,0.06751000000000001,0.7754019999999998,1.5024989853444637,2.329135488352946,True,True
repair_v3,CygOB2-C,PARSEC,3.0,2.0,0.1439450567691874,2.3372498293387345,0.11078717201166179,0.05015,-1.9532522534615826,True,True,0.69,0.8275,0.034780000000000005,0.15889799999999998,1.2491728445195012,2.0019043049585097,True,True
repair_v3,CygOB2-C,PARSEC,3.0,2.3,0.20119468135455573,1.9202241713294508,0.5440932944606415,0.39335,-0.8433655839576889,True,True,0.985,0.9775,0.226242,0.7688079999999998,0.9676295544352591,1.6761151422253469,False,False
repair_v3,CygOB2-C,PARSEC,3.0,2.6,0.04848776192303623,2.4034552104066997,0.9571545189504373,0.81225,0.24284121458256872,True,True,0.975,0.965,0.272162,0.8966919999999999,1.0096679601865846,1.984317281737516,False,False
repair_v3,CygOB2-C,PARSEC,3.1,2.0,0.39154202871799954,1.886945377060792,0.11078717201166179,0.18935,-1.2995666295660386,True,True,0.99,0.9,0.13866799999999999,0.45328799999999997,0.8811844992722581,1.5706526677152046,False,True
repair_v3,CygOB2-C,PARSEC,3.1,2.3,0.3409143658046784,1.5244777289403961,0.9571545189504373,0.8413,-0.19833409170622343,True,True,1.0,0.985,0.484068,0.9161199999999998,0.7852538584251855,1.3838923553977494,False,False
repair_v3,CygOB2-C,PARSEC,3.1,2.6,0.04425579256806311,2.69995990670864,0.7871720116618076,0.3668,0.8948793399396356,True,True,0.935,0.9175,0.099042,0.6617439999999999,1.0372395767542422,2.154332947531306,True,True
repair_v3,CygOB2-C,PARSEC,3.5,2.0,0.15218533345457674,2.1760168710035095,0.6227871720116619,0.5584,-0.5766708490123118,True,True,1.0,1.0,0.481934,0.911492,1.4038831687468376,2.0098551543469183,False,False
repair_v3,CygOB2-C,PARSEC,3.5,2.3,0.07534043197635133,2.3013165246364515,0.7871720116618076,0.65025,0.44324589256370334,True,True,0.945,0.9775,0.154894,0.77145,1.3383848724311083,2.078088555164717,True,False
repair_v3,CygOB2-C,PARSEC,3.5,2.6,0.004396892341477032,2.6427665039508574,0.26570262390670546,0.13245,1.4874257503136943,False,False,0.585,0.8025,0.012618,0.3585219999999998,1.5582807743793077,2.4170246858079754,True,True
repair_v4,CygOB2-A,MIST,3.0,2.0,0.005953632068640105,2.7580646762136953,0.04156268221574335,0.00055,-3.5013285653316895,False,False,0.0,0.065,0.00025,0.0011159999999999968,2.187539219049853,2.785356226440986,False,True
repair_v4,CygOB2-A,MIST,3.0,2.3,0.10060424601879053,2.0559828471528614,0.26570262390670546,0.03385,-2.072560876841588,True,False,0.22,0.8475,0.006426,0.05809399999999997,1.5089340551434507,2.136489034325413,True,True
repair_v4,CygOB2-A,MIST,3.0,2.6,0.1590719275093021,1.7868611532307241,0.3965014577259473,0.44465,-0.7410771993074233,True,True,0.895,0.9475,0.090036,0.5723799999999996,1.1760322660592288,1.9452964509485144,True,True
repair_v4,CygOB2-A,MIST,3.1,2.0,0.06337879666697162,2.0118340344461814,0.07239650145772594,0.00475,-2.8179625748080674,True,False,0.0,0.32,0.0011,0.0081,1.7320692888857279,2.2143575829660773,False,True
