subgroup,family,R_V,ratio_alpha_2.0,ratio_alpha_2.3,ratio_alpha_2.6,closing_alpha,inside_branch_grid,turnoff_Msun,effective_completeness
CygOB2-A,MIST,3.0,0.678534138057335,1.041440265919639,1.595752940929386,2.271567054590264,True,57.565220361889864,0.8144849829609987
CygOB2-A,MIST,3.1,0.675090310883401,1.0345278254112134,1.5850029803037644,2.2761428110481203,True,57.60146123585662,0.8151335417239023
CygOB2-A,MIST,3.5,0.7053520378178015,1.0757145501806205,1.6413990481260752,2.248120165265992,True,57.619525698618666,0.8165896306025661
CygOB2-A,PARSEC,3.0,0.585852159714743,0.8995615561517349,1.3792290667208795,2.3743013156051735,True,59.06452774556843,0.8056161351780363
CygOB2-A,PARSEC,3.1,0.5820723133429198,0.8936805806879247,1.3682118892276325,2.3791761985203386,True,59.70434892054486,0.8082444665135682
CygOB2-A,PARSEC,3.5,0.6106582438205708,0.9306348570012316,1.4140591305499013,2.351550968287658,True,60.82399147486474,0.8129442197262751
CygOB2-B,MIST,3.0,0.7183457079679255,1.088524902368697,1.6486645185284186,2.238774445153249,True,61.286176831965314,0.912242381673803
CygOB2-B,MIST,3.1,0.7344429352735727,1.1133098407248223,1.6829328532098888,2.222589560826465,True,61.88780538104223,0.9121623198832542
CygOB2-B,MIST,3.5,0.763254403373204,1.1491690825832013,1.7201535781673654,2.1980658963660367,True,69.12996117060038,0.912422516252772
CygOB2-B,PARSEC,3.0,0.7118519566234635,1.089868561500421,1.6482627097377252,2.239388213435405,True,82.00314834051836,0.9031855940813096
CygOB2-B,PARSEC,3.1,0.7254252724883298,1.105576606249891,1.6720510858375546,2.228541384495286,True,71.10112027358689,0.9075459968886492
CygOB2-B,PARSEC,3.5,0.7170264401007319,1.103684959031326,1.68298687184077,2.231378247845585,True,110.31534915821896,0.9032961157961102
CygOB2-C,MIST,3.0,0.9585604659258624,1.4374831365972218,2.151140812609044,2.031333357838361,True,72.06599543130731,0.8115584777290016
CygOB2-C,MIST,3.1,1.0004295514800168,1.50640783366102,2.2731598465799565,1.9999480198580888,False,69.80642667096501,0.8120359099842889
CygOB2-C,MIST,3.5,0.9593997391010144,1.4421892322832903,2.1646148089738535,2.030505255176536,True,120.0,0.8171182617036494
CygOB2-C,PARSEC,3.0,0.901854106053274,1.377215940059335,2.0928598617653957,2.0732007655141405,True,120.0,0.8114526337642815
CygOB2-C,PARSEC,3.1,0.9211271731152928,1.4050659658610425,2.13540574933509,2.058372177284032,True,120.0,0.8083270206195365
CygOB2-C,PARSEC,3.5,0.9916628405223468,1.494152992177086,2.2471392467930724,2.0061269549118412,True,120.0,0.8144091155350844
