subgroup,family,R_V,n_members,observed_above_8_probabilistic,observed_above_8_thresholded,eddington_inflation,stars_with_finite_p_gt8
CygOB2-A,PARSEC,3.0,476,57.845171484375,57,0.9853890746161363,476
CygOB2-B,PARSEC,3.0,426,76.5325875,72,0.9407757185787035,426
CygOB2-C,PARSEC,3.0,429,103.540769140625,103,0.9947772346572918,429
CygOB2-A,PARSEC,3.1,476,59.412929296875,57,0.9593871346619175,476
CygOB2-B,PARSEC,3.1,426,79.55346601562499,75,0.942762191973752,426
CygOB2-C,PARSEC,3.1,429,107.43566874999999,109,1.0145606321271212,429
CygOB2-A,PARSEC,3.5,476,65.62187734375,62,0.9448068618217464,476
CygOB2-B,PARSEC,3.5,426,91.996693359375,91,0.9891659871351949,426
CygOB2-C,PARSEC,3.5,429,124.05501210937501,134,1.0801659499404734,429
CygOB2-A,MIST,3.0,476,64.4287296875,63,0.9778246491211329,476
CygOB2-B,MIST,3.0,426,74.82004062499999,70,0.9355782142760632,426
CygOB2-C,MIST,3.0,429,99.988748046875,94,0.9401057802617204,429
CygOB2-A,MIST,3.1,476,65.759646484375,64,0.9732412417272787,476
CygOB2-B,MIST,3.1,426,78.4266015625,75,0.9563081723008326,426
CygOB2-C,MIST,3.1,429,104.36098632812501,107,1.0252873584729985,429
CygOB2-A,MIST,3.5,476,72.0868921875,70,0.9710503237943462,476
CygOB2-B,MIST,3.5,426,90.62233554687501,90,0.9931326472318395,426
CygOB2-C,MIST,3.5,429,120.954698828125,131,1.0830501110680226,429
