subgroup,family,R_V,alpha,turnoff_prior_mean_Msun,observed_living,predicted_observed_ctl,closure_ratio_ctl,predicted_observed_trt,closure_ratio_trt,ratio_reduction,ratio_reduction_fraction
CygOB2-A,PARSEC,3.0,2.0,59.06452774556843,57.845171484375,99.02386669767267,0.5841538349636525,99.06652675169958,0.5839022864842953,0.0002515484793571554,
CygOB2-A,PARSEC,3.0,2.3,59.06452774556843,57.845171484375,64.49705629634335,0.8968652959693996,64.55504496406084,0.8960596575616767,0.0008056384077228529,
CygOB2-A,PARSEC,3.0,2.6,59.06452774556843,57.845171484375,42.06533832915438,1.3751267381174024,42.12076693025995,1.373317147338514,0.0018095907788884258,0.004823945069791541
CygOB2-B,PARSEC,3.0,2.0,82.00314834051836,76.5325875,107.85018059550244,0.7096194654234225,108.34308255858511,0.7063910837003923,0.0032283817230301937,
CygOB2-B,PARSEC,3.0,2.3,82.00314834051836,76.5325875,70.47383061009297,1.0859717264899083,70.77709137565303,1.0813186302584743,0.004653096231433951,0.05412356389027679
CygOB2-B,PARSEC,3.0,2.6,82.00314834051836,76.5325875,46.61970153351217,1.6416361534400905,46.80752417421798,1.6350488270891044,0.0065873263509861335,0.010266451345780022
CygOB2-C,PARSEC,3.0,2.0,119.99999999999999,103.540769140625,114.33195709312918,0.9056152957854626,113.91855093530131,0.9089017398003048,-0.003286444014842127,
CygOB2-C,PARSEC,3.0,2.3,119.99999999999999,103.540769140625,74.82681896668868,1.3837387526351905,74.58480963046117,1.3882286440580782,-0.004489891422887693,-0.011700385723503157
CygOB2-C,PARSEC,3.0,2.6,119.99999999999999,103.540769140625,49.2156727406778,2.103817003298755,49.08373317999407,2.109472169953588,-0.00565516665483301,-0.0051232827886620305
CygOB2-A,PARSEC,3.1,2.0,59.70434892054486,59.412929296875,101.34664174845301,0.586234810269694,101.42399924075869,0.5857876808411145,0.0004471294285794958,
CygOB2-A,PARSEC,3.1,2.3,59.70434892054486,59.412929296875,65.95218430720712,0.9008485453662598,66.03189351100104,0.8997611023675505,0.0010874429987093315,
CygOB2-A,PARSEC,3.1,2.6,59.70434892054486,59.412929296875,43.04713034731302,1.3801832739492592,43.116899066441235,1.3779499589087403,0.002233315040518935,0.005874311663739847
CygOB2-B,PARSEC,3.1,2.0,71.10112027358689,79.55346601562499,109.70576960441215,0.7251529824045417,110.13818669566918,0.722305935864415,0.0028470465401266853,
CygOB2-B,PARSEC,3.1,2.3,71.10112027358689,79.55346601562499,71.96045791704644,1.105516394953066,72.26542912482405,1.100850946006455,0.004665448946610917,0.04421539371854131
CygOB2-B,PARSEC,3.1,2.6,71.10112027358689,79.55346601562499,47.57152508022671,1.6722916888088524,47.78169662849284,1.6649359823733476,0.007355706435504761,0.010941242555798059
CygOB2-C,PARSEC,3.1,2.0,119.99999999999999,107.43566875,115.88281617457572,0.9271061257965096,116.1138598163283,0.9252613677638857,0.001844758032623961,
CygOB2-C,PARSEC,3.1,2.3,119.99999999999999,107.43566875,75.84694974382987,1.4164797544642178,76.0544807142734,1.412614585505114,0.0038651689591038263,0.009280568665519384
CygOB2-C,PARSEC,3.1,2.6,119.99999999999999,107.43566875,49.84591768610248,2.1553554180015446,50.01497955720503,2.1480698323013327,0.007285585700211872,0.006305925939927632
CygOB2-A,PARSEC,3.5,2.0,60.82399147486474,65.62187734375,107.19739562157993,0.612159250355329,107.2837347286682,0.6116666008105945,0.0004926495447344914,
