anchor_uid,object_name,source_id,spectral_type,initial_mass_Msun,mass_rule,above_8_Msun,inside_footprint,classifiable,counts_in_census,l_deg,b_deg,subgroup_positional,centroid_separation_deg
gaia_dr3:2061220333677386496,HD 229232,2061220333677386496,O4V:n((f)),47.0,OV,True,False,True,False,77.39697496323933,0.9301061042877729,CygOB2-B,2.2536224504237095
gaia_dr3:2061457553312825600,HD 193514,2061457553312825600,O7Ib(f),44.0,OI,True,False,True,False,77.0017347114071,1.7982831500887069,CygOB2-B,2.7946886991778173
gaia_dr3:2062360626011542272,HD 193322A,2062360626011542272,O9IV(n),27.0,OIV,True,False,True,False,78.0986235752486,2.780653219678705,CygOB2-B,2.434271672874807
gaia_dr3:2062426085622944256,V* V2011 Cyg,2062426085622944256,O4.5IV(n)(f),52.0,OIV,True,False,True,False,77.12466203093113,3.4037848876220855,CygOB2-B,3.5507899166355608
gaia_dr3:2062560122958679936,WR 138-1,2062560122958679936,WN8-9h,40.0,wolf_rayet_nominal,True,False,True,False,78.32022038977576,3.153613986323678,CygOB2-B,2.612705883330233
gaia_dr3:2064136925704910080,WR 143,2064136925704910080,WC4+OB?,40.0,wolf_rayet_nominal,True,False,True,False,77.49914727216664,-0.04605339271350688,CygOB2-B,2.3519629013493906
gaia_dr3:2064671253991921408,WR 147,2064671253991921408,WN8(h)+B0.5V,40.0,wolf_rayet_nominal,True,False,True,False,79.84763726256311,-0.315412392987978,CygOB2-C,1.0289280349175227
gaia_dr3:2064838375463800448,A37,2064838375463800448,O5V((f)),40.0,OV,True,True,True,True,80.24003123134135,0.1356200272550187,CygOB2-C,0.5592915659925678
gaia_dr3:2067267304028045568,LS II +39 53,2067267304028045568,O8V(n)((f)),24.0,OV,True,False,True,False,78.28690807773387,0.7780117156391045,CygOB2-B,1.3695043721518623
gaia_dr3:2067342448773511680,J20303833+4010538,2067342448773511680,,,no_spectral_type,False,True,False,False,79.01842987730569,0.5154435619748978,CygOB2-B,0.7420706856258128
gaia_dr3:2067398416488472704,ALS11363,2067398416488472704,O8Vz,24.0,OV,True,True,True,True,79.02888065279376,1.2072163989320008,CygOB2-B,0.6917748934515334
gaia_dr3:2067421304373639552,BD+404185,2067421304373639552,,,no_spectral_type,False,True,False,False,79.12291671682783,1.1507028771169443,CygOB2-B,0.5825876829124499
gaia_dr3:2067424053152797568,J20281539+4044046,2067424053152797568,,,no_spectral_type,False,True,False,False,79.20054437762437,1.206813949905865,CygOB2-B,0.5425464990941075
gaia_dr3:2067429168454304896,J20292449+4052599,2067429168454304896,,,no_spectral_type,False,True,False,False,79.44866353432431,1.1170587179978897,CygOB2-B,0.2937094084113794
gaia_dr3:2067430718942052224,ALS11376,2067430718942052224,O7Ib(f),44.0,OI,True,True,True,True,79.2984850175868,1.2125929880458777,CygOB2-B,0.4683299011586084
gaia_dr3:2067468407275542144,HD 229202,2067468407275542144,O7.5V(n)((f)),26.0,OV,True,False,True,False,78.19195279977274,1.629152418445301,CygOB2-B,1.6286083369028488
gaia_dr3:2067482735288329856,HD 194649,2067482735288329856,O6V((f)),34.0,OV,True,False,True,False,78.46006476884355,1.353448229798748,CygOB2-B,1.2724119893740995
gaia_dr3:2067571937468635264,HD 229196,2067571937468635264,O6II(f),50.0,OII,True,False,True,False,78.75966096737663,2.0719173820305294,CygOB2-B,1.468774393422573
gaia_dr3:2067610042417228416,J20273982+4040384,2067610042417228416,,,no_spectral_type,False,True,False,False,79.08846788886592,1.2646788016246517,CygOB2-B,0.6679622822075149
gaia_dr3:2067625195062093312,J20282772+4104018,2067625195062093312,,,no_spectral_type,False,True,False,False,79.49326897882928,1.3694810079427708,CygOB2-B,0.4914953969987614
gaia_dr3:2067625637438421248,-,2067625637438421248,OC9.7Iab,31.0,OI,True,True,True,True,79.51781338388287,1.3768674255517253,CygOB2-B,0.4913010975170924
gaia_dr3:2067691195819277056,J20272099+4121262,2067691195819277056,,,no_spectral_type,False,True,False,False,79.60713137395716,1.708517161021208,CygOB2-B,0.8058169682869998
gaia_dr3:2067735760399789568,J20314885+4038001,2067735760399789568,,,no_spectral_type,False,True,False,False,79.51512566673719,0.6016674891162627,CygOB2-B,0.3312433479449038
gaia_dr3:2067751604537938688,A22,2067751604537938688,,,no_spectral_type,False,True,False,False,79.73096029629146,0.4370591374429934,CygOB2-C,0.449823655019957
gaia_dr3:2067754731274151424,2MASS J20333821+4053411,2067754731274151424,B0Ib,28.0,BI,True,True,True,True,79.93046618307203,0.4792562498372798,CygOB2-C,0.2688660334639287
gaia_dr3:2067763080691028736,2MASS J20341604+4102196,2067763080691028736,O9.5V,19.0,OV,True,True,True,True,80.11704737409842,0.4696736576802723,CygOB2-C,0.20999761759502492
gaia_dr3:2067766684167207424,[MT91] 712,2067766684167207424,B1V,13.0,BV,True,True,True,True,80.17297049353961,0.55680566750603,CygOB2-C,0.13802455141702288
gaia_dr3:2067766791544561920,[MT91] 720,2067766791544561920,B0.5V+B1.5V,15.0,BV,True,True,True,True,80.17636677549714,0.552800392890158,CygOB2-C,0.14314458687916992
gaia_dr3:2067769574681275904,J20322615+4057194,2067769574681275904,,,no_spectral_type,False,True,False,False,79.84429590093475,0.6977289973808184,CygOB2-C,0.26614513666171014
gaia_dr3:2067778542573330304,[MT91] 516,2067778542573330304,O5.5V,37.0,OV,True,True,True,True,80.11070966752631,0.6706945678385373,CygOB2-C,0.008895668782076302
gaia_dr3:2067781909827710720,Schulte 51,2067781909827710720,B0V,17.0,BV,True,True,True,True,80.13872856407457,0.7435741519153137,CygOB2-C,0.07024155628599567
gaia_dr3:2067781909827712384,CygOB2-22B,2067781909827712384,O6IV((f)),43.0,OIV,True,True,True,True,80.13802726223133,0.7479678853215667,CygOB2-C,0.07399857621756169
gaia_dr3:2067781939888133248,[MT91] 448,2067781939888133248,O6V,34.0,OV,True,True,True,True,80.14873325731395,0.7386966756894564,CygOB2-C,0.07078937278430554
gaia_dr3:2067781944187448704,[MT91] 426,2067781944187448704,B0V,17.0,BV,True,True,True,True,80.13834987691558,0.7423581142884765,CygOB2-C,0.06897756657979938
gaia_dr3:2067782734461462912,Schulte 12,2067782734461462912,B3.5Ia+,16.25,BI,True,True,True,True,80.10199888858133,0.8302870273484657,CygOB2-C,0.15094320258365365
gaia_dr3:2067788713055642880,A46,2067788713055642880,O7V((f)),28.0,OV,True,True,True,True,79.58338111172999,0.8420704739765993,CygOB2-B,0.09141611639393245
gaia_dr3:2067796787591714048,[CPR2002] A15,2067796787591714048,O7I,44.0,OI,True,True,True,True,79.77706863566227,0.8405790331478886,CygOB2-B,0.1412871841655636
gaia_dr3:2067807885789820160,-,2067807885789820160,O8.5III,29.5,OIII,True,True,True,True,79.4957392658479,1.183451690541557,CygOB2-B,0.31964950085022764
gaia_dr3:2067826332670106112,[CPR2002] A30,2067826332670106112,B2V,10.0,BV,True,True,True,True,79.92300018336135,1.0051553516944114,CygOB2-B,0.29044537311599417
gaia_dr3:2067828467273010176,[MT91] 140,2067828467273010176,O9.5I,31.0,OI,True,True,True,True,80.03996138824125,0.9980424170821675,CygOB2-A,0.22981892247795116
gaia_dr3:2067829596846026880,[MT91] 267,2067829596846026880,O7.5III,34.5,OIII,True,True,True,True,80.07978957804593,0.8504267010399261,CygOB2-C,0.1735006016681497
gaia_dr3:2067832418643351424,[MT91] 427,2067832418643351424,B4III,6.25,BV,False,True,True,False,80.28079828627908,0.8480433854185887,CygOB2-A,0.07414237600768352
gaia_dr3:2067832968398974208,Schulte 17,2067832968398974208,O8.5V,22.0,OV,True,True,True,True,80.24311798794761,0.8988646501482037,CygOB2-A,0.022399440624111772
gaia_dr3:2067835682818358400,[MT91] 213,2067835682818358400,B0V,17.0,BV,True,True,True,True,80.22385425672333,1.0281208244321436,CygOB2-A,0.11484418599580859
gaia_dr3:2067848189763302400,[MT91] 186,2067848189763302400,B2Ve,10.0,BV,True,True,True,True,80.27369398098949,1.1037383132212246,CygOB2-A,0.18698130702648846
gaia_dr3:2067849220555467264,[MT91] 170,2067849220555467264,B5V,5.5,BV,False,True,True,False,80.29735620746276,1.1473513749318012,CygOB2-A,0.23350491137773696
gaia_dr3:2067878220173813376,J20333456+4121372,2067878220173813376,,,no_spectral_type,False,True,False,False,80.2975318507743,0.7659228507624458,CygOB2-A,0.1575075813567345
gaia_dr3:2067882755658754432,Schulte 30,2067882755658754432,B1.5III,11.5,BV,True,True,True,True,80.52589665540438,0.6673424871131116,CygOB2-A,0.36861112290527037
gaia_dr3:2067913164027256960,B18,2067913164027256960,O7.5IV:(f),34.5,OIV,True,True,True,True,80.75056026409086,0.7794741206802176,CygOB2-A,0.5141353764098822
gaia_dr3:2067926564325711872,[MT91] 453,2067926564325711872,B5V,5.5,BV,False,True,True,False,80.3255938196134,0.8691448114391453,CygOB2-A,0.08540715037194728
gaia_dr3:2067998101300361984,J20284657+4107069,2067998101300361984,,,no_spectral_type,False,True,False,False,79.56957571518811,1.3515209176398508,CygOB2-B,0.4549357867724123
gaia_dr3:2068007034832335104,-,2068007034832335104,O9.5IV,25.0,OIV,True,True,True,True,79.8342460111001,1.3562818724325072,CygOB2-B,0.488182664172034
gaia_dr3:2068074620437883520,-,2068074620437883520,O9.5II,31.0,OII,True,True,True,True,79.97256078455887,1.847531484579472,CygOB2-A,0.9718598282621344
gaia_dr3:2068142755799441536,A34,2068142755799441536,,,no_spectral_type,False,True,False,False,80.61345673482215,1.453602365275835,CygOB2-A,0.6445346856104367
gaia_dr3:2068434332539101056,WR 142a,2068434332539101056,WC8,40.0,wolf_rayet_nominal,True,False,True,False,79.31112714710004,2.2451271973068363,CygOB2-B,1.3835117910626786
gaia_dr3:2068498409154126720,LS III +41 20,2068498409154126720,O4.5III(n)(fc)p,52.0,OIII,True,False,True,False,79.35752907141931,2.6136962060642652,CygOB2-B,1.7347236201063418
gaia_dr3:2068647191122709632,LS III +41 14,2068647191122709632,O9.5V(n),19.0,OV,True,False,True,False,79.01317778030054,3.628259326241854,CygOB2-B,2.7976958685230464
gaia_dr3:2068647191122712960,HD 228759,2068647191122712960,O6.5V(n)((f))z,31.0,OV,True,False,True,False,79.01197161186803,3.6198971797023356,CygOB2-B,2.7898296728626537
gaia_dr3:2069091531258827648,WR 142-1,2069091531258827648,WN6o,40.0,wolf_rayet_nominal,True,False,True,False,81.5745931021947,2.913357044921987,CygOB2-A,2.3914083025263717
gaia_dr3:2069445505277962624,WR 147-1,2069445505277962624,WN4,40.0,wolf_rayet_nominal,True,False,True,False,81.71995284509002,0.7172467283265553,CygOB2-A,1.4781891453693448
gaia_dr3:2069819545390584192,BD+43 3654,2069819545390584192,O4If,62.0,OI,True,False,True,False,82.40997129600663,2.3253893163529336,CygOB2-A,2.5722874951427843
gaia_dr3:2070636448174993024,HD 195592,2070636448174993024,O9.7Ia+,31.0,OI,True,False,True,False,82.3556863783019,2.957076307756262,CygOB2-A,2.925592603266291
