assumed_age_Myr,N_SN_mean,N_SN_median,N_SN_p16,N_SN_p84,P_last_SN_within_100kyr
2.0,0.0,0.0,0.0,0.0,0.0
2.25,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0
2.75,0.0,0.0,0.0,0.0,0.0
3.0,0.2022115,0.0,0.0,1.0,0.183132
3.25,3.6329295,3.0,2.0,6.0,0.674902
3.5,6.525105,6.0,4.0,9.0,0.700456
3.75,9.515532,9.0,6.0,13.0,0.7009075
4.0,12.731329,13.0,9.0,16.0,0.726541
4.25,15.6948095,16.0,12.0,20.0,0.7021725
4.5,18.8722435,19.0,14.0,23.0,0.72479
4.75,22.211814,22.0,17.0,27.0,0.7439105
5.0,25.783657,26.0,21.0,31.0,0.765172
5.25,28.8673065,29.0,23.0,34.0,0.708422
5.5,32.027399,32.0,26.0,38.0,0.721127
5.75,35.151022,35.0,29.0,41.0,0.698127
6.0,38.1985225,38.0,32.0,45.0,0.7075505
