family,R_V,alpha,sf_duration_Myr,branch_set,N_SN_mean,P_at_least_one,P_last_SN_within_100kyr,P_last_SN_within_pulsar_window,min_turnoff_Msun,min_dead_progenitor_Msun,fraction_of_SNe_below_52Msun,N_SN_bh_cut_20,N_SN_bh_cut_25,N_SN_bh_cut_30,N_SN_bh_cut_35,N_SN_bh_cut_40,N_SN_bh_cut_45,N_SN_bh_cut_52
PARSEC,3.0,2.0,0.0,retained,23.394765,1.0,0.840835,0.9994825,45.406150498884735,45.406158875980275,0.06430252665500166,0.0,0.0,0.0,0.0,0.0,0.0,1.5043425
PARSEC,3.0,2.0,1.0,retained,23.317845,1.0,0.84472,0.9992875,38.50116244616435,38.51771519873127,0.08901337151868023,0.0,0.0,0.0,0.0,0.0372075,0.49301,2.0756
PARSEC,3.0,2.0,2.0,retained,24.14191,1.0,0.883415,0.999675,33.92106228044759,33.93643953688934,0.16418937026937802,0.0,0.0,0.0,0.0158475,0.4045275,1.52466,3.963845
PARSEC,3.0,2.3,0.0,retained,8.79302,0.9994975,0.5446,0.954085,45.406150498884735,45.406158762867875,0.0646035150608096,0.0,0.0,0.0,0.0,0.0,0.0,0.56806
PARSEC,3.0,2.3,1.0,retained,8.7978425,0.9994825,0.53934,0.9517675,38.50116244616435,38.50683489199529,0.09221721120831614,0.0,0.0,0.0,0.0,0.0150875,0.1925575,0.8113125
PARSEC,3.0,2.3,2.0,retained,9.2290275,0.999705,0.585975,0.9596325,33.92106228044759,33.93494382211025,0.1788761058518896,0.0,0.0,0.0,0.00635,0.16308,0.632535,1.6508525
PARSEC,3.0,2.6,0.0,dropped,3.123975,0.94477,0.2757625,0.702855,45.406150498884735,45.406168119937746,0.061829880200705824,0.0,0.0,0.0,0.0,0.0,0.0,0.193155
PARSEC,3.0,2.6,1.0,dropped,3.1479875,0.94625,0.269785,0.6982875,38.50116244616435,38.5453453176379,0.0919500156846239,0.0,0.0,0.0,0.0,0.0054775,0.068365,0.2894575
PARSEC,3.0,2.6,2.0,dropped,3.374375,0.9576975,0.293365,0.71221,33.92106228044759,33.9500249224204,0.1904078533061678,0.0,0.0,0.0,0.0024775,0.0603375,0.24118,0.6425075
PARSEC,3.1,2.0,0.0,retained,22.3267875,1.0,0.84941,0.9995525,52.0632116645852,52.06323459342589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARSEC,3.1,2.0,1.0,retained,22.231295,1.0,0.8504775,0.99952,43.208323715130575,43.223155445357065,0.046670358159522425,0.0,0.0,0.0,0.0,0.0,0.0352025,1.0375425
PARSEC,3.1,2.0,2.0,retained,23.0275275,1.0,0.88802,0.999705,37.120586964357436,37.12861828798309,0.1351663785875405,0.0,0.0,0.0,0.0,0.1005775,0.9434125,3.1125475
PARSEC,3.1,2.3,0.0,retained,8.4369025,0.9997025,0.55183,0.9579475,52.0632116645852,52.063216222459204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARSEC,3.1,2.3,1.0,retained,8.443045,0.9996475,0.54939,0.9565325,43.208323715130575,43.23483225251537,0.049766109265081494,0.0,0.0,0.0,0.0,0.0,0.01463,0.4201775
PARSEC,3.1,2.3,2.0,retained,8.8560425,0.9998025,0.5922775,0.96187,37.120586964357436,37.14141964713785,0.14985615753311934,0.0,0.0,0.0,0.0,0.0430275,0.40323,1.3271325
PARSEC,3.1,2.6,0.0,dropped,3.0624575,0.949125,0.27892,0.71559,52.0632116645852,52.06326094091385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARSEC,3.1,2.6,1.0,dropped,3.085845,0.9503375,0.276475,0.710665,43.208323715130575,43.22783002724856,0.05079726946752024,0.0,0.0,0.0,0.0,0.0,0.0056375,0.1567525
PARSEC,3.1,2.6,2.0,dropped,3.302855,0.96061,0.30079,0.7226775,37.120586964357436,37.1379400887424,0.16300972946132966,0.0,0.0,0.0,0.0,0.01626,0.1603975,0.5383975
PARSEC,3.5,2.0,0.0,retained,15.432555,0.999995,0.871075,0.998115,56.55952537224974,56.559565011623675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARSEC,3.5,2.0,1.0,retained,15.52909,0.9999975,0.853055,0.9987075,46.47354380503721,46.49381117760795,0.015158164451361929,0.0,0.0,0.0,0.0,0.0,0.0,0.2353925
PARSEC,3.5,2.0,2.0,retained,16.30605,1.0,0.83563,0.998225,39.16383461737896,39.17336696877848,0.08137884404868133,0.0,0.0,0.0,0.0,0.0025775,0.2802125,1.3269675
PARSEC,3.5,2.3,0.0,retained,5.6280075,0.99339,0.5567475,0.9353025,56.55952537224974,56.559758303623525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARSEC,3.5,2.3,1.0,retained,5.7284175,0.9948275,0.534555,0.9342325,46.47354380503721,46.52669809862453,0.014653261568312715,0.0,0.0,0.0,0.0,0.0,0.0,0.08394
PARSEC,3.5,2.3,2.0,retained,6.1580175,0.9969575,0.5122425,0.91898,39.16383461737896,39.21290428299659,0.0884477025276398,0.0,0.0,0.0,0.0,0.00082,0.1102575,0.5446625
PARSEC,3.5,2.6,0.0,dropped,1.9268025,0.8394325,0.26322,0.6482325,56.55952537224974,56.562629872587344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARSEC,3.5,2.6,1.0,dropped,1.9924725,0.8528275,0.253375,0.6443475,46.47354380503721,46.66745150360601,0.012100543420298147,0.0,0.0,0.0,0.0,0.0,0.0,0.02411
PARSEC,3.5,2.6,2.0,dropped,2.204405,0.8826475,0.2387925,0.614535,39.16383461737896,39.2632661308497,0.0885499715342689,0.0,0.0,0.0,0.0,0.00022,0.0340625,0.1952
