subgroup,bh_threshold_Msun,N_SN_mean,N_SN_median,P_at_least_one
CygOB2-A,20.0,0.0,0.0,0.0
CygOB2-A,25.0,0.0,0.0,0.0
CygOB2-A,30.0,0.0,0.0,0.0
CygOB2-A,40.0,0.0,0.0,0.0
CygOB2-A,60.0,0.3416725,0.0,0.270211
CygOB2-A,80.0,2.334368,2.0,0.897223
CygOB2-A,120.0,4.1702435,4.0,0.983348
CygOB2-B,20.0,0.0,0.0,0.0
CygOB2-B,25.0,0.0,0.0,0.0
CygOB2-B,30.0,0.0,0.0,0.0
CygOB2-B,40.0,0.0,0.0,0.0
CygOB2-B,60.0,0.723568,0.0,0.4375295
CygOB2-B,80.0,2.521794,2.0,0.8832085
CygOB2-B,120.0,4.26466,4.0,0.9794915
CygOB2-C,20.0,0.0,0.0,0.0
CygOB2-C,25.0,0.0,0.0,0.0
CygOB2-C,30.0,0.0,0.0,0.0
CygOB2-C,40.0,0.0,0.0,0.0
CygOB2-C,60.0,0.0,0.0,0.0
CygOB2-C,80.0,0.0,0.0,0.0
CygOB2-C,120.0,0.0,0.0,0.0
