arm,k_scale,family,R_V,alpha,sf_duration_Myr,N_SN_mean,P_last_SN_within_100kyr,P_at_least_one
low,0.7,PARSEC,3.0,2.0,0.0,16.37413,0.72466,0.9999975
low,0.7,PARSEC,3.0,2.0,1.0,16.32706,0.727485,1.0
low,0.7,PARSEC,3.0,2.0,2.0,16.8872475,0.7773625,1.0
low,0.7,PARSEC,3.0,2.3,0.0,6.15618,0.4233175,0.9964025
low,0.7,PARSEC,3.0,2.3,1.0,6.159015,0.41916,0.996215
low,0.7,PARSEC,3.0,2.3,2.0,6.45673,0.459615,0.9974275
low,0.7,PARSEC,3.1,2.0,0.0,15.6412575,0.734705,1.0
low,0.7,PARSEC,3.1,2.0,1.0,15.5589375,0.7372975,1.0
low,0.7,PARSEC,3.1,2.0,2.0,16.110815,0.78486,1.0
low,0.7,PARSEC,3.1,2.3,0.0,5.9040025,0.4295525,0.996615
low,0.7,PARSEC,3.1,2.3,1.0,5.913095,0.42898,0.996715
low,0.7,PARSEC,3.1,2.3,2.0,6.209335,0.46631,0.9976275
low,0.7,PARSEC,3.5,2.0,0.0,10.79423,0.7661175,0.999905
low,0.7,PARSEC,3.5,2.0,1.0,10.8606925,0.74017,0.9999075
low,0.7,PARSEC,3.5,2.0,2.0,11.4021775,0.71727,0.99998
low,0.7,PARSEC,3.5,2.3,0.0,3.938295,0.436735,0.9739275
low,0.7,PARSEC,3.5,2.3,1.0,4.0106,0.415625,0.9768525
low,0.7,PARSEC,3.5,2.3,2.0,4.30481,0.3942025,0.98387
low,0.7,MIST,3.0,2.0,0.0,19.2608575,0.7691575,1.0
low,0.7,MIST,3.0,2.0,1.0,19.1682975,0.76664,1.0
low,0.7,MIST,3.0,2.0,2.0,19.7203525,0.7233825,1.0
low,0.7,MIST,3.0,2.3,0.0,7.2125225,0.4666625,0.99916
low,0.7,MIST,3.0,2.3,1.0,7.2267675,0.45543,0.9991
low,0.7,MIST,3.0,2.3,2.0,7.5551375,0.4120975,0.9994125
low,0.7,MIST,3.1,2.0,0.0,19.5470275,0.7452075,1.0
low,0.7,MIST,3.1,2.0,1.0,19.51574,0.76318,1.0
low,0.7,MIST,3.1,2.0,2.0,20.126305,0.7308275,1.0
low,0.7,MIST,3.1,2.3,0.0,7.4407025,0.4357475,0.999415
low,0.7,MIST,3.1,2.3,1.0,7.4750625,0.45061,0.99935
low,0.7,MIST,3.1,2.3,2.0,7.81445,0.42562,0.999505
low,0.7,MIST,3.5,2.0,0.0,13.60314,0.607235,1.0
low,0.7,MIST,3.5,2.0,1.0,14.154275,0.6223875,1.0
low,0.7,MIST,3.5,2.0,2.0,15.8922975,0.7098,0.9999975
low,0.7,MIST,3.5,2.3,0.0,5.1419475,0.3109175,0.99388
low,0.7,MIST,3.5,2.3,1.0,5.3575975,0.330295,0.9948325
low,0.7,MIST,3.5,2.3,2.0,6.0650875,0.3989025,0.99734
nominal,1.0,PARSEC,3.0,2.0,0.0,23.394765,0.840835,1.0
nominal,1.0,PARSEC,3.0,2.0,1.0,23.317845,0.84472,1.0
nominal,1.0,PARSEC,3.0,2.0,2.0,24.14191,0.883415,1.0
nominal,1.0,PARSEC,3.0,2.3,0.0,8.79302,0.5446,0.9994975
nominal,1.0,PARSEC,3.0,2.3,1.0,8.7978425,0.53934,0.9994825
nominal,1.0,PARSEC,3.0,2.3,2.0,9.2290275,0.585975,0.999705
nominal,1.0,PARSEC,3.1,2.0,0.0,22.33501,0.8484725,1.0
nominal,1.0,PARSEC,3.1,2.0,1.0,22.2332025,0.8513475,1.0
nominal,1.0,PARSEC,3.1,2.0,2.0,23.02398,0.88875,1.0
nominal,1.0,PARSEC,3.1,2.3,0.0,8.430625,0.5517925,0.99965
nominal,1.0,PARSEC,3.1,2.3,1.0,8.44074,0.5504875,0.9996625
nominal,1.0,PARSEC,3.1,2.3,2.0,8.8656575,0.59166,0.9997975
nominal,1.0,PARSEC,3.5,2.0,0.0,15.4334575,0.872245,0.999995
nominal,1.0,PARSEC,3.5,2.0,1.0,15.5164775,0.85249,1.0
nominal,1.0,PARSEC,3.5,2.0,2.0,16.301315,0.834775,1.0
nominal,1.0,PARSEC,3.5,2.3,0.0,5.62476,0.556035,0.9934625
nominal,1.0,PARSEC,3.5,2.3,1.0,5.7261675,0.5330825,0.99479
nominal,1.0,PARSEC,3.5,2.3,2.0,6.1572525,0.5135075,0.99687
nominal,1.0,MIST,3.0,2.0,0.0,27.5073075,0.8752775,1.0
nominal,1.0,MIST,3.0,2.0,1.0,27.3955875,0.8739375,1.0
nominal,1.0,MIST,3.0,2.0,2.0,28.17794,0.8399525,1.0
nominal,1.0,MIST,3.0,2.3,0.0,10.3034125,0.5914325,0.9999625
nominal,1.0,MIST,3.0,2.3,1.0,10.321515,0.5813,0.9999475
nominal,1.0,MIST,3.0,2.3,2.0,10.794475,0.5310375,0.999985
nominal,1.0,MIST,3.1,2.0,0.0,27.9309075,0.85709,1.0
nominal,1.0,MIST,3.1,2.0,1.0,27.904015,0.87215,1.0
nominal,1.0,MIST,3.1,2.0,2.0,28.7432075,0.8465875,1.0
nominal,1.0,MIST,3.1,2.3,0.0,10.6329375,0.556835,0.9999675
nominal,1.0,MIST,3.1,2.3,1.0,10.6769675,0.5725175,0.9999775
nominal,1.0,MIST,3.1,2.3,2.0,11.1635575,0.5454425,0.999985
nominal,1.0,MIST,3.5,2.0,0.0,19.4246325,0.7321425,1.0
nominal,1.0,MIST,3.5,2.0,1.0,20.2278175,0.7503525,1.0
nominal,1.0,MIST,3.5,2.0,2.0,22.7146675,0.8290775,1.0
nominal,1.0,MIST,3.5,2.3,0.0,7.3482125,0.4103,0.999275
nominal,1.0,MIST,3.5,2.3,1.0,7.6555575,0.4358575,0.9994175
nominal,1.0,MIST,3.5,2.3,2.0,8.663525,0.516755,0.9997325
high,1.3,PARSEC,3.0,2.0,0.0,30.4048075,0.90826,1.0
high,1.3,PARSEC,3.0,2.0,1.0,30.3204625,0.9099325,1.0
high,1.3,PARSEC,3.0,2.0,2.0,31.372895,0.9382425,1.0
high,1.3,PARSEC,3.0,2.3,0.0,11.4226875,0.6393275,0.999915
high,1.3,PARSEC,3.0,2.3,1.0,11.44326,0.63593,0.999895
high,1.3,PARSEC,3.0,2.3,2.0,11.9982875,0.6821975,0.99996
high,1.3,PARSEC,3.1,2.0,0.0,29.0189525,0.9139225,1.0
high,1.3,PARSEC,3.1,2.0,1.0,28.9104425,0.91678,1.0
high,1.3,PARSEC,3.1,2.0,2.0,29.930535,0.9424075,1.0
high,1.3,PARSEC,3.1,2.3,0.0,10.963735,0.6483125,0.99996
high,1.3,PARSEC,3.1,2.3,1.0,10.978945,0.6455825,0.9999525
high,1.3,PARSEC,3.1,2.3,2.0,11.5312,0.68999,0.9999775
high,1.3,PARSEC,3.5,2.0,0.0,20.06406,0.928135,1.0
high,1.3,PARSEC,3.5,2.0,1.0,20.17625,0.91655,1.0
high,1.3,PARSEC,3.5,2.0,2.0,21.188605,0.90376,1.0
high,1.3,PARSEC,3.5,2.3,0.0,7.3143625,0.65128,0.9981725
high,1.3,PARSEC,3.5,2.3,1.0,7.4430075,0.629445,0.9987725
high,1.3,PARSEC,3.5,2.3,2.0,8.006865,0.6050225,0.99936
high,1.3,MIST,3.0,2.0,0.0,35.76415,0.932115,1.0
high,1.3,MIST,3.0,2.0,1.0,35.6200075,0.9318725,1.0
high,1.3,MIST,3.0,2.0,2.0,36.6269975,0.9068875,1.0
high,1.3,MIST,3.0,2.3,0.0,13.3948375,0.6873375,1.0
high,1.3,MIST,3.0,2.3,1.0,13.421425,0.675645,0.9999975
high,1.3,MIST,3.0,2.3,2.0,14.0355125,0.6284675,1.0
high,1.3,MIST,3.1,2.0,0.0,36.3019325,0.9196425,1.0
high,1.3,MIST,3.1,2.0,1.0,36.2696025,0.9303875,1.0
high,1.3,MIST,3.1,2.0,2.0,37.36476,0.913225,1.0
high,1.3,MIST,3.1,2.3,0.0,13.8239675,0.65294,1.0
high,1.3,MIST,3.1,2.3,1.0,13.8821525,0.6696225,0.9999975
high,1.3,MIST,3.1,2.3,2.0,14.51493,0.6430975,0.9999975
high,1.3,MIST,3.5,2.0,0.0,25.264645,0.815245,1.0
high,1.3,MIST,3.5,2.0,1.0,26.296555,0.8352025,1.0
high,1.3,MIST,3.5,2.0,2.0,29.524,0.89942,1.0
high,1.3,MIST,3.5,2.3,0.0,9.54957,0.495755,0.9999375
high,1.3,MIST,3.5,2.3,1.0,9.946125,0.5263675,0.999925
high,1.3,MIST,3.5,2.3,2.0,11.25623,0.61134,0.99998
