subgroup,family,R_V,alpha,sf_duration_Myr,explodability,quantity,half,full,mean_half,mean_full,abs_drift,rel_drift
CygOB2-A,PARSEC,3.0,2.0,0.0,all_explode,N_SN_median,11.0,11.0,10.80929,10.804135,0.005155000000000243,0.0004771321350575722
CygOB2-A,PARSEC,3.0,2.0,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.0,2.0,0.0,all_explode,N_SN_median,12.0,12.0,12.592287,12.5945955,0.0023084999999998246,0.00018329290527828579
CygOB2-B,PARSEC,3.0,2.0,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.0,2.0,0.0,all_explode,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.0,2.0,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.0,2.0,1.0,all_explode,N_SN_median,11.0,11.0,10.711836,10.713862,0.0020260000000007494,0.0001891008116401676
CygOB2-A,PARSEC,3.0,2.0,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.0,2.0,1.0,all_explode,N_SN_median,12.0,12.0,12.575416,12.5741155,0.001300500000001037,0.0001034267579298947
CygOB2-B,PARSEC,3.0,2.0,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.0,2.0,1.0,all_explode,N_SN_median,0.0,0.0,0.026432,0.0265475,0.00011550000000000102,0.004350692155570242
CygOB2-C,PARSEC,3.0,2.0,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.0,2.0,2.0,all_explode,N_SN_median,10.0,10.0,10.649841,10.651485,0.0016439999999988686,0.0001543446758831157
CygOB2-A,PARSEC,3.0,2.0,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.0,2.0,2.0,all_explode,N_SN_median,12.0,12.0,12.541248,12.539192,0.0020559999999996137,0.00016396590785112898
CygOB2-B,PARSEC,3.0,2.0,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.0,2.0,2.0,all_explode,N_SN_median,1.0,1.0,0.949475,0.9493145,0.00016050000000000786,0.00016906936531571766
CygOB2-C,PARSEC,3.0,2.0,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.0,2.3,0.0,all_explode,N_SN_median,4.0,4.0,4.091744,4.094154,0.002409999999999357,0.0005886441985326779
CygOB2-A,PARSEC,3.0,2.3,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.0,2.3,0.0,all_explode,N_SN_median,4.0,4.0,4.689752,4.6918525,0.0021005000000000607,0.00044769097067737327
CygOB2-B,PARSEC,3.0,2.3,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.0,2.3,0.0,all_explode,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.0,2.3,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.0,2.3,1.0,all_explode,N_SN_median,4.0,4.0,4.083162,4.082422,0.0007399999999995188,0.00018126494517213527
CygOB2-A,PARSEC,3.0,2.3,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.0,2.3,1.0,all_explode,N_SN_median,4.0,4.0,4.708184,4.7096915,0.001507499999999773,0.00032008465947287057
CygOB2-B,PARSEC,3.0,2.3,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.0,2.3,1.0,all_explode,N_SN_median,0.0,0.0,0.008594,0.008724,0.00013000000000000164,0.0149014213663459
CygOB2-C,PARSEC,3.0,2.3,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.0,2.3,2.0,all_explode,N_SN_median,4.0,4.0,4.129622,4.127747,0.001875000000000071,0.0004542429562664744
CygOB2-A,PARSEC,3.0,2.3,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.0,2.3,2.0,all_explode,N_SN_median,5.0,5.0,4.751468,4.7552535,0.0037855000000002192,0.0007960669184093381
CygOB2-B,PARSEC,3.0,2.3,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.0,2.3,2.0,all_explode,N_SN_median,0.0,0.0,0.345559,0.3449045,0.0006545000000000023,0.0018976267343569083
CygOB2-C,PARSEC,3.0,2.3,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.0,2.6,0.0,all_explode,N_SN_median,1.0,1.0,1.511862,1.5126075,0.0007455000000000656,0.0004928575324398864
CygOB2-A,PARSEC,3.0,2.6,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.0,2.6,0.0,all_explode,N_SN_median,1.0,1.0,1.615326,1.6148015,0.0005245000000000388,0.00032480772404536336
CygOB2-B,PARSEC,3.0,2.6,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.0,2.6,0.0,all_explode,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.0,2.6,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.0,2.6,1.0,all_explode,N_SN_median,1.0,1.0,1.51389,1.515744,0.0018540000000000223,0.0012231616948508602
CygOB2-A,PARSEC,3.0,2.6,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.0,2.6,1.0,all_explode,N_SN_median,1.0,1.0,1.629153,1.6300125,0.000859500000000013,0.0005272965698115892
CygOB2-B,PARSEC,3.0,2.6,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.0,2.6,1.0,all_explode,N_SN_median,0.0,0.0,0.002778,0.0027115,6.650000000000015e-05,0.024525170569795373
CygOB2-C,PARSEC,3.0,2.6,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.0,2.6,2.0,all_explode,N_SN_median,1.0,1.0,1.561245,1.561195,4.999999999988347e-05,3.2026748740473466e-05
CygOB2-A,PARSEC,3.0,2.6,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.0,2.6,2.0,all_explode,N_SN_median,1.0,1.0,1.687058,1.6876085,0.0005505000000001203,0.0003262012486901555
CygOB2-B,PARSEC,3.0,2.6,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.0,2.6,2.0,all_explode,N_SN_median,0.0,0.0,0.121878,0.1222065,0.00032849999999999546,0.002688073056670435
CygOB2-C,PARSEC,3.0,2.6,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.1,2.0,0.0,all_explode,N_SN_median,11.0,11.0,11.023384,11.0182315,0.005152499999999449,0.00046763403001647306
CygOB2-A,PARSEC,3.1,2.0,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.1,2.0,0.0,all_explode,N_SN_median,11.0,11.0,11.311589,11.3107205,0.0008684999999992726,7.678555932836221e-05
CygOB2-B,PARSEC,3.1,2.0,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.1,2.0,0.0,all_explode,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.1,2.0,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.1,2.0,1.0,all_explode,N_SN_median,11.0,11.0,10.935893,10.9344135,0.0014795000000003,0.0001353067542214587
CygOB2-A,PARSEC,3.1,2.0,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.1,2.0,1.0,all_explode,N_SN_median,11.0,11.0,11.283743,11.283437,0.0003060000000001395,2.7119396332885052e-05
