scope,subgroup,family,R_V,alpha,sf_duration_Myr,explodability,N_SN_mean,N_SN_median,P_at_least_one,P_last_SN_within_100kyr,t_last_median_Myr,N_SN_p2p5,N_SN_p16,N_SN_p50,N_SN_p84,N_SN_p97p5
subgroup,CygOB2-A,PARSEC,3.0,2.0,0.0,all_explode,10.804135,11.0,0.999974,0.6133625,0.0734414655991229,5.0,7.0,11.0,14.0,18.0
subgroup,CygOB2-A,PARSEC,3.0,2.0,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.0,2.0,0.0,all_explode,12.5945955,12.0,0.998925,0.58753,0.07909420532757627,4.0,8.0,12.0,17.0,22.0
subgroup,CygOB2-B,PARSEC,3.0,2.0,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.0,2.0,0.0,all_explode,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.0,2.0,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.0,2.0,1.0,all_explode,10.713862,11.0,0.9999675,0.6100355,0.07365941826320821,5.0,7.0,11.0,14.0,18.0
subgroup,CygOB2-A,PARSEC,3.0,2.0,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.0,2.0,1.0,all_explode,12.5741155,12.0,0.9991645,0.587653,0.0781811472633187,4.0,8.0,12.0,17.0,22.0
subgroup,CygOB2-B,PARSEC,3.0,2.0,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.0,2.0,1.0,all_explode,0.0265475,0.0,0.025647,0.025359,0.02423713428910146,0.0,0.0,0.0,0.0,1.0
subgroup,CygOB2-C,PARSEC,3.0,2.0,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.0,2.0,2.0,all_explode,10.651485,10.0,0.9999655,0.6180265,0.07184354390539971,5.0,7.0,10.0,14.0,18.0
subgroup,CygOB2-A,PARSEC,3.0,2.0,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.0,2.0,2.0,all_explode,12.539192,12.0,0.9997115,0.5874035,0.07813925296544344,5.0,8.0,12.0,17.0,22.0
