subgroup,lookback_lo_Myr,lookback_hi_Myr,rate_per_Myr
CygOB2-A,0.0,0.05,4.05814
CygOB2-A,0.05,0.1,4.1997
CygOB2-A,0.1,0.15000000000000002,4.227049999999998
CygOB2-A,0.15000000000000002,0.2,4.192430000000001
CygOB2-A,0.2,0.25,4.102660000000001
CygOB2-A,0.25,0.30000000000000004,4.037289999999996
CygOB2-A,0.30000000000000004,0.35000000000000003,3.9643700000000006
CygOB2-A,0.35000000000000003,0.4,3.900960000000001
CygOB2-A,0.4,0.45,3.8704400000000008
CygOB2-A,0.45,0.5,3.912290000000001
CygOB2-A,0.5,0.55,3.9277799999999967
CygOB2-A,0.55,0.6000000000000001,3.9348799999999966
CygOB2-A,0.6000000000000001,0.65,3.818380000000005
CygOB2-A,0.65,0.7000000000000001,3.7786499999999967
CygOB2-A,0.7000000000000001,0.75,3.755740000000005
CygOB2-A,0.75,0.8,3.8161199999999966
CygOB2-A,0.8,0.8500000000000001,3.9769599999999965
CygOB2-A,0.8500000000000001,0.9,4.347670000000006
CygOB2-A,0.9,0.9500000000000001,4.245679999999997
CygOB2-A,0.9500000000000001,1.0,3.697800000000005
CygOB2-A,1.0,1.05,2.366309999999998
CygOB2-A,1.05,1.1,1.034289999999999
CygOB2-A,1.1,1.1500000000000001,0.2392799999999998
CygOB2-A,1.1500000000000001,1.2000000000000002,0.0
CygOB2-A,1.2000000000000002,1.25,0.0
CygOB2-A,1.25,1.3,0.0
CygOB2-A,1.3,1.35,0.0
CygOB2-A,1.35,1.4000000000000001,0.0
CygOB2-A,1.4000000000000001,1.4500000000000002,0.0
CygOB2-A,1.4500000000000002,1.5,0.0
CygOB2-A,1.5,1.55,0.0
CygOB2-A,1.55,1.6,0.0
CygOB2-A,1.6,1.6500000000000001,0.0
CygOB2-A,1.6500000000000001,1.7000000000000002,0.0
CygOB2-A,1.7000000000000002,1.75,0.0
CygOB2-A,1.75,1.8,0.0
CygOB2-A,1.8,1.85,0.0
CygOB2-A,1.85,1.9000000000000001,0.0
CygOB2-A,1.9000000000000001,1.9500000000000002,0.0
CygOB2-A,1.9500000000000002,2.0,0.0
CygOB2-A,2.0,2.0500000000000003,0.0
CygOB2-A,2.0500000000000003,2.1,0.0
CygOB2-A,2.1,2.15,0.0
CygOB2-A,2.15,2.2,0.0
CygOB2-A,2.2,2.25,0.0
CygOB2-A,2.25,2.3000000000000003,0.0
CygOB2-A,2.3000000000000003,2.35,0.0
CygOB2-A,2.35,2.4000000000000004,0.0
CygOB2-A,2.4000000000000004,2.45,0.0
CygOB2-A,2.45,2.5,0.0
CygOB2-A,2.5,2.5500000000000003,0.0
CygOB2-A,2.5500000000000003,2.6,0.0
CygOB2-A,2.6,2.6500000000000004,0.0
CygOB2-A,2.6500000000000004,2.7,0.0
CygOB2-A,2.7,2.75,0.0
CygOB2-A,2.75,2.8000000000000003,0.0
CygOB2-A,2.8000000000000003,2.85,0.0
CygOB2-A,2.85,2.9000000000000004,0.0
CygOB2-A,2.9000000000000004,2.95,0.0
CygOB2-A,2.95,3.0,0.0
CygOB2-B,0.0,0.05,3.9504699999999997
CygOB2-B,0.05,0.1,3.8741499999999998
CygOB2-B,0.1,0.15000000000000002,3.812359999999999
CygOB2-B,0.15000000000000002,0.2,3.7576800000000006
CygOB2-B,0.2,0.25,3.6923100000000004
CygOB2-B,0.25,0.30000000000000004,3.8326799999999968
CygOB2-B,0.30000000000000004,0.35000000000000003,3.9579800000000005
CygOB2-B,0.35000000000000003,0.4,3.8810800000000008
CygOB2-B,0.4,0.45,3.8441000000000005
CygOB2-B,0.45,0.5,3.822710000000001
CygOB2-B,0.5,0.55,3.750409999999997
CygOB2-B,0.55,0.6000000000000001,3.6328799999999966
CygOB2-B,0.6000000000000001,0.65,3.522560000000005
CygOB2-B,0.65,0.7000000000000001,3.581149999999997
CygOB2-B,0.7000000000000001,0.75,3.5229400000000046
CygOB2-B,0.75,0.8,3.452709999999997
CygOB2-B,0.8,0.8500000000000001,3.5836099999999966
CygOB2-B,0.8500000000000001,0.9,3.4410600000000047
CygOB2-B,0.9,0.9500000000000001,3.3018999999999967
CygOB2-B,0.9500000000000001,1.0,2.986010000000004
CygOB2-B,1.0,1.05,1.7276999999999985
CygOB2-B,1.05,1.1,1.7658399999999983
CygOB2-B,1.1,1.1500000000000001,2.6896399999999976
CygOB2-B,1.1500000000000001,1.2000000000000002,2.517729999999998
CygOB2-B,1.2000000000000002,1.25,2.358630000000008
CygOB2-B,1.25,1.3,1.032909999999999
CygOB2-B,1.3,1.35,0.0
CygOB2-B,1.35,1.4000000000000001,0.0
CygOB2-B,1.4000000000000001,1.4500000000000002,0.0
