family,R_V,alpha,sf_duration_Myr,explodability,C1_age,C1_age_permissive,C3_stripped_fraction,C4_in_situ,P_verdict,P_verdict_permissive,in_headline_set
PARSEC,3.0,2.0,0.0,all_explode,0.80927,0.99987,1.0,0.854,0.69112,0.85389,True
PARSEC,3.0,2.0,1.0,all_explode,0.81073,0.99987,1.0,0.854,0.69236,0.85389,True
PARSEC,3.0,2.0,2.0,all_explode,0.85418,0.9999,1.0,0.854,0.72947,0.85392,True
PARSEC,3.0,2.3,0.0,all_explode,0.50652,0.97531,1.0,0.854,0.43256,0.83291,True
PARSEC,3.0,2.3,1.0,all_explode,0.50365,0.97478,1.0,0.854,0.43012,0.83246,True
PARSEC,3.0,2.3,2.0,all_explode,0.54681,0.97641,1.0,0.854,0.46697,0.83385,True
PARSEC,3.0,2.6,0.0,all_explode,0.25229,0.76474,1.0,0.854,0.21545,0.65309,False
PARSEC,3.0,2.6,1.0,all_explode,0.24585,0.7615,1.0,0.854,0.20995,0.65032,False
PARSEC,3.0,2.6,2.0,all_explode,0.2688,0.76742,1.0,0.854,0.22955,0.65538,False
PARSEC,3.1,2.0,0.0,all_explode,0.81867,0.99992,1.0,0.854,0.69914,0.85393,True
PARSEC,3.1,2.0,1.0,all_explode,0.81947,0.99991,1.0,0.854,0.69983,0.85392,True
PARSEC,3.1,2.0,2.0,all_explode,0.86118,0.99993,1.0,0.854,0.73545,0.85394,True
PARSEC,3.1,2.3,0.0,all_explode,0.5147,0.97867,1.0,0.854,0.43956,0.83578,True
PARSEC,3.1,2.3,1.0,all_explode,0.51161,0.97744,1.0,0.854,0.43691,0.83473,True
PARSEC,3.1,2.3,2.0,all_explode,0.55302,0.97816,1.0,0.854,0.47228,0.83535,True
PARSEC,3.1,2.6,0.0,all_explode,0.25562,0.78064,1.0,0.854,0.2183,0.66667,False
PARSEC,3.1,2.6,1.0,all_explode,0.25167,0.77517,1.0,0.854,0.21493,0.662,False
PARSEC,3.1,2.6,2.0,all_explode,0.27333,0.77493,1.0,0.854,0.23343,0.66179,False
PARSEC,3.5,2.0,0.0,all_explode,0.8442,0.99928,1.0,0.854,0.72094,0.85339,True
PARSEC,3.5,2.0,1.0,all_explode,0.82202,0.9996,1.0,0.854,0.70201,0.85366,True
PARSEC,3.5,2.0,2.0,all_explode,0.80159,0.9994,1.0,0.854,0.68456,0.85349,True
PARSEC,3.5,2.3,0.0,all_explode,0.52018,0.95843,1.0,0.854,0.44424,0.8185,True
PARSEC,3.5,2.3,1.0,all_explode,0.49693,0.95857,1.0,0.854,0.42438,0.81862,True
